0.5981379727323719,Name
1.9610014016505365e-07,List
1.3788754251344498e-12,Image
0.3503533937268327,Animation
0.5822453957332183,Video
0.8982027388730038,Table
2.527818751087489e-17,Github
2.0433390812623223e-21,Links
0.0476599139620523,Project
0.00023502689787752702,Inline
0.05182707572009797,Code
0.8498267781705783,repository_ID
0.5981379727323719,fullname
0.5981379727323719,URL
0.8498267781705783,created_date
1.0,language
2.5165544237683357e-29,description
4.2751549299144745e-33,number_of_stars
4.6585907789301255e-32,num_of_forks
4.2751549299144745e-33,num_of_watchers
2.2086236883786952e-29,open_issue_count
4.2751549299144745e-33,repo_id
0.5981379727323719,repository
9.637589852268767e-32,community
8.189091772468869e-08,downloads
1.3556039842308315e-08,releases
6.856363827848356e-08,assets
1.3670654841195196e-29,commits
2.481993901463334e-26,open_issues
2.690906414525037e-28,closed_issues
4.680939286173822e-28,total_issues
6.4311035259421764e-27,open_prs
2.2434393281992957e-32,closed_prs
1.5310479794144475e-32,total_prs
5.216994824877465e-09,readme_issues
1.8804885098477394e-24,readme_commits
3.4436615212248704e-33,Apop_rank
2.6064426360262267e-33,Rank
4.6899240512242344e-33,Cpop_rank
2.6064426360262267e-33,Rank_real
4.6899240512242344e-33,Cpop_rank_real
3.4436615212248704e-33,Apop_rank_real
2.6064426360262267e-33,label
