0.12663355329946446,Name
0.6030045219485252,List
0.0003240692118275047,Image
0.9197546310942774,Animation
0.05065270080381127,Video
0.9007854256412391,Table
1.804001073825779e-07,Github
1.9873130721828226e-11,Links
0.3053358043762503,Project
0.024267916678475797,Inline
2.0427938391483218e-05,Code
0.0012932505437655694,repository_ID
0.12663355329946446,fullname
0.12663355329946446,URL
0.0012932505437655694,created_date
1.0,language
3.30494611232333e-30,description
1.1512895700138931e-33,number_of_stars
1.3836756124293903e-33,num_of_forks
1.1512895700138931e-33,num_of_watchers
5.646580932086515e-29,open_issue_count
1.1512895700138931e-33,repo_id
0.12663355329946446,repository
1.2008191353680732e-31,community
0.2003015536465118,downloads
0.061653564315815375,releases
0.22094276838363192,assets
3.932163495281664e-30,commits
1.6216288294781855e-27,open_issues
6.64958165365085e-31,closed_issues
8.284017927851598e-31,total_issues
1.280366589286334e-18,open_prs
5.8930324069784704e-30,closed_prs
6.153650395638636e-30,total_prs
3.8520955251150947e-10,readme_issues
6.885353973986266e-29,readme_commits
1.882441188108554e-32,Apop_rank
1.1512895700138931e-33,Rank
1.1512895700138931e-33,Cpop_rank
1.1512895700138931e-33,Rank_real
1.1512895700138931e-33,Cpop_rank_real
1.882441188108554e-32,Apop_rank_real
1.1512895700138931e-33,label
