0.4109339672524097,Name
8.438801999346354e-09,List
1.450243502694861e-13,Image
0.7201964618028941,Animation
0.22159476425028513,Video
0.9980357459797229,Table
5.237018357693701e-09,Github
1.1935777267797696e-13,Links
0.11540882777190914,Project
0.008163392573420747,Inline
0.12723326612109245,Code
0.0020377622190967137,repository_ID
0.4109339672524097,fullname_x
0.4109339672524097,URL
0.0020377622190967137,created_date
1.0,language
1.2955017614972733e-31,description
8.317600420165157e-34,number_of_stars
7.157168642079937e-34,num_of_forks
8.317600420165157e-34,num_of_watchers
1.7137671982944012e-28,open_issue_count
5.797915763407303e-34,repo_id
0.4109339672524097,repository
0.4109339672524097,fullname_y
4.938007298121779e-27,open_prs
2.7579297466142345e-17,closed_prs
2.7884417885586495e-31,total_prs
1.9830498356849058e-27,community
9.217051575487602e-07,downloads
8.341645526716424e-11,releases
5.310319987853532e-07,assets
2.1498860700525864e-27,commits
7.906787696296352e-22,open_issues
1.568302110794565e-24,closed_issues
1.397592217549923e-23,total_issues
2.852885056195344e-07,readme_issues
1.481494718730639e-22,readme_commits
3.9179628042268725e-34,Apop_rank
3.6883717303991516e-34,Rank
5.885856580084167e-34,Cpop_rank
3.6883717303991516e-34,Rank_real
5.885856580084167e-34,Cpop_rank_real
3.9179628042268725e-34,Apop_rank_real
3.6883717303991516e-34,label
