0.04382978723404255,negligible,Name
0.4326595744680851,medium,List
0.5892553191489361,large,Image
0.07765957446808511,negligible,Animation
0.045744680851063826,negligible,Video
0.010638297872340425,negligible,Table
0.7040425531914893,large,Github
0.7902127659574468,large,Links
0.1646808510638298,small,Project
0.3058510638297872,small,Inline
0.16170212765957448,small,Code
-0.01574468085106383,negligible,repository_ID
0.04382978723404255,negligible,fullname
0.04382978723404255,negligible,URL
-0.01574468085106383,negligible,created_date
0.0,negligible,language
-1.0,large,description
0.9965957446808511,large,number_of_stars
0.98,large,num_of_forks
0.9965957446808511,large,num_of_watchers
0.9358510638297872,large,open_issue_count
-0.9965957446808511,large,repo_id
0.04382978723404255,negligible,repository
0.9748936170212766,large,community
0.4459574468085106,medium,downloads
0.4722340425531915,medium,releases
0.44861702127659575,medium,assets
0.9393617021276596,large,commits
0.8828723404255319,large,open_issues
0.9173404255319149,large,closed_issues
0.9131914893617021,large,total_issues
0.8932978723404256,large,open_prs
0.9851063829787234,large,closed_prs
0.9877659574468085,large,total_prs
0.4856382978723404,large,readme_issues
0.8486170212765958,large,readme_commits
0.9980851063829788,large,Apop_rank
1.0,large,Rank
0.9959574468085106,large,Cpop_rank
1.0,large,Rank_real
0.9959574468085106,large,Cpop_rank_real
0.9980851063829788,large,Apop_rank_real
1.0,large,label
