0.07798222962481813,Name
2.233032332346023e-06,List
5.661437529637969e-16,Image
0.6289342442305667,Animation
0.6166997413622832,Video
1.0,Table
4.074550549929597e-16,Github
9.361267134914409e-20,Links
8.090669858583248e-05,Project
0.0011780299757688086,Inline
0.3272011655980128,Code
0.4988805393603949,repository_ID
0.07798222962481813,fullname
0.07798222962481813,URL
0.4988805393603949,created_date
1.0,language
2.2572386521262458e-27,description
6.692335219910307e-32,number_of_stars
4.8070820735731065e-31,num_of_forks
6.692335219910307e-32,num_of_watchers
5.240034531188798e-24,open_issue_count
6.692335219910307e-32,repo_id
0.07798222962481813,repository
1.7223333784938903e-28,community
6.122803496360491e-06,downloads
1.1670271394901066e-05,releases
3.5193534485116175e-06,assets
6.050677913377039e-28,commits
7.797112977424844e-21,open_issues
3.7790140193345705e-26,closed_issues
7.250189724644041e-26,total_issues
4.938774918916937e-20,open_prs
4.292903067409008e-29,closed_prs
5.37668963062822e-29,total_prs
1.5735820577688663e-06,readme_issues
3.557430616786369e-21,readme_commits
1.2172542807573362e-30,Apop_rank
1.8862325291219205e-32,Rank
4.5824376980716556e-32,Cpop_rank
1.8862325291219205e-32,Rank_real
4.5824376980716556e-32,Cpop_rank_real
1.2172542807573362e-30,Apop_rank_real
1.8862325291219205e-32,label
