,s,F1,F2
0,0.7222533564079485,List,Links
1,0.7329548769171517,Image,Links
2,0.8645501788644765,Github,Links
3,0.7222533564079486,Links,List
4,0.7329548769171517,Links,Image
5,0.8645501788644765,Links,Github
