Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
nativefier/nativefier,16,2,1,1,0,9,14,0,20,4.0,38558578,nativefier/nativefier,https://github.com/nativefier/nativefier,2015-07-05 05:56:42,TypeScript,,29181,1862,29181,185,27,nativefier/nativefier,136.0,0.0,2.0,0.0,1146.0,181.0,890.0,1071.0,9.0,283.0,292.0,9.0,114.0,nativefier/nativefier,2015-07-05 05:56:42,2469,0.0,0.0550830295666261,0.0,0.0008100445524503,0.4641555285540705,0.0,0
formium/formik,3,8,0,0,0,7,15,1,0,0.0,94367677,formium/formik,https://github.com/formium/formik,2017-06-14 19:50:59,TypeScript,,28889,2362,28889,651,28,formium/formik,429.0,0.0,2.0,0.0,1703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,formium/formik,2017-06-14 19:50:59,1759,0.0,0.2438885730528709,0.0,0.0011370096645821,0.9681637293916998,0.0,0
facebook/docusaurus,8,19,0,0,0,9,37,1,3,2.0,94911145,facebook/docusaurus,https://github.com/facebook/docusaurus,2017-06-20 16:13:53,TypeScript,,28685,3855,28685,176,29,facebook/docusaurus,857.0,0.0,2.0,0.0,4704.0,148.0,1952.0,2100.0,37.0,4241.0,4278.0,1.0,72.0,facebook/docusaurus,2017-06-20 16:13:53,1753,0.0,0.488876212207644,0.0,0.0011409013120365,2.6833998859098687,0.0,0
laurent22/joplin,84,132,0,1,0,151,187,0,43,1.0,79162682,laurent22/joplin,https://github.com/laurent22/joplin,2017-01-16 21:49:41,TypeScript,,26707,2938,26707,365,30,laurent22/joplin,495.0,131267.0,30.0,210.0,7535.0,310.0,4073.0,4383.0,8.0,1815.0,1823.0,0.0,687.0,laurent22/joplin,2017-01-16 21:49:41,1908,68.79821802935011,0.2594339622641509,0.110062893081761,0.0157232704402515,3.94916142557652,7.0,0
streamich/react-use,102,1,0,2,0,3,57,0,95,0.0,154950925,streamich/react-use,https://github.com/streamich/react-use,2018-10-27 10:16:05,TypeScript,,26612,2030,26612,432,31,streamich/react-use,191.0,0.0,2.0,0.0,2910.0,257.0,210.0,467.0,201.0,1635.0,1836.0,0.0,236.0,streamich/react-use,2018-10-27 10:16:05,1259,0.0,0.1517077045274027,0.0,0.0015885623510722,2.311358220810167,0.0,0
typeorm/typeorm,62,3,0,0,0,24,37,0,70,48.0,52773157,typeorm/typeorm,https://github.com/typeorm/typeorm,2016-02-29 07:41:14,TypeScript,,26427,4744,26427,1418,32,typeorm/typeorm,853.0,0.0,2.0,0.0,4929.0,1444.0,5113.0,6557.0,23.0,2145.0,2168.0,5.0,196.0,typeorm/typeorm,2016-02-29 07:41:14,2230,0.0,0.3825112107623318,0.0,0.000896860986547,2.2103139013452915,0.0,0
vuejs/vue-next,16,3,0,0,0,9,19,0,5,2.0,137078487,vuejs/vue-next,https://github.com/vuejs/vue-next,2018-06-12 13:49:36,TypeScript,,26155,4543,26155,436,33,vuejs/vue-next,321.0,0.0,2.0,0.0,4204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,vuejs/vue-next,2018-06-12 13:49:36,1396,0.0,0.2299426934097421,0.0,0.0014326647564469,3.011461318051576,0.0,0
ReactiveX/rxjs,14,4,0,0,0,6,11,0,5,3.0,32247847,ReactiveX/rxjs,https://github.com/ReactiveX/rxjs,2015-03-15 06:17:10,TypeScript,,26062,2680,26062,219,34,ReactiveX/rxjs,531.0,0.0,2.0,0.0,4982.0,201.0,2799.0,3000.0,35.0,3597.0,3632.0,6.0,119.0,ReactiveX/rxjs,2015-03-15 06:17:10,2581,0.0,0.2057342115459124,0.0,0.0007748934521503,1.9302595893064705,0.0,0
postcss/postcss,70,0,0,1,0,13,26,1,75,11.0,13078968,postcss/postcss,https://github.com/postcss/postcss,2013-09-24 23:06:48,TypeScript,,25532,1433,25532,9,35,postcss/postcss,403.0,0.0,2.0,0.0,3695.0,12.0,846.0,858.0,0.0,825.0,825.0,3.0,775.0,postcss/postcss,2013-09-24 23:06:48,3118,0.0,0.1292495189223861,0.0,0.0006414368184733,1.1850545221295703,0.0,0
excalidraw/excalidraw,10,3,0,0,0,3,24,1,7,7.0,231283452,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,2020-01-02 01:04:43,TypeScript,,25212,1904,25212,500,36,excalidraw/excalidraw,198.0,487.0,3.0,3.0,2518.0,493.0,1253.0,1746.0,115.0,2908.0,3023.0,0.0,53.0,excalidraw/excalidraw,2020-01-02 01:04:43,827,0.5888754534461911,0.2394195888754534,0.0036275695284159,0.0036275695284159,3.0447400241837967,1.0,0
angular/angular-cli,14,16,0,0,0,16,20,0,42,4.0,36891867,angular/angular-cli,https://github.com/angular/angular-cli,2015-06-04 19:49:37,TypeScript,,25071,11900,25071,276,37,angular/angular-cli,614.0,0.0,2.0,0.0,8974.0,232.0,13304.0,13536.0,23.0,8803.0,8826.0,8.0,167.0,angular/angular-cli,2015-06-04 19:49:37,2500,0.0,0.2456,0.0,0.0008,3.5896,0.0,0
mobxjs/mobx,10,26,0,1,0,4,41,0,4,1.0,32215970,mobxjs/mobx,https://github.com/mobxjs/mobx,2015-03-14 14:31:38,TypeScript,,24572,1611,24572,19,39,mobxjs/mobx,314.0,0.0,2.0,0.0,3109.0,13.0,1773.0,1786.0,7.0,1111.0,1118.0,1.0,279.0,mobxjs/mobx,2015-03-14 14:31:38,2582,0.0,0.1216111541440743,0.0,0.0007745933384972,1.2041053446940355,0.0,0
cheeriojs/cheerio,17,0,0,0,0,12,30,3,30,17.0,2541284,cheeriojs/cheerio,https://github.com/cheeriojs/cheerio,2011-10-09 04:23:20,TypeScript,,24572,1504,24572,18,40,cheeriojs/cheerio,146.0,0.0,2.0,0.0,1844.0,20.0,1035.0,1055.0,4.0,1321.0,1325.0,10.0,217.0,cheeriojs/cheerio,2011-10-09 04:23:20,3834,0.0,0.0380803338549817,0.0,0.0005216484089723,0.4809598330725091,0.0,0
react-hook-form/react-hook-form,6,18,1,0,0,56,76,0,0,1.0,174038031,react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,2019-03-05 23:47:10,TypeScript,,24429,1174,24429,7,41,react-hook-form/react-hook-form,211.0,0.0,2.0,0.0,3135.0,0.0,3010.0,3010.0,16.0,1845.0,1861.0,41.0,266.0,react-hook-form/react-hook-form,2019-03-05 23:47:10,1130,0.0,0.1867256637168141,0.0,0.0017699115044247,2.774336283185841,0.0,0
tannerlinsley/react-query,11,13,0,0,0,25,35,2,0,0.0,207645083,tannerlinsley/react-query,https://github.com/tannerlinsley/react-query,2019-09-10 19:23:58,TypeScript,,24136,1256,24136,30,42,tannerlinsley/react-query,404.0,0.0,2.0,0.0,1451.0,19.0,855.0,874.0,12.0,942.0,954.0,4.0,276.0,tannerlinsley/react-query,2019-09-10 19:23:58,941,0.0,0.4293304994686504,0.0,0.002125398512221,1.5419766206163656,0.0,0
supabase/supabase,57,4,1,0,0,48,57,0,0,0.0,214587193,supabase/supabase,https://github.com/supabase/supabase,2019-10-12 05:56:49,TypeScript,,24050,1212,24050,202,43,supabase/supabase,360.0,0.0,2.0,0.0,5257.0,201.0,859.0,1060.0,49.0,1598.0,1647.0,0.0,116.0,supabase/supabase,2019-10-12 05:56:49,909,0.0,0.396039603960396,0.0,0.0022002200220022,5.783278327832783,0.0,0
JedWatson/react-select,35,4,0,1,0,1,23,0,20,3.0,23338716,JedWatson/react-select,https://github.com/JedWatson/react-select,2014-08-26 04:27:45,TypeScript,,23761,3816,23761,172,44,JedWatson/react-select,507.0,0.0,2.0,0.0,4052.0,154.0,3086.0,3240.0,57.0,1511.0,1568.0,6.0,213.0,JedWatson/react-select,2014-08-26 04:27:45,2782,0.0,0.1822429906542056,0.0,0.0007189072609633,1.456506110711718,0.0,0
akveo/ngx-admin,20,8,0,0,0,6,23,1,2,0.0,59652928,akveo/ngx-admin,https://github.com/akveo/ngx-admin,2016-05-25 10:09:03,TypeScript,,23255,7385,23255,440,45,akveo/ngx-admin,37.0,0.0,2.0,0.0,536.0,382.0,1301.0,1683.0,63.0,881.0,944.0,0.0,57.0,akveo/ngx-admin,2016-05-25 10:09:03,2144,0.0,0.0172574626865671,0.0,0.0009328358208955,0.25,0.0,1
ianstormtaylor/slate,31,6,0,0,0,12,34,0,10,0.0,61412022,ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,2016-06-18 01:52:42,TypeScript,,23015,2548,23015,443,46,ianstormtaylor/slate,483.0,0.0,2.0,0.0,3797.0,466.0,2326.0,2792.0,10.0,1993.0,2003.0,2.0,217.0,ianstormtaylor/slate,2016-06-18 01:52:42,2120,0.0,0.2278301886792453,0.0,0.000943396226415,1.7910377358490566,0.0,0
chakra-ui/chakra-ui,9,17,0,0,0,221,244,1,8,3.0,202890778,chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,2019-08-17 14:27:54,TypeScript,,22479,1945,22479,112,47,chakra-ui/chakra-ui,541.0,0.0,2.0,0.0,7915.0,120.0,2313.0,2433.0,29.0,2256.0,2285.0,0.0,287.0,chakra-ui/chakra-ui,2019-08-17 14:27:54,965,0.0,0.5606217616580311,0.0,0.0020725388601036,8.202072538860104,0.0,0
angular/components,20,3,0,1,0,1,7,0,6,0.0,49016322,angular/components,https://github.com/angular/components,2016-01-04 18:50:02,TypeScript,,22334,5931,22334,2077,48,angular/components,648.0,0.0,2.0,0.0,9418.0,1688.0,11296.0,12984.0,252.0,11214.0,11466.0,13.0,91.0,angular/components,2016-01-04 18:50:02,2286,0.0,0.2834645669291338,0.0,0.0008748906386701,4.119860017497813,0.0,0
doczjs/docz,31,4,0,0,0,18,33,0,12,4.0,125596489,doczjs/docz,https://github.com/doczjs/docz,2018-03-17 04:24:10,TypeScript,,21987,1398,21987,97,49,doczjs/docz,136.0,0.0,2.0,0.0,1604.0,109.0,1122.0,1231.0,8.0,467.0,475.0,3.0,102.0,doczjs/docz,2018-03-17 04:24:10,1483,0.0,0.0917060013486176,0.0,0.0013486176668914,1.081591368846932,0.0,0
t4t5/sweetalert,21,16,1,0,0,3,33,1,6,10.0,24635156,t4t5/sweetalert,https://github.com/t4t5/sweetalert,2014-09-30 11:12:48,TypeScript,,21857,2899,21857,173,50,t4t5/sweetalert,72.0,0.0,2.0,0.0,361.0,148.0,543.0,691.0,28.0,250.0,278.0,0.0,40.0,t4t5/sweetalert,2014-09-30 11:12:48,2747,0.0,0.0262104113578449,0.0,0.0007280669821623,0.1314160902803058,0.0,0
balena-io/etcher,9,4,0,0,0,2,8,0,1,19.0,45055693,balena-io/etcher,https://github.com/balena-io/etcher,2015-10-27 16:53:23,TypeScript,,21852,1539,21852,317,51,balena-io/etcher,87.0,427933.0,30.0,502.0,2968.0,344.0,1519.0,1863.0,3.0,1841.0,1844.0,9.0,78.0,balena-io/etcher,2015-10-27 16:53:23,2355,181.7125265392781,0.0369426751592356,0.2131634819532908,0.0127388535031847,1.2602972399150745,16.733333333333334,0
pmndrs/react-spring,0,12,1,1,0,4,16,0,1,0.0,124257233,pmndrs/react-spring,https://github.com/pmndrs/react-spring,2018-03-07 15:39:32,TypeScript,,21845,944,21845,43,52,pmndrs/react-spring,157.0,0.0,2.0,0.0,3234.0,48.0,1007.0,1055.0,5.0,388.0,393.0,0.0,12.0,pmndrs/react-spring,2018-03-07 15:39:32,1493,0.0,0.1051574012056262,0.0,0.001339584728734,2.1661085063630274,0.0,0
react-native-elements/react-native-elements,29,62,0,0,0,10,108,1,1,1.0,67709808,react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,TypeScript,,21704,4311,21704,112,53,react-native-elements/react-native-elements,370.0,0.0,2.0,0.0,2229.0,58.0,1837.0,1895.0,8.0,1429.0,1437.0,10.0,105.0,react-native-elements/react-native-elements,2016-09-08 14:21:41,2038,0.0,0.1815505397448479,0.0,0.000981354268891,1.093719332679097,0.0,0
reduxjs/react-redux,0,3,0,0,0,3,12,0,2,2.0,38934449,reduxjs/react-redux,https://github.com/reduxjs/react-redux,2015-07-11 17:32:01,TypeScript,,21574,3141,21574,35,54,reduxjs/react-redux,275.0,0.0,2.0,0.0,1053.0,17.0,1133.0,1150.0,5.0,676.0,681.0,2.0,100.0,reduxjs/react-redux,2015-07-11 17:32:01,2463,0.0,0.1116524563540398,0.0,0.000812017864393,0.4275274056029232,0.0,0
vuejs/devtools,0,2,0,0,0,1,4,0,0,0.0,24579238,vuejs/devtools,https://github.com/vuejs/devtools,2014-09-29 03:52:07,TypeScript,,21357,3542,21357,352,55,vuejs/devtools,120.0,55829.0,30.0,18.0,1940.0,350.0,991.0,1341.0,32.0,336.0,368.0,1.0,58.0,vuejs/devtools,2014-09-29 03:52:07,2748,20.31622998544396,0.0436681222707423,0.0065502183406113,0.0109170305676855,0.7059679767103348,0.6,0
kriasoft/react-starter-kit,27,9,0,0,0,8,29,2,34,2.0,18840003,kriasoft/react-starter-kit,https://github.com/kriasoft/react-starter-kit,2014-04-16 13:08:18,TypeScript,,21048,4096,21048,6,56,kriasoft/react-starter-kit,1.0,0.0,2.0,0.0,3.0,5.0,1165.0,1170.0,2.0,779.0,781.0,0.0,3.0,kriasoft/react-starter-kit,2014-04-16 13:08:18,2914,0.0,0.0003431708991077,0.0,0.0006863417982155,0.0010295126973232,0.0,1
Eugeny/tabby,60,6,0,0,0,70,82,2,1,0.0,77213120,Eugeny/tabby,https://github.com/Eugeny/tabby,2016-12-23 09:06:10,TypeScript,,20839,1042,20839,586,57,Eugeny/tabby,89.0,245922.0,30.0,388.0,4806.0,811.0,2194.0,3005.0,20.0,2603.0,2623.0,0.0,133.0,Eugeny/tabby,2016-12-23 09:06:10,1932,127.2888198757764,0.0460662525879917,0.2008281573498964,0.015527950310559,2.487577639751553,12.933333333333334,0
NativeScript/NativeScript,23,2,0,0,0,11,20,0,0,1.0,31492490,NativeScript/NativeScript,https://github.com/NativeScript/NativeScript,2015-03-01 09:47:08,TypeScript,,20692,1533,20692,905,58,NativeScript/NativeScript,279.0,0.0,2.0,0.0,6886.0,885.0,5513.0,6398.0,23.0,3229.0,3252.0,0.0,92.0,NativeScript/NativeScript,2015-03-01 09:47:08,2595,0.0,0.107514450867052,0.0,0.0007707129094412,2.653564547206165,0.0,0
react-navigation/react-navigation,6,9,0,0,0,2,12,0,7,3.0,80149262,react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,TypeScript,,20602,4465,20602,479,59,react-navigation/react-navigation,142.0,0.0,2.0,0.0,1756.0,454.0,8058.0,8512.0,38.0,1454.0,1492.0,2.0,41.0,react-navigation/react-navigation,2017-01-26 19:51:40,1898,0.0,0.0748155953635405,0.0,0.0010537407797681,0.9251844046364596,0.0,0
