Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
thangchung/awesome-dotnet-core,821,2,0,5,0,670,748,26,7,0.0,54086969,thangchung/awesome-dotnet-core,https://github.com/thangchung/awesome-dotnet-core,2016-03-17 03:52:09,C#,,15409,2426,15409,126,12,thangchung/awesome-dotnet-core,255.0,0.0,2.0,0.0,1251.0,19.0,51.0,70.0,112.0,601.0,713.0,0.0,1125.0,thangchung/awesome-dotnet-core,2016-03-17 03:52:09,2213,0.0,0.1152281970176231,0.0,0.0009037505648441,0.5652959783099865,0.0,1
dotnet/roslyn,12,12,0,0,0,10,30,2,3,0.0,29078997,dotnet/roslyn,https://github.com/dotnet/roslyn,2015-01-11 02:39:03,C#,,15254,3471,15254,8967,13,dotnet/roslyn,710.0,21246.0,30.0,2.0,83370.0,8634.0,19269.0,27903.0,407.0,30810.0,31217.0,1.0,117.0,dotnet/roslyn,2015-01-11 02:39:03,2644,8.03555219364599,0.2685325264750378,0.0007564296520423,0.0113464447806354,31.53177004538578,0.0666666666666666,1
files-community/Files,5,4,0,0,0,2,6,0,2,0.0,164140756,files-community/Files,https://github.com/files-community/Files,2019-01-04 18:19:14,C#,,14988,839,14988,755,14,files-community/Files,217.0,51021.0,30.0,18.0,3342.0,801.0,4899.0,5700.0,16.0,2843.0,2859.0,0.0,62.0,files-community/Files,2019-01-04 18:19:14,1190,42.87478991596639,0.1823529411764705,0.015126050420168,0.0252100840336134,2.8084033613445376,0.6,1
DapperLib/Dapper,0,7,0,0,0,3,15,1,14,23.0,1613345,DapperLib/Dapper,https://github.com/DapperLib/Dapper,2011-04-14 08:42:59,C#,,14287,3432,14287,325,15,DapperLib/Dapper,218.0,0.0,2.0,0.0,1512.0,293.0,793.0,1086.0,39.0,521.0,560.0,10.0,80.0,DapperLib/Dapper,2011-04-14 08:42:59,4012,0.0,0.0543369890329012,0.0,0.0004985044865403,0.3768693918245264,0.0,1
dotnet/maui,7,3,0,0,0,4,11,0,0,0.0,262395224,dotnet/maui,https://github.com/dotnet/maui,2020-05-08 18:11:05,C#,,12966,628,12966,769,17,dotnet/maui,472.0,43.0,20.0,59.0,9066.0,932.0,1531.0,2463.0,69.0,1994.0,2063.0,0.0,112.0,dotnet/maui,2020-05-08 18:11:05,700,0.0614285714285714,0.6742857142857143,0.0842857142857142,0.0285714285714285,12.951428571428572,2.95,1
jellyfin/jellyfin,8,14,0,0,0,10,34,1,11,3.0,161012019,jellyfin/jellyfin,https://github.com/jellyfin/jellyfin,2018-12-09 06:36:45,C#,,12501,1283,12501,577,18,jellyfin/jellyfin,861.0,644.0,30.0,138.0,22654.0,606.0,3083.0,3689.0,65.0,3216.0,3281.0,1.0,172.0,jellyfin/jellyfin,2018-12-09 06:36:45,1216,0.5296052631578947,0.7080592105263158,0.1134868421052631,0.0246710526315789,18.629934210526315,4.6,1
AvaloniaUI/Avalonia,0,20,0,0,0,9,30,1,1,1.0,14964475,AvaloniaUI/Avalonia,https://github.com/AvaloniaUI/Avalonia,2013-12-05 20:13:21,C#,,12499,1121,12499,1244,19,AvaloniaUI/Avalonia,288.0,0.0,2.0,0.0,18349.0,1202.0,2659.0,3861.0,29.0,3056.0,3085.0,0.0,127.0,AvaloniaUI/Avalonia,2013-12-05 20:13:21,3046,0.0,0.0945502298095863,0.0,0.0006565988181221,6.023965856861458,0.0,1
huiyadanli/RevokeMsgPatcher,5,3,0,0,0,10,14,0,0,0.0,198071756,huiyadanli/RevokeMsgPatcher,https://github.com/huiyadanli/RevokeMsgPatcher,2019-07-21 15:12:52,C#,,12325,1677,12325,33,20,huiyadanli/RevokeMsgPatcher,2.0,234548.0,12.0,12.0,169.0,27.0,233.0,260.0,0.0,5.0,5.0,0.0,52.0,huiyadanli/RevokeMsgPatcher,2019-07-21 15:12:52,992,236.43951612903223,0.002016129032258,0.0120967741935483,0.0120967741935483,0.1703629032258064,1.0,0
Unity-Technologies/ml-agents,42,3,0,1,0,16,52,8,3,0.0,102904613,Unity-Technologies/ml-agents,https://github.com/Unity-Technologies/ml-agents,2017-09-08 21:09:04,C#,,12058,3216,12058,197,21,Unity-Technologies/ml-agents,157.0,0.0,2.0,0.0,3382.0,185.0,2441.0,2626.0,15.0,3063.0,3078.0,2.0,125.0,Unity-Technologies/ml-agents,2017-09-08 21:09:04,1673,0.0,0.0938433950986252,0.0,0.0011954572624028,2.0215182307232515,0.0,1
MaterialDesignInXAML/MaterialDesignInXamlToolkit,31,48,0,1,0,14,43,1,1,0.0,30474266,MaterialDesignInXAML/MaterialDesignInXamlToolkit,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit,2015-02-07 23:30:48,C#,,11547,2836,11547,241,22,MaterialDesignInXAML/MaterialDesignInXamlToolkit,183.0,86419.0,30.0,68.0,2462.0,217.0,1294.0,1511.0,5.0,1070.0,1075.0,5.0,84.0,MaterialDesignInXAML/MaterialDesignInXamlToolkit,2015-02-07 23:30:48,2617,33.02216278181123,0.0699273977837218,0.0259839510890332,0.011463507833397,0.9407718761941154,2.2666666666666666,1
