Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
borgbackup/borg,15,0,0,0,0,0,0,0,20,0.0,35517126,borgbackup/borg,https://github.com/borgbackup/borg,2015-05-12 23:10:47,C,,7752,595,7752,551,97,borgbackup/borg,borgbackup/borg,24,2999,3023,281,4636,30,360,6589,576,2766,3342,13,95,2015-05-12 23:10:47,2489,1.862595419847328,0.1128967456809963,0.1446364001607071,0.0120530333467255,2.6472478907191643,12.0,0
cesanta/mongoose,24,5,0,0,0,5,22,0,1,0.0,5414488,cesanta/mongoose,https://github.com/cesanta/mongoose,2012-08-14 15:09:51,C,,7706,2178,7706,6,88,cesanta/mongoose,cesanta/mongoose,5,405,410,142,3798,30,9,3655,2,1055,1057,0,247,2012-08-14 15:09:51,3490,1.0882521489971346,0.0406876790830945,0.0025787965616045,0.0085959885386819,1.0472779369627507,0.3,0
espressif/arduino-esp32,9,4,0,0,0,5,15,1,0,0.0,70127218,espressif/arduino-esp32,https://github.com/espressif/arduino-esp32,2016-10-06 06:04:20,C,,7682,4847,7682,339,78,espressif/arduino-esp32,espressif/arduino-esp32,39,1588,1627,522,1421752,30,114,1678,357,4384,4741,1,45,2016-10-06 06:04:20,1976,719.5101214574898,0.26417004048583,0.0576923076923076,0.0151821862348178,0.8491902834008097,3.8,0
DanieleDeSensi/peafowl,26,10,0,0,0,1,12,0,2,0.0,9239261,DanieleDeSensi/peafowl,https://github.com/DanieleDeSensi/peafowl,2013-04-05 10:56:18,C,,97,33,97,1,104,DanieleDeSensi/peafowl,DanieleDeSensi/peafowl,0,35,35,13,29,2,3,456,1,8,9,0,70,2013-04-05 10:56:18,3256,0.0089066339066339,0.0039926289926289,0.0009213759213759,0.0006142506142506,0.14004914004914,1.5,1
xiph/opusfile,0,3,0,0,0,0,3,0,0,0.0,28172682,xiph/opusfile,https://github.com/xiph/opusfile,2014-12-18 07:15:34,C,,96,47,96,12,101,xiph/opusfile,xiph/opusfile,3,10,13,26,16019,6,12,457,8,9,17,0,6,2014-12-18 07:15:34,2634,6.08162490508732,0.0098709187547456,0.0045558086560364,0.0022779043280182,0.1735003796507213,2.0,1
JUMA-IO/STM32_Platform,17,1,0,0,0,1,16,0,10,0.0,49547764,JUMA-IO/STM32_Platform,https://github.com/JUMA-IO/STM32_Platform,2016-01-13 03:49:37,C,,90,69,90,4,105,JUMA-IO/STM32_Platform,JUMA-IO/STM32_Platform,0,93,93,17,0,7,0,261,4,7,11,0,19,2016-01-13 03:49:37,2243,0.0,0.0075791350869371,0.0,0.0031208203299152,0.1163620151582701,0.0,1
dimitri/pgextwlist,10,1,0,0,0,0,2,0,33,0.0,2958353,dimitri/pgextwlist,https://github.com/dimitri/pgextwlist,2011-12-11 14:11:13,C,,86,31,86,5,111,dimitri/pgextwlist,dimitri/pgextwlist,2,23,25,17,0,4,0,102,4,17,21,4,13,2011-12-11 14:11:13,3737,0.0,0.0045491035590045,0.0,0.001070377308001,0.0272946213540272,0.0,1
yubo/ip_vs_ca,23,2,0,0,0,1,4,0,5,3.0,52423233,yubo/ip_vs_ca,https://github.com/yubo/ip_vs_ca,2016-02-24 07:31:12,C,,84,26,84,3,116,yubo/ip_vs_ca,yubo/ip_vs_ca,0,0,0,3,48,3,7,32,3,11,14,0,20,2016-02-24 07:31:12,2201,0.0218082689686506,0.0013630168105406,0.0031803725579282,0.0013630168105406,0.0145388459791004,2.333333333333333,1
atnan/QLPrettyPatch,2,1,0,0,0,2,3,0,4,0.0,14760455,atnan/QLPrettyPatch,https://github.com/atnan/QLPrettyPatch,2013-11-27 22:14:43,C,,83,4,83,1,137,atnan/QLPrettyPatch,atnan/QLPrettyPatch,1,0,1,1,89326,1,1,11,0,0,0,0,5,2013-11-27 22:14:43,3020,29.57814569536424,0.0003311258278145,0.0003311258278145,0.0003311258278145,0.0036423841059602,1.0,1
Juniper/juise,0,0,0,0,0,2,2,0,0,0.0,10245331,Juniper/juise,https://github.com/Juniper/juise,2013-05-23 14:16:22,C,,50,14,50,14,154,Juniper/juise,Juniper/juise,0,12,12,14,1472,16,23,869,14,10,24,0,6,2013-05-23 14:16:22,3208,0.4588528678304239,0.004364089775561,0.0071695760598503,0.0049875311720698,0.2708852867830424,1.4375,1
zephyrproject-rtos/meta-zephyr-sdk,0,1,0,0,0,0,1,1,0,2.0,61154171,zephyrproject-rtos/meta-zephyr-sdk,https://github.com/zephyrproject-rtos/meta-zephyr-sdk,2016-06-14 20:38:26,C,,45,28,45,4,143,zephyrproject-rtos/meta-zephyr-sdk,zephyrproject-rtos/meta-zephyr-sdk,0,35,35,9,45614,27,20,232,4,75,79,0,5,2016-06-14 20:38:26,2090,21.82488038277512,0.0043062200956937,0.0095693779904306,0.0129186602870813,0.1110047846889952,0.7407407407407407,1
ailispaw/docker-root-xhyve,17,0,0,0,0,3,3,0,2,13.0,40382497,ailispaw/docker-root-xhyve,https://github.com/ailispaw/docker-root-xhyve,2015-08-07 21:56:17,C,,42,4,42,2,168,ailispaw/docker-root-xhyve,ailispaw/docker-root-xhyve,0,0,0,1,568,9,9,89,2,9,11,0,60,2015-08-07 21:56:17,2402,0.2364696086594504,0.0004163197335553,0.0037468776019983,0.0037468776019983,0.0370524562864279,1.0,1
WetDesertRock/GifCat,5,1,2,0,0,1,1,0,16,3.0,61999967,WetDesertRock/GifCat,https://github.com/WetDesertRock/GifCat,2016-06-26 17:20:00,C,,36,5,36,4,173,WetDesertRock/GifCat,WetDesertRock/GifCat,0,2,2,2,0,1,0,6,4,0,4,0,6,2016-06-26 17:20:00,2078,0.0,0.0009624639076034,0.0,0.0004812319538017,0.0028873917228103,0.0,1
wireapp/cryptobox-c,10,0,0,0,0,12,20,0,50,0.0,47832811,wireapp/cryptobox-c,https://github.com/wireapp/cryptobox-c,2015-12-11 15:02:09,C,,28,17,28,2,165,wireapp/cryptobox-c,wireapp/cryptobox-c,0,18,18,17,0,6,0,213,2,0,2,0,17,2015-12-11 15:02:09,2276,0.0,0.0074692442882249,0.0,0.0026362038664323,0.0935852372583479,0.0,1
wireapp/cryptobox-c,10,0,0,0,0,12,20,0,50,0.0,47832811,wireapp/cryptobox-c,https://github.com/wireapp/cryptobox-c,2015-12-11 15:02:09,C,,28,17,28,2,165,wireapp/cryptobox-c,wireapp/cryptobox-c,0,18,18,17,0,6,0,213,2,0,2,0,17,2015-12-11 15:02:09,2276,0.0,0.0074692442882249,0.0,0.0026362038664323,0.0935852372583479,0.0,1
open-power/capiflash,11,0,0,0,0,0,1,0,0,4.0,45078254,open-power/capiflash,https://github.com/open-power/capiflash,2015-10-28 00:19:54,C,,23,12,23,3,175,open-power/capiflash,open-power/capiflash,0,16,16,7,0,11,0,98,3,6,9,0,15,2015-10-28 00:19:54,2320,0.0,0.0030172413793103,0.0,0.0047413793103448,0.0422413793103448,0.0,1
rebelbot/OptimizerLesson,0,0,0,0,0,0,0,0,0,0.0,43264120,rebelbot/OptimizerLesson,https://github.com/rebelbot/OptimizerLesson,2015-09-27 20:41:06,C,,7,5,7,0,190,rebelbot/OptimizerLesson,rebelbot/OptimizerLesson,0,2,2,2,0,2,0,7,0,0,0,0,1,2015-09-27 20:41:06,2351,0.0,0.0008507018290089,0.0,0.0008507018290089,0.0029774564015312,0.0,1
HomeBankCode/lena-its-tools,9,0,0,0,0,0,0,0,3,0.0,35401620,HomeBankCode/lena-its-tools,https://github.com/HomeBankCode/lena-its-tools,2015-05-11 04:12:46,C,,2,3,2,0,195,HomeBankCode/lena-its-tools,HomeBankCode/lena-its-tools,0,17,17,5,0,2,0,130,0,0,0,0,10,2015-05-11 04:12:46,2490,0.0,0.002008032128514,0.0,0.0008032128514056,0.0522088353413654,0.0,1
