Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
go-delve/delve,11,4,0,0,0,1,4,0,0,0.0,19994257,go-delve/delve,https://github.com/go-delve/delve,2014-05-20 19:24:43,C,,17392,1760,17392,132,33,go-delve/delve,go-delve/delve,9,1531,1540,189,0,17,0,2214,105,1261,1366,4,88,2014-05-20 19:24:43,2846,0.0,0.0664089950808151,0.0,0.0059732958538299,0.7779339423752635,0.0,0
taosdata/TDengine,22,6,0,0,0,8,29,0,2,34.0,196353673,taosdata/TDengine,https://github.com/taosdata/TDengine,2019-07-11 08:33:48,C,,17376,4149,17376,467,19,taosdata/TDengine,taosdata/TDengine,12,7946,7958,260,0,30,0,23834,496,2060,2556,0,91,2019-07-11 08:33:48,968,0.0,0.268595041322314,0.0,0.03099173553719,24.62190082644628,0.0,0
mpv-player/mpv,40,1,0,0,0,4,7,0,17,0.0,6201092,mpv-player/mpv,https://github.com/mpv-player/mpv,2012-10-13 08:08:44,C,,16904,2087,16904,738,34,mpv-player/mpv,mpv-player/mpv,92,2435,2527,583,9224,30,2,49475,687,6552,7239,9,84,2012-10-13 08:08:44,3430,2.6892128279883383,0.1699708454810495,0.0005830903790087,0.0087463556851311,14.424198250728862,0.0666666666666666,0
pbatard/rufus,19,8,0,0,0,10,18,0,1,0.0,2810292,pbatard/rufus,https://github.com/pbatard/rufus,2011-11-19 19:12:05,C,,16825,1739,16825,12,37,pbatard/rufus,pbatard/rufus,0,149,149,158,10878747,30,204,1876,13,1693,1706,3,35,2011-11-19 19:12:05,3759,2894.0534716679967,0.0420324554402766,0.0542697525937749,0.0079808459696727,0.4990689013035381,6.8,0
arendst/Tasmota,56,16,0,0,0,15,33,0,1,0.0,80286288,arendst/Tasmota,https://github.com/arendst/Tasmota,2017-01-28 13:37:08,C,,16538,3635,16538,21,25,arendst/Tasmota,arendst/Tasmota,11,0,11,426,177565,30,810,14921,7,8459,8466,1,550,2017-01-28 13:37:08,1862,95.3625134264232,0.2287862513426423,0.435016111707841,0.0161117078410311,8.01342642320086,27.0,0
facebook/zstd,8,3,0,0,0,5,7,0,28,0.0,29759715,facebook/zstd,https://github.com/facebook/zstd,2015-01-24 00:22:38,C,,15916,1514,15916,83,41,facebook/zstd,facebook/zstd,19,0,19,281,1338197,30,148,9517,96,905,1001,2,82,2015-01-24 00:22:38,2597,515.2857142857143,0.1082017712745475,0.0569888332691567,0.0115517905275317,3.664613015017328,4.933333333333334,0
radareorg/radare2,29,13,0,0,0,9,27,2,7,2.0,4869294,radareorg/radare2,https://github.com/radareorg/radare2,2012-07-03 07:42:26,C,,15342,2591,15342,836,32,radareorg/radare2,radareorg/radare2,22,11383,11405,1000,2576,30,196,27472,818,7129,7947,0,140,2012-07-03 07:42:26,3532,0.7293318233295584,0.2831257078142695,0.0554926387315968,0.008493771234428,7.778029445073613,6.533333333333333,0
gentilkiwi/mimikatz,13,1,0,0,0,0,0,0,17,6.0,18496166,gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,2014-04-06 18:30:02,C,,14504,2884,14504,126,30,gentilkiwi/mimikatz,gentilkiwi/mimikatz,25,22,47,7,40176,10,20,322,109,228,337,0,16,2014-04-06 18:30:02,2890,13.901730103806228,0.0024221453287197,0.0069204152249134,0.0034602076124567,0.1114186851211072,2.0,1
micropython/micropython,17,2,0,0,0,4,6,1,20,0.0,15337142,micropython/micropython,https://github.com/micropython/micropython,2013-12-20 11:47:07,C,,13380,4918,13380,1365,27,micropython/micropython,micropython/micropython,273,0,273,494,29809,12,24,13186,1142,2934,4076,2,86,2013-12-20 11:47:07,2997,9.94627961294628,0.1648314981648315,0.008008008008008,0.004004004004004,4.399733066399733,2.0,0
iovisor/bcc,135,3,0,1,1,1,7,0,0,1.0,34921116,iovisor/bcc,https://github.com/iovisor/bcc,2015-05-01 19:52:32,C,,13072,2529,13072,649,38,iovisor/bcc,iovisor/bcc,82,2362,2444,534,13443,15,28,4091,608,837,1445,6,166,2015-05-01 19:52:32,2500,5.3772,0.2136,0.0112,0.006,1.6364,1.8666666666666667,0
jarun/nnn,109,10,1,0,0,28,57,0,14,0.0,66150122,jarun/nnn,https://github.com/jarun/nnn,2016-08-20 14:10:14,C,,13023,509,13023,1,52,jarun/nnn,jarun/nnn,1,540,541,151,2360,30,350,3872,2,757,759,1,900,2016-08-20 14:10:14,2023,1.166584280771132,0.0746416213544241,0.1730103806228373,0.0148294611962432,1.9139891250617893,11.666666666666666,0
