fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
openssl/openssl,0,1,0,1,0,1,1,1,0,17062,17062,7459,14,openssl/openssl,openssl/openssl,0,10604,10604,862,0,0,0,30993,1410,5498,6908,1,19,672.0,176.0,158.0,175.0,158.0,181.0,1
mpv-player/mpv,1,1,0,1,1,1,1,1,0,16904,16904,2087,34,mpv-player/mpv,mpv-player/mpv,92,2435,2527,583,9224,30,2,49475,687,6552,7239,9,84,618.0,166.0,157.0,133.0,157.0,171.0,1
pbatard/rufus,0,1,0,1,0,0,1,1,0,16825,16825,1739,37,pbatard/rufus,pbatard/rufus,0,149,149,158,10878747,30,204,1876,13,1693,1706,3,35,562.0,147.0,156.0,126.0,156.0,124.0,1
arendst/Tasmota,0,1,0,1,1,1,1,1,0,16538,16538,3635,25,arendst/Tasmota,arendst/Tasmota,11,0,11,426,177565,30,810,14921,7,8459,8466,1,550,544.0,142.0,155.0,160.0,155.0,74.0,1
facebook/zstd,1,1,0,1,1,1,1,1,0,15916,15916,1514,41,facebook/zstd,facebook/zstd,19,0,19,281,1338197,30,148,9517,96,905,1001,2,82,521.0,138.0,154.0,122.0,154.0,91.0,1
radareorg/radare2,1,1,0,1,1,1,1,1,0,15342,15342,2591,32,radareorg/radare2,radareorg/radare2,22,11383,11405,1000,2576,30,196,27472,818,7129,7947,0,140,631.0,167.0,153.0,143.0,153.0,182.0,1
gentilkiwi/mimikatz,1,0,0,1,0,1,1,0,0,14504,14504,2884,30,gentilkiwi/mimikatz,gentilkiwi/mimikatz,25,22,47,7,40176,10,20,322,109,228,337,0,16,559.0,145.0,152.0,149.0,152.0,106.0,1
allinurl/goaccess,1,1,0,1,1,0,1,1,0,14041,14041,948,45,allinurl/goaccess,allinurl/goaccess,8,280,288,147,0,0,0,3701,342,1601,1943,2,335,549.0,144.0,151.0,108.0,151.0,139.0,1
micropython/micropython,0,1,0,1,0,0,0,1,0,13380,13380,4918,27,micropython/micropython,micropython/micropython,273,0,273,494,29809,12,24,13186,1142,2934,4076,2,86,605.0,159.0,150.0,167.0,150.0,138.0,1
vurtun/nuklear,1,1,0,1,0,1,1,0,0,13349,13349,1114,46,vurtun/nuklear,vurtun/nuklear,29,239,268,113,0,0,0,1712,207,451,658,1,258,547.0,143.0,149.0,112.0,149.0,137.0,1
iovisor/bcc,1,1,0,1,0,1,1,1,0,13072,13072,2529,38,iovisor/bcc,iovisor/bcc,82,2362,2444,534,13443,15,28,4091,608,837,1445,6,166,608.0,161.0,148.0,142.0,148.0,170.0,1
