fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
facebook/rocksdb,0,1,0,0,0,1,1,0,0,21320,21320,4796,23,facebook/rocksdb,900.0,0.0,2.0,0.0,10815.0,414.0,2036.0,2450.0,259.0,6731.0,6990.0,2.0,17.0,649.0,169.0,161.0,160.0,161.0,167.0,1
ClickHouse/ClickHouse,0,1,0,0,0,0,1,0,0,20833,20833,4050,24,ClickHouse/ClickHouse,1325.0,726.0,30.0,468.0,84083.0,1850.0,8970.0,10820.0,190.0,23996.0,24186.0,0.0,149.0,650.0,170.0,160.0,150.0,160.0,180.0,1
mongodb/mongo,1,1,0,1,0,1,1,0,0,20803,20803,5030,25,mongodb/mongo,919.0,0.0,2.0,0.0,63612.0,0.0,0.0,0.0,58.0,1358.0,1416.0,0.0,1.0,622.0,164.0,159.0,162.0,159.0,142.0,1
facebook/folly,0,1,0,1,0,0,1,0,0,20566,20566,4394,26,facebook/folly,1109.0,3273.0,30.0,60.0,10544.0,299.0,600.0,899.0,58.0,741.0,799.0,9.0,45.0,602.0,159.0,158.0,156.0,158.0,130.0,1
apache/incubator-mxnet,0,1,0,0,1,1,1,0,0,19775,19775,6882,27,apache/incubator-mxnet,1001.0,21535.0,30.0,49.0,11804.0,1764.0,7709.0,9473.0,216.0,10728.0,10944.0,0.0,149.0,655.0,171.0,157.0,169.0,157.0,172.0,1
ApolloAuto/apollo,0,1,0,1,0,1,1,0,0,19688,19688,7899,28,ApolloAuto/apollo,436.0,31821.0,10.0,10.0,18068.0,1064.0,2466.0,3530.0,59.0,10725.0,10784.0,0.0,126.0,655.0,171.0,156.0,172.0,156.0,171.0,1
uglide/RedisDesktopManager,0,1,0,0,0,0,0,0,0,19332,19332,3040,29,uglide/RedisDesktopManager,82.0,0.0,2.0,0.0,2093.0,28.0,4464.0,4492.0,4.0,535.0,539.0,0.0,94.0,563.0,144.0,155.0,133.0,155.0,120.0,1
v8/v8,0,0,0,1,0,0,1,1,0,18727,18727,3525,30,v8/v8,845.0,0.0,2.0,0.0,73931.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,513.0,130.0,154.0,147.0,154.0,58.0,1
mozilla/DeepSpeech,0,0,0,0,0,0,1,0,0,18584,18584,3346,31,mozilla/DeepSpeech,175.0,27568.0,30.0,871.0,3466.0,106.0,1947.0,2053.0,16.0,1625.0,1641.0,4.0,33.0,595.0,158.0,153.0,142.0,153.0,147.0,1
envoyproxy/envoy,0,1,0,0,0,1,1,1,0,18466,18466,3429,32,envoyproxy/envoy,986.0,0.0,2.0,0.0,10743.0,1131.0,5818.0,6949.0,139.0,13170.0,13309.0,13.0,62.0,623.0,165.0,152.0,145.0,152.0,174.0,1
osquery/osquery,0,1,0,0,1,1,1,0,0,18439,18439,2237,33,osquery/osquery,435.0,1258.0,30.0,143.0,6055.0,484.0,2417.0,2901.0,29.0,4441.0,4470.0,2.0,104.0,582.0,153.0,151.0,120.0,151.0,160.0,1
alibaba/weex,1,1,0,1,1,1,1,1,0,17774,17774,2156,34,alibaba/weex,307.0,0.0,2.0,0.0,12033.0,26.0,1882.0,1908.0,1.0,1374.0,1375.0,10.0,96.0,560.0,140.0,150.0,119.0,150.0,141.0,1
taichi-dev/taichi,0,1,0,1,0,1,1,1,0,17523,17523,1792,35,taichi-dev/taichi,184.0,0.0,2.0,0.0,8422.0,406.0,1103.0,1509.0,35.0,2929.0,2964.0,0.0,287.0,568.0,147.0,149.0,114.0,149.0,156.0,1
telegramdesktop/tdesktop,1,1,0,1,0,0,1,0,0,17411,17411,3707,36,telegramdesktop/tdesktop,173.0,8361.0,30.0,177.0,12010.0,713.0,10057.0,10770.0,11.0,1259.0,1270.0,3.0,101.0,583.0,154.0,148.0,149.0,148.0,138.0,1
yuzu-emu/yuzu,0,0,0,1,0,1,0,1,0,17243,17243,1459,37,yuzu-emu/yuzu,329.0,0.0,2.0,0.0,20945.0,897.0,1605.0,2502.0,45.0,4935.0,4980.0,0.0,69.0,561.0,142.0,147.0,105.0,147.0,162.0,1
swoole/swoole-src,1,0,0,1,1,1,1,1,0,17149,17149,3176,38,swoole/swoole-src,198.0,3996.0,30.0,14.0,12441.0,81.0,2929.0,3010.0,2.0,1572.0,1574.0,0.0,172.0,576.0,148.0,146.0,138.0,146.0,146.0,1
facebook/hhvm,0,1,0,1,0,1,1,1,0,17143,17143,2971,39,facebook/hhvm,1309.0,0.0,2.0,0.0,47722.0,594.0,5278.0,5872.0,62.0,2929.0,2991.0,0.0,80.0,578.0,150.0,145.0,131.0,145.0,157.0,1
google/flatbuffers,0,1,0,1,0,1,1,1,0,17120,17120,2671,40,google/flatbuffers,573.0,40056.0,18.0,17.0,2520.0,122.0,1756.0,1878.0,14.0,1869.0,1883.0,0.0,21.0,565.0,145.0,144.0,126.0,144.0,151.0,1
microsoft/CNTK,1,1,0,1,1,1,1,0,0,17117,17117,4386,41,microsoft/CNTK,296.0,5123.0,30.0,29.0,16116.0,753.0,2527.0,3280.0,82.0,457.0,539.0,0.0,150.0,561.0,142.0,143.0,155.0,143.0,120.0,1
Light-City/CPlusPlusThings,1,0,0,1,1,0,1,0,0,17027,17027,4108,42,Light-City/CPlusPlusThings,22.0,0.0,2.0,0.0,196.0,52.0,91.0,143.0,21.0,36.0,57.0,0.0,85.0,528.0,134.0,142.0,151.0,142.0,93.0,1
TheAlgorithms/C-Plus-Plus,1,1,0,0,0,1,1,1,0,16980,16980,4609,43,TheAlgorithms/C-Plus-Plus,285.0,0.0,2.0,0.0,1555.0,7.0,184.0,191.0,61.0,1675.0,1736.0,2.0,31.0,590.0,156.0,141.0,158.0,141.0,150.0,1
vnpy/vnpy,1,0,0,0,0,0,0,0,0,16937,16937,6834,44,vnpy/vnpy,144.0,0.0,2.0,0.0,6335.0,12.0,1861.0,1873.0,1.0,1344.0,1345.0,1.0,182.0,588.0,155.0,140.0,168.0,140.0,140.0,1
SerenityOS/serenity,1,1,0,1,0,1,1,0,0,16704,16704,1720,45,SerenityOS/serenity,782.0,0.0,2.0,0.0,35425.0,479.0,2347.0,2826.0,82.0,9998.0,10080.0,0.0,46.0,557.0,139.0,139.0,110.0,139.0,169.0,1
ossrs/srs,0,1,0,1,1,1,1,0,0,16576,16576,4195,46,ossrs/srs,120.0,2296.0,30.0,45.0,8019.0,174.0,835.0,1009.0,13.0,411.0,424.0,4.0,1861.0,542.0,136.0,138.0,153.0,138.0,113.0,1
Tencent/mars,1,1,0,1,0,1,1,1,1,15881,15881,3332,47,Tencent/mars,53.0,0.0,2.0,0.0,1515.0,322.0,580.0,902.0,9.0,94.0,103.0,1.0,45.0,513.0,130.0,137.0,141.0,137.0,98.0,1
microsoft/winget-cli,1,1,0,1,1,1,1,1,0,15777,15777,789,48,microsoft/winget-cli,72.0,169696.0,21.0,37.0,551.0,432.0,651.0,1083.0,14.0,619.0,633.0,0.0,35.0,488.0,120.0,136.0,92.0,136.0,124.0,1
changkun/modern-cpp-tutorial,0,1,0,1,0,1,1,0,0,15776,15776,1997,49,changkun/modern-cpp-tutorial,66.0,369.0,3.0,4.0,257.0,5.0,97.0,102.0,1.0,118.0,119.0,19.0,45.0,487.0,118.0,135.0,118.0,135.0,99.0,1
sqlitebrowser/sqlitebrowser,1,1,0,1,1,1,1,0,0,15738,15738,1746,50,sqlitebrowser/sqlitebrowser,165.0,1796072.0,30.0,128.0,3698.0,523.0,1904.0,2427.0,7.0,475.0,482.0,5.0,120.0,497.0,124.0,134.0,113.0,134.0,116.0,1
electronicarts/CnC_Remastered_Collection,1,0,0,0,0,0,0,0,0,15732,15732,4257,51,electronicarts/CnC_Remastered_Collection,3.0,0.0,2.0,0.0,12.0,73.0,20.0,93.0,11.0,10.0,21.0,0.0,1.0,504.0,127.0,133.0,154.0,133.0,84.0,1
cocos2d/cocos2d-x,1,1,0,1,1,1,1,1,0,15679,15679,6993,52,cocos2d/cocos2d-x,855.0,0.0,2.0,0.0,37358.0,1384.0,3532.0,4916.0,193.0,15495.0,15688.0,0.0,100.0,609.0,161.0,132.0,170.0,132.0,175.0,1
ValveSoftware/Proton,0,1,0,1,0,0,1,0,0,15618,15618,674,53,ValveSoftware/Proton,76.0,0.0,2.0,0.0,1266.0,3291.0,2093.0,5384.0,8.0,146.0,154.0,1.0,95.0,451.0,104.0,131.0,88.0,131.0,101.0,1
haoel/leetcode,1,0,0,0,0,0,1,0,0,15480,15480,4565,54,haoel/leetcode,59.0,0.0,2.0,0.0,787.0,20.0,36.0,56.0,11.0,200.0,211.0,0.0,437.0,524.0,133.0,130.0,157.0,130.0,107.0,1
facebookresearch/faiss,0,1,0,1,0,1,1,0,0,15295,15295,2415,55,facebookresearch/faiss,97.0,0.0,2.0,0.0,599.0,189.0,1547.0,1736.0,9.0,456.0,465.0,0.0,44.0,496.0,123.0,129.0,123.0,129.0,115.0,1
flameshot-org/flameshot,1,1,0,1,1,1,1,1,0,15292,15292,958,56,flameshot-org/flameshot,202.0,38599.0,22.0,319.0,1675.0,304.0,1310.0,1614.0,10.0,794.0,804.0,2.0,155.0,483.0,117.0,128.0,96.0,128.0,131.0,1
