fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
istio/istio,0,1,0,0,0,0,1,0,0,28856,28856,5898,23,istio/istio,932.0,397092.0,30.0,714.0,17492.0,559.0,14784.0,15343.0,85.0,22289.0,22374.0,2.0,79.0,700.0,181.0,168.0,175.0,168.0,189.0,1
wagoodman/dive,1,1,0,1,0,0,1,0,0,28750,28750,1101,24,wagoodman/dive,40.0,4718.0,24.0,133.0,412.0,105.0,143.0,248.0,13.0,126.0,139.0,8.0,85.0,547.0,138.0,167.0,108.0,167.0,105.0,1
unknwon/the-way-to-go_ZH_CN,1,0,0,0,1,0,0,0,0,28198,28198,7598,25,unknwon/the-way-to-go_ZH_CN,254.0,0.0,0.0,0.0,1405.0,0.0,0.0,0.0,0.0,656.0,656.0,0.0,121.0,648.0,165.0,166.0,181.0,166.0,135.0,1
beego/beego,1,1,0,1,0,1,1,0,1,27320,27320,5362,26,beego/beego,485.0,0.0,12.0,0.0,4549.0,18.0,3106.0,3124.0,6.0,1712.0,1718.0,3.0,88.0,661.0,171.0,165.0,174.0,165.0,157.0,1
go-gitea/gitea,1,1,0,1,0,1,1,1,0,27171,27171,3410,27,go-gitea/gitea,1112.0,1616.0,30.0,900.0,12936.0,1809.0,6864.0,8673.0,186.0,9959.0,10145.0,1.0,517.0,669.0,173.0,164.0,159.0,164.0,182.0,1
cli/cli,0,1,0,1,0,0,1,1,0,26498,26498,3070,28,cli/cli,328.0,7252.0,30.0,510.0,5301.0,342.0,2169.0,2511.0,25.0,1599.0,1624.0,0.0,93.0,633.0,159.0,163.0,152.0,163.0,155.0,1
go-gorm/gorm,1,1,0,1,0,1,1,1,0,26039,26039,2948,29,go-gorm/gorm,323.0,0.0,2.0,0.0,2395.0,53.0,4193.0,4246.0,6.0,887.0,893.0,7.0,227.0,621.0,157.0,162.0,150.0,162.0,147.0,1
jesseduffield/lazygit,1,1,0,1,0,0,1,1,1,24349,24349,912,30,jesseduffield/lazygit,158.0,567.0,30.0,404.0,2960.0,279.0,667.0,946.0,23.0,756.0,779.0,2.0,115.0,566.0,144.0,161.0,102.0,161.0,142.0,1
docker/compose,0,1,0,1,1,0,1,1,0,24329,24329,4075,31,docker/compose,84.0,62219.0,30.0,358.0,3166.0,657.0,5425.0,6082.0,89.0,2963.0,3052.0,0.0,48.0,651.0,166.0,160.0,168.0,160.0,163.0,1
spf13/cobra,0,1,0,1,0,1,0,0,0,24247,24247,2103,33,spf13/cobra,243.0,0.0,15.0,0.0,879.0,181.0,670.0,851.0,98.0,665.0,763.0,9.0,148.0,596.0,155.0,159.0,138.0,159.0,140.0,1
hashicorp/consul,0,1,0,0,0,0,1,1,0,23642,23642,3922,34,hashicorp/consul,944.0,0.0,30.0,0.0,16877.0,936.0,3811.0,4747.0,152.0,7513.0,7665.0,2.0,53.0,657.0,169.0,158.0,165.0,158.0,176.0,1
cockroachdb/cockroach,0,1,0,1,0,1,1,1,0,22586,22586,2942,35,cockroachdb/cockroach,698.0,0.0,0.0,0.0,67137.0,4100.0,35006.0,39106.0,659.0,37619.0,38278.0,2.0,193.0,653.0,167.0,157.0,149.0,157.0,190.0,1
kubernetes/minikube,0,1,0,1,0,1,1,0,0,22580,22580,3816,36,kubernetes/minikube,789.0,150980.0,30.0,900.0,18255.0,627.0,6636.0,7263.0,64.0,6396.0,6460.0,1.0,245.0,647.0,164.0,156.0,162.0,156.0,173.0,1
influxdata/influxdb,0,1,0,1,0,1,1,1,0,22504,22504,3070,37,influxdata/influxdb,615.0,0.0,30.0,0.0,35083.0,1384.0,10918.0,12302.0,48.0,10514.0,10562.0,0.0,43.0,645.0,163.0,155.0,152.0,155.0,183.0,1
hashicorp/vault,0,1,0,1,0,0,1,0,0,22296,22296,3157,38,hashicorp/vault,1202.0,0.0,30.0,0.0,14792.0,840.0,3914.0,4754.0,279.0,9315.0,9594.0,3.0,57.0,644.0,161.0,154.0,155.0,154.0,181.0,1
halfrost/LeetCode-Go,1,1,0,1,1,1,1,0,0,22156,22156,4019,39,halfrost/LeetCode-Go,47.0,51402.0,4.0,5.0,1233.0,10.0,47.0,57.0,1.0,174.0,175.0,0.0,287.0,580.0,151.0,153.0,167.0,153.0,107.0,1
go-kit/kit,1,1,0,1,0,0,1,1,1,21827,21827,2212,40,go-kit/kit,228.0,0.0,12.0,0.0,1514.0,34.0,510.0,544.0,9.0,610.0,619.0,3.0,78.0,575.0,150.0,152.0,139.0,152.0,132.0,1
mattermost/mattermost-server,0,1,0,1,0,1,1,1,0,21572,21572,5246,41,mattermost/mattermost-server,741.0,0.0,30.0,0.0,14555.0,664.0,5694.0,6358.0,88.0,13166.0,13254.0,2.0,94.0,660.0,170.0,151.0,173.0,151.0,185.0,1
Dreamacro/clash,0,1,0,1,1,1,1,0,0,21527,21527,3018,42,Dreamacro/clash,82.0,64353.0,30.0,513.0,719.0,56.0,1267.0,1323.0,12.0,353.0,365.0,0.0,80.0,569.0,146.0,150.0,151.0,150.0,118.0,1
kataras/iris,1,1,0,1,1,1,1,1,0,21517,21517,2335,43,kataras/iris,100.0,0.0,20.0,0.0,2355.0,72.0,746.0,818.0,0.0,279.0,279.0,0.0,598.0,555.0,141.0,149.0,142.0,149.0,115.0,1
github/hub,0,1,0,1,0,1,0,0,0,21404,21404,2261,44,github/hub,254.0,39128.0,30.0,257.0,3315.0,221.0,1738.0,1959.0,48.0,753.0,801.0,8.0,184.0,581.0,152.0,148.0,141.0,148.0,144.0,1
labstack/echo,1,1,0,1,1,1,1,1,0,21202,21202,1880,45,labstack/echo,251.0,0.0,30.0,0.0,1598.0,44.0,1197.0,1241.0,14.0,753.0,767.0,6.0,237.0,567.0,145.0,147.0,132.0,147.0,141.0,1
inconshreveable/ngrok,1,1,0,1,1,0,1,0,0,21104,21104,3870,46,inconshreveable/ngrok,27.0,0.0,0.0,0.0,328.0,336.0,417.0,753.0,10.0,65.0,75.0,0.0,24.0,551.0,139.0,146.0,163.0,146.0,96.0,1
openfaas/faas,0,1,0,1,1,1,1,1,0,20733,20733,1679,47,openfaas/faas,182.0,3268.0,30.0,104.0,2033.0,5.0,737.0,742.0,5.0,880.0,885.0,0.0,159.0,563.0,143.0,145.0,127.0,145.0,146.0,1
