fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
vuetifyjs/vuetify,1,1,0,1,1,1,1,1,0,32980,32980,5976,24,vuetifyjs/vuetify,753.0,1675.0,30.0,30.0,11682.0,984.0,9589.0,10573.0,46.0,3743.0,3789.0,0.0,140.0,688.0,176.0,171.0,174.0,171.0,172.0,1
immutable-js/immutable-js,0,1,0,1,1,1,1,1,0,31631,31631,1851,25,immutable-js/immutable-js,217.0,0.0,2.0,0.0,1689.0,92.0,1112.0,1204.0,20.0,666.0,686.0,12.0,145.0,598.0,158.0,170.0,133.0,170.0,125.0,1
ant-design/ant-design-pro,1,1,0,1,0,0,1,1,0,30815,30815,7167,26,ant-design/ant-design-pro,312.0,0.0,2.0,0.0,2368.0,143.0,8030.0,8173.0,1.0,1315.0,1316.0,7.0,82.0,651.0,169.0,169.0,177.0,169.0,136.0,1
nativefier/nativefier,0,1,0,1,0,1,1,0,0,29181,29181,1862,27,nativefier/nativefier,136.0,0.0,2.0,0.0,1146.0,181.0,890.0,1071.0,9.0,283.0,292.0,9.0,114.0,576.0,151.0,168.0,134.0,168.0,106.0,1
formium/formik,0,1,0,1,0,1,1,0,0,28889,28889,2362,28,formium/formik,429.0,0.0,2.0,0.0,1703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,483.0,114.0,167.0,148.0,167.0,1.0,1
facebook/docusaurus,1,1,0,1,0,1,1,1,0,28685,28685,3855,29,facebook/docusaurus,857.0,0.0,2.0,0.0,4704.0,148.0,1952.0,2100.0,37.0,4241.0,4278.0,1.0,72.0,668.0,171.0,166.0,161.0,166.0,175.0,1
laurent22/joplin,1,1,0,1,0,1,1,1,1,26707,26707,2938,30,laurent22/joplin,495.0,131267.0,30.0,210.0,7535.0,310.0,4073.0,4383.0,8.0,1815.0,1823.0,0.0,687.0,630.0,165.0,165.0,155.0,165.0,145.0,1
typeorm/typeorm,0,1,0,1,0,1,1,1,0,26427,26427,4744,32,typeorm/typeorm,853.0,0.0,2.0,0.0,4929.0,1444.0,5113.0,6557.0,23.0,2145.0,2168.0,5.0,196.0,648.0,167.0,164.0,170.0,164.0,150.0,1
vuejs/vue-next,1,0,0,1,1,0,0,0,0,26155,26155,4543,33,vuejs/vue-next,321.0,0.0,2.0,0.0,4204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,496.0,121.0,163.0,169.0,163.0,1.0,1
ReactiveX/rxjs,0,1,0,1,1,1,1,1,0,26062,26062,2680,34,ReactiveX/rxjs,531.0,0.0,2.0,0.0,4982.0,201.0,2799.0,3000.0,35.0,3597.0,3632.0,6.0,119.0,648.0,167.0,162.0,153.0,162.0,171.0,1
