fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
scutan90/DeepLearning-500-questions,1,0,0,0,1,0,0,0,0,46592,46592,14573,22,scutan90/DeepLearning-500-questions,124.0,0.0,0.0,0.0,1275.0,97.0,80.0,177.0,2.0,333.0,335.0,0.0,203.0,615.0,163.0,165.0,176.0,165.0,109.0,1
leonardomso/33-js-concepts,1,1,0,1,1,0,1,0,1,45398,45398,5954,23,leonardomso/33-js-concepts,103.0,0.0,0.0,0.0,539.0,7.0,32.0,39.0,5.0,165.0,170.0,1.0,435.0,574.0,152.0,164.0,150.0,164.0,96.0,1
iptv-org/iptv,0,1,0,1,0,0,1,1,0,42888,42888,4110,24,iptv-org/iptv,177.0,0.0,0.0,0.0,19256.0,336.0,1845.0,2181.0,6.0,4049.0,4055.0,0.0,977.0,636.0,166.0,163.0,136.0,163.0,174.0,1
meteor/meteor,0,0,0,1,0,0,1,0,0,42714,42714,5192,25,meteor/meteor,818.0,0.0,0.0,0.0,31974.0,111.0,8587.0,8698.0,5.0,3082.0,3087.0,2.0,86.0,640.0,167.0,162.0,144.0,162.0,172.0,1
NARKOZ/hacker-scripts,0,1,0,1,0,0,0,0,0,42587,42587,6560,26,NARKOZ/hacker-scripts,58.0,0.0,0.0,0.0,148.0,34.0,37.0,71.0,30.0,109.0,139.0,0.0,14.0,571.0,147.0,161.0,154.0,161.0,95.0,1
serverless/serverless,0,1,0,1,1,1,1,1,0,41469,41469,5035,27,serverless/serverless,1125.0,64152.0,30.0,90.0,15183.0,850.0,4705.0,5555.0,31.0,4847.0,4878.0,0.0,542.0,640.0,167.0,160.0,143.0,160.0,177.0,1
yarnpkg/yarn,0,1,0,1,0,1,1,1,0,40296,40296,2755,28,yarnpkg/yarn,544.0,36364.0,30.0,253.0,2351.0,1806.0,4533.0,6339.0,157.0,2110.0,2267.0,7.0,74.0,600.0,157.0,159.0,117.0,159.0,165.0,1
ColorlibHQ/AdminLTE,0,1,0,1,1,1,1,1,0,40017,40017,17168,29,ColorlibHQ/AdminLTE,127.0,0.0,30.0,0.0,2462.0,38.0,2603.0,2641.0,18.0,1523.0,1541.0,0.0,94.0,648.0,169.0,158.0,178.0,158.0,154.0,1
parcel-bundler/parcel,1,1,0,1,0,1,1,1,0,39581,39581,2036,30,parcel-bundler/parcel,358.0,0.0,14.0,0.0,2636.0,687.0,3758.0,4445.0,72.0,2393.0,2465.0,3.0,37.0,588.0,154.0,157.0,108.0,157.0,166.0,1
TryGhost/Ghost,0,0,0,1,0,1,0,1,0,39155,39155,8464,31,TryGhost/Ghost,475.0,5603.0,30.0,30.0,15651.0,30.0,6255.0,6285.0,23.0,7878.0,7901.0,11.0,132.0,659.0,173.0,156.0,165.0,156.0,182.0,1
