fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
mame/quine-relay,1,1,0,1,0,1,1,0,0,11556,11556,523,24,mame/quine-relay,18.0,0.0,2.0,0.0,458.0,14.0,65.0,79.0,0.0,40.0,40.0,3.0,187.0,522.0,131.0,164.0,106.0,164.0,88.0,1
spree/spree,1,1,0,1,0,1,1,1,0,11543,11543,4821,25,spree/spree,1171.0,0.0,2.0,0.0,24595.0,174.0,3895.0,4069.0,69.0,7357.0,7426.0,0.0,290.0,679.0,172.0,163.0,177.0,163.0,176.0,1
lewagon/setup,1,0,0,1,0,0,1,0,0,11538,11538,1006,26,lewagon/setup,63.0,0.0,2.0,0.0,993.0,5.0,113.0,118.0,1.0,245.0,246.0,0.0,58.0,558.0,141.0,162.0,129.0,162.0,105.0,1
sinatra/sinatra,1,1,0,1,1,0,1,0,0,11482,11482,2034,27,sinatra/sinatra,505.0,0.0,2.0,0.0,4362.0,57.0,733.0,790.0,11.0,928.0,939.0,7.0,143.0,626.0,160.0,161.0,154.0,161.0,150.0,1
mperham/sidekiq,0,1,0,1,0,1,1,0,0,11415,11415,2037,28,mperham/sidekiq,562.0,0.0,2.0,0.0,4166.0,21.0,3838.0,3859.0,3.0,1329.0,1332.0,4.0,92.0,634.0,163.0,160.0,155.0,160.0,159.0,1
chatwoot/chatwoot,0,1,0,1,0,1,1,0,0,11400,11400,1305,29,chatwoot/chatwoot,172.0,0.0,2.0,0.0,1918.0,530.0,1400.0,1930.0,36.0,1920.0,1956.0,5.0,57.0,624.0,159.0,159.0,141.0,159.0,165.0,1
tmuxinator/tmuxinator,1,1,0,1,0,1,1,1,0,11048,11048,611,30,tmuxinator/tmuxinator,144.0,0.0,2.0,0.0,842.0,99.0,385.0,484.0,6.0,362.0,368.0,8.0,120.0,547.0,139.0,158.0,112.0,158.0,119.0,1
fluent/fluentd,0,1,0,1,1,1,1,0,0,10773,10773,1226,32,fluent/fluentd,266.0,0.0,2.0,0.0,6254.0,112.0,1726.0,1838.0,6.0,1777.0,1783.0,2.0,45.0,614.0,157.0,157.0,137.0,157.0,163.0,1
Homebrew/homebrew-core,0,1,0,1,0,1,1,1,0,10362,10362,9962,33,Homebrew/homebrew-core,12243.0,0.0,2.0,0.0,281563.0,24.0,4580.0,4604.0,87.0,91633.0,91720.0,1.0,22.0,684.0,174.0,156.0,186.0,156.0,186.0,1
jordansissel/fpm,0,1,0,1,0,0,1,0,0,10254,10254,1021,34,jordansissel/fpm,331.0,0.0,2.0,0.0,2232.0,626.0,526.0,1152.0,76.0,642.0,718.0,0.0,12.0,579.0,147.0,155.0,130.0,155.0,139.0,1
faker-ruby/faker,1,1,0,1,0,1,1,1,0,9609,9609,2783,35,faker-ruby/faker,886.0,0.0,2.0,0.0,2474.0,71.0,441.0,512.0,96.0,1839.0,1935.0,0.0,319.0,636.0,164.0,154.0,164.0,154.0,164.0,1
teamcapybara/capybara,1,1,0,1,0,0,1,0,1,9473,9473,1398,36,teamcapybara/capybara,384.0,0.0,2.0,0.0,4157.0,9.0,1467.0,1476.0,19.0,1033.0,1052.0,2.0,209.0,604.0,154.0,153.0,145.0,153.0,153.0,1
ruby-grape/grape,1,1,0,1,1,1,1,1,0,9430,9430,1205,37,ruby-grape/grape,450.0,0.0,2.0,0.0,2530.0,199.0,867.0,1066.0,35.0,1144.0,1179.0,2.0,460.0,596.0,151.0,152.0,136.0,152.0,156.0,1
imathis/octopress,0,1,0,0,1,1,1,1,0,9387,9387,2753,38,imathis/octopress,133.0,0.0,2.0,0.0,857.0,175.0,811.0,986.0,74.0,708.0,782.0,2.0,41.0,607.0,155.0,151.0,163.0,151.0,142.0,1
