Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
antirez/disque,239,1,0,0,0,23,27,0,175,1.0,34676773,antirez/disque,https://github.com/antirez/disque,2015-04-27 16:06:09,C,,7823,547,7823,60,99,antirez/disque,antirez/disque,18,91,109,59,0,1,0,602,41,65,106,4,133,2015-04-27 16:06:09,2538,0.0,0.0232466509062253,0.0,0.0003940110323089,0.2371946414499606,0.0,0.2375886524822695,0
borgbackup/borg,15,0,0,0,0,0,0,0,20,0.0,35517126,borgbackup/borg,https://github.com/borgbackup/borg,2015-05-12 23:10:47,C,,7752,595,7752,551,97,borgbackup/borg,borgbackup/borg,24,2999,3023,281,4636,30,360,6589,576,2766,3342,13,95,2015-05-12 23:10:47,2523,1.837495045580658,0.1113753468093539,0.1426872770511296,0.0118906064209274,2.611573523583036,12.0,14.623464130003963,1
cesanta/mongoose,24,5,0,0,0,5,22,0,1,0.0,5414488,cesanta/mongoose,https://github.com/cesanta/mongoose,2012-08-14 15:09:51,C,,7706,2178,7706,6,88,cesanta/mongoose,cesanta/mongoose,5,405,410,142,3798,30,9,3655,2,1055,1057,0,247,2012-08-14 15:09:51,3524,1.0777525539160044,0.0402951191827468,0.0025539160045402,0.0085130533484676,1.0371736662883086,0.3,1.3456867196367763,1
espressif/arduino-esp32,9,4,0,0,0,5,15,1,0,0.0,70127218,espressif/arduino-esp32,https://github.com/espressif/arduino-esp32,2016-10-06 06:04:20,C,,7682,4847,7682,339,78,espressif/arduino-esp32,espressif/arduino-esp32,39,1588,1627,522,1421752,30,114,1678,357,4384,4741,1,45,2016-10-06 06:04:20,2010,707.3393034825871,0.2597014925373134,0.0567164179104477,0.0149253731343283,0.8348258706467662,3.8,4.649751243781094,1
DanieleDeSensi/peafowl,26,10,0,0,0,1,12,0,2,0.0,9239261,DanieleDeSensi/peafowl,https://github.com/DanieleDeSensi/peafowl,2013-04-05 10:56:18,C,,97,33,97,1,104,DanieleDeSensi/peafowl,DanieleDeSensi/peafowl,0,35,35,13,29,2,3,456,1,8,9,0,70,2013-04-05 10:56:18,3290,0.0088145896656534,0.003951367781155,0.0009118541033434,0.0006079027355623,0.1386018237082067,1.5,1.639209726443769,1
xiph/opusfile,0,3,0,0,0,0,3,0,0,0.0,28172682,xiph/opusfile,https://github.com/xiph/opusfile,2014-12-18 07:15:34,C,,96,47,96,12,101,xiph/opusfile,xiph/opusfile,3,10,13,26,16019,6,12,457,8,9,17,0,6,2014-12-18 07:15:34,2668,6.004122938530735,0.0097451274362818,0.0044977511244377,0.0022488755622188,0.1712893553223388,2.0,2.1735382308845574,1
JUMA-IO/STM32_Platform,17,1,0,0,0,1,16,0,10,0.0,49547764,JUMA-IO/STM32_Platform,https://github.com/JUMA-IO/STM32_Platform,2016-01-13 03:49:37,C,,90,69,90,4,105,JUMA-IO/STM32_Platform,JUMA-IO/STM32_Platform,0,93,93,17,0,7,0,261,4,7,11,0,19,2016-01-13 03:49:37,2277,0.0,0.0074659639877031,0.0,0.0030742204655248,0.1146245059288537,0.0,0.1176987263943785,0
dimitri/pgextwlist,10,1,0,0,0,0,2,0,33,0.0,2958353,dimitri/pgextwlist,https://github.com/dimitri/pgextwlist,2011-12-11 14:11:13,C,,86,31,86,5,111,dimitri/pgextwlist,dimitri/pgextwlist,2,23,25,17,0,4,0,102,4,17,21,4,13,2011-12-11 14:11:13,3771,0.0,0.0045080880403076,0.0,0.0010607265977194,0.0270485282418456,0.0,0.028109254839565,0
yubo/ip_vs_ca,23,2,0,0,0,1,4,0,5,3.0,52423233,yubo/ip_vs_ca,https://github.com/yubo/ip_vs_ca,2016-02-24 07:31:12,C,,84,26,84,3,116,yubo/ip_vs_ca,yubo/ip_vs_ca,0,0,0,3,48,3,7,32,3,11,14,0,20,2016-02-24 07:31:12,2235,0.021476510067114,0.0013422818791946,0.0031319910514541,0.0013422818791946,0.014317673378076,2.333333333333333,2.3489932885906035,1
atnan/QLPrettyPatch,2,1,0,0,0,2,3,0,4,0.0,14760455,atnan/QLPrettyPatch,https://github.com/atnan/QLPrettyPatch,2013-11-27 22:14:43,C,,83,4,83,1,137,atnan/QLPrettyPatch,atnan/QLPrettyPatch,1,0,1,1,89326,1,1,11,0,0,0,0,5,2013-11-27 22:14:43,3054,29.248853962017023,0.0003274394237066,0.0003274394237066,0.0003274394237066,0.0036018336607727,1.0,1.0039292730844793,1
Juniper/juise,0,0,0,0,0,2,2,0,0,0.0,10245331,Juniper/juise,https://github.com/Juniper/juise,2013-05-23 14:16:22,C,,50,14,50,14,154,Juniper/juise,Juniper/juise,0,12,12,14,1472,16,23,869,14,10,24,0,6,2013-05-23 14:16:22,3242,0.4540407156076496,0.0043183220234423,0.0070943861813695,0.0049352251696483,0.2680444170265268,1.4375,1.7104796421961752,1
zephyrproject-rtos/meta-zephyr-sdk,0,1,0,0,0,0,1,1,0,2.0,61154171,zephyrproject-rtos/meta-zephyr-sdk,https://github.com/zephyrproject-rtos/meta-zephyr-sdk,2016-06-14 20:38:26,C,,45,28,45,4,143,zephyrproject-rtos/meta-zephyr-sdk,zephyrproject-rtos/meta-zephyr-sdk,0,35,35,9,45614,27,20,232,4,75,79,0,5,2016-06-14 20:38:26,2124,21.475517890772128,0.0042372881355932,0.0094161958568738,0.0127118644067796,0.1092278719397363,0.7407407407407407,0.8626804770872566,1
ailispaw/docker-root-xhyve,17,0,0,0,0,3,3,0,2,13.0,40382497,ailispaw/docker-root-xhyve,https://github.com/ailispaw/docker-root-xhyve,2015-08-07 21:56:17,C,,42,4,42,2,168,ailispaw/docker-root-xhyve,ailispaw/docker-root-xhyve,0,0,0,1,568,9,9,89,2,9,11,0,60,2015-08-07 21:56:17,2436,0.2331691297208538,0.0004105090311986,0.0036945812807881,0.0036945812807881,0.036535303776683,1.0,1.0402298850574712,1
WetDesertRock/GifCat,5,1,2,0,0,1,1,0,16,3.0,61999967,WetDesertRock/GifCat,https://github.com/WetDesertRock/GifCat,2016-06-26 17:20:00,C,,36,5,36,4,173,WetDesertRock/GifCat,WetDesertRock/GifCat,0,2,2,2,0,1,0,6,4,0,4,0,6,2016-06-26 17:20:00,2112,0.0,0.0009469696969696,0.0,0.0004734848484848,0.002840909090909,0.0,0.0033143939393938,0
wireapp/cryptobox-c,10,0,0,0,0,12,20,0,50,0.0,47832811,wireapp/cryptobox-c,https://github.com/wireapp/cryptobox-c,2015-12-11 15:02:09,C,,28,17,28,2,165,wireapp/cryptobox-c,wireapp/cryptobox-c,0,18,18,17,0,6,0,213,2,0,2,0,17,2015-12-11 15:02:09,2310,0.0,0.0073593073593073,0.0,0.0025974025974025,0.0922077922077922,0.0,0.0948051948051947,0
wireapp/cryptobox-c,10,0,0,0,0,12,20,0,50,0.0,47832811,wireapp/cryptobox-c,https://github.com/wireapp/cryptobox-c,2015-12-11 15:02:09,C,,28,17,28,2,165,wireapp/cryptobox-c,wireapp/cryptobox-c,0,18,18,17,0,6,0,213,2,0,2,0,17,2015-12-11 15:02:09,2310,0.0,0.0073593073593073,0.0,0.0025974025974025,0.0922077922077922,0.0,0.0948051948051947,0
open-power/capiflash,11,0,0,0,0,0,1,0,0,4.0,45078254,open-power/capiflash,https://github.com/open-power/capiflash,2015-10-28 00:19:54,C,,23,12,23,3,175,open-power/capiflash,open-power/capiflash,0,16,16,7,0,11,0,98,3,6,9,0,15,2015-10-28 00:19:54,2354,0.0,0.0029736618521665,0.0,0.0046728971962616,0.0416312659303313,0.0,0.0463041631265929,0
rebelbot/OptimizerLesson,0,0,0,0,0,0,0,0,0,0.0,43264120,rebelbot/OptimizerLesson,https://github.com/rebelbot/OptimizerLesson,2015-09-27 20:41:06,C,,7,5,7,0,190,rebelbot/OptimizerLesson,rebelbot/OptimizerLesson,0,2,2,2,0,2,0,7,0,0,0,0,1,2015-09-27 20:41:06,2385,0.0,0.00083857442348,0.0,0.00083857442348,0.0029350104821802,0.0,0.0037735849056602,0
HomeBankCode/lena-its-tools,9,0,0,0,0,0,0,0,3,0.0,35401620,HomeBankCode/lena-its-tools,https://github.com/HomeBankCode/lena-its-tools,2015-05-11 04:12:46,C,,2,3,2,0,195,HomeBankCode/lena-its-tools,HomeBankCode/lena-its-tools,0,17,17,5,0,2,0,130,0,0,0,0,10,2015-05-11 04:12:46,2524,0.0,0.0019809825673534,0.0,0.0007923930269413,0.0515055467511885,0.0,0.0522979397781298,0
