Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
robertdavidgraham/masscan,41,1,0,0,0,0,2,0,75,1.0,11715753,robertdavidgraham/masscan,https://github.com/robertdavidgraham/masscan,2013-07-28 05:35:33,C,,18161,2612,18161,332,26,robertdavidgraham/masscan,robertdavidgraham/masscan,37,0,37,65,0,11,0,705,309,150,459,0,46,2013-07-28 05:35:33,3176,0.0,0.0204659949622166,0.0,0.0034634760705289,0.2219773299748111,0.0,0.22544080604534,0
go-delve/delve,11,4,0,0,0,1,4,0,0,0.0,19994257,go-delve/delve,https://github.com/go-delve/delve,2014-05-20 19:24:43,C,,17392,1760,17392,132,33,go-delve/delve,go-delve/delve,9,1531,1540,189,0,17,0,2214,105,1261,1366,4,88,2014-05-20 19:24:43,2880,0.0,0.065625,0.0,0.0059027777777777,0.76875,0.0,0.7746527777777777,0
taosdata/TDengine,22,6,0,0,0,8,29,0,2,34.0,196353673,taosdata/TDengine,https://github.com/taosdata/TDengine,2019-07-11 08:33:48,C,,17376,4149,17376,467,19,taosdata/TDengine,taosdata/TDengine,12,7946,7958,260,0,30,0,23834,496,2060,2556,0,91,2019-07-11 08:33:48,1002,0.0,0.2594810379241516,0.0,0.029940119760479,23.786427145708583,0.0,23.81636726546906,1
mpv-player/mpv,40,1,0,0,0,4,7,0,17,0.0,6201092,mpv-player/mpv,https://github.com/mpv-player/mpv,2012-10-13 08:08:44,C,,16904,2087,16904,738,34,mpv-player/mpv,mpv-player/mpv,92,2435,2527,583,9224,30,2,49475,687,6552,7239,9,84,2012-10-13 08:08:44,3464,2.6628175519630486,0.1683025404157044,0.0005773672055427,0.0086605080831408,14.282621247113164,0.0666666666666666,14.357948421862972,1
pbatard/rufus,19,8,0,0,0,10,18,0,1,0.0,2810292,pbatard/rufus,https://github.com/pbatard/rufus,2011-11-19 19:12:05,C,,16825,1739,16825,12,37,pbatard/rufus,pbatard/rufus,0,149,149,158,10878747,30,204,1876,13,1693,1706,3,35,2011-11-19 19:12:05,3793,2868.111521223306,0.0416556815185868,0.0537832849986817,0.0079093066174532,0.4945953071447403,6.8,7.302504613762193,1
arendst/Tasmota,56,16,0,0,0,15,33,0,1,0.0,80286288,arendst/Tasmota,https://github.com/arendst/Tasmota,2017-01-28 13:37:08,C,,16538,3635,16538,21,25,arendst/Tasmota,arendst/Tasmota,11,0,11,426,177565,30,810,14921,7,8459,8466,1,550,2017-01-28 13:37:08,1896,93.65242616033755,0.2246835443037974,0.4272151898734177,0.0158227848101265,7.869725738396625,27.0,34.88554852320675,1
facebook/zstd,8,3,0,0,0,5,7,0,28,0.0,29759715,facebook/zstd,https://github.com/facebook/zstd,2015-01-24 00:22:38,C,,15916,1514,15916,83,41,facebook/zstd,facebook/zstd,19,0,19,281,1338197,30,148,9517,96,905,1001,2,82,2015-01-24 00:22:38,2631,508.6267578867351,0.1068034967692892,0.0562523755226149,0.0114025085518814,3.617255796275181,4.933333333333334,8.561991638160396,1
radareorg/radare2,29,13,0,0,0,9,27,2,7,2.0,4869294,radareorg/radare2,https://github.com/radareorg/radare2,2012-07-03 07:42:26,C,,15342,2591,15342,836,32,radareorg/radare2,radareorg/radare2,22,11383,11405,1000,2576,30,196,27472,818,7129,7947,0,140,2012-07-03 07:42:26,3566,0.7223780145821649,0.2804262478968031,0.0549635445877734,0.008412787436904,7.703869882220975,6.533333333333333,14.245616002991213,1
gentilkiwi/mimikatz,13,1,0,0,0,0,0,0,17,6.0,18496166,gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,2014-04-06 18:30:02,C,,14504,2884,14504,126,30,gentilkiwi/mimikatz,gentilkiwi/mimikatz,25,22,47,7,40176,10,20,322,109,228,337,0,16,2014-04-06 18:30:02,2924,13.740082079343363,0.0023939808481532,0.0068399452804377,0.0034199726402188,0.1101231190150478,2.0,2.1135430916552664,1
micropython/micropython,17,2,0,0,0,4,6,1,20,0.0,15337142,micropython/micropython,https://github.com/micropython/micropython,2013-12-20 11:47:07,C,,13380,4918,13380,1365,27,micropython/micropython,micropython/micropython,273,0,273,494,29809,12,24,13186,1142,2934,4076,2,86,2013-12-20 11:47:07,3031,9.834708017156052,0.162982514021775,0.0079181788188716,0.0039590894094358,4.350379412735071,2.0,6.354338502144507,1
iovisor/bcc,135,3,0,1,1,1,7,0,0,1.0,34921116,iovisor/bcc,https://github.com/iovisor/bcc,2015-05-01 19:52:32,C,,13072,2529,13072,649,38,iovisor/bcc,iovisor/bcc,82,2362,2444,534,13443,15,28,4091,608,837,1445,6,166,2015-05-01 19:52:32,2534,5.305051302288871,0.2107340173638516,0.011049723756906,0.0059194948697711,1.6144435674822415,1.8666666666666667,3.4870297290186794,1
jarun/nnn,109,10,1,0,0,28,57,0,14,0.0,66150122,jarun/nnn,https://github.com/jarun/nnn,2016-08-20 14:10:14,C,,13023,509,13023,1,52,jarun/nnn,jarun/nnn,1,540,541,151,2360,30,350,3872,2,757,759,1,900,2016-08-20 14:10:14,2057,1.1473018959649977,0.0734078755469129,0.1701507049100632,0.0145843461351482,1.8823529411764703,11.666666666666666,13.563603953978285,1
timescale/timescaledb,26,1,0,0,0,11,35,1,4,2.0,84240850,timescale/timescaledb,https://github.com/timescale/timescaledb,2017-03-07 20:03:41,C,,12166,641,12166,372,50,timescale/timescaledb,timescale/timescaledb,16,2260,2276,82,4199,30,19,3192,382,1418,1800,1,87,2017-03-07 20:03:41,1858,2.259956942949408,0.0441334768568353,0.0102260495156081,0.0161463939720129,1.7179763186221744,0.6333333333333333,2.3674560459275207,1
Foundry376/Mailspring,2,4,0,0,0,9,20,0,0,3.0,70777180,Foundry376/Mailspring,https://github.com/Foundry376/Mailspring,2016-10-13 06:45:50,C,,11867,757,11867,8,51,Foundry376/Mailspring,Foundry376/Mailspring,4,218,222,239,75020,30,202,7389,3,2142,2145,2,141,2016-10-13 06:45:50,2003,37.45381927109336,0.1193210184722915,0.1008487269096355,0.0149775336994508,3.688966550174738,6.733333333333333,10.437277417207522,1
alibaba/tengine,21,1,0,0,0,3,7,1,0,0.0,3784017,alibaba/tengine,https://github.com/alibaba/tengine,2012-03-21 06:34:37,C,,11192,2388,11192,378,43,alibaba/tengine,alibaba/tengine,48,747,795,114,0,8,0,1525,345,465,810,0,23,2012-03-21 06:34:37,3670,0.0,0.0310626702997275,0.0,0.0021798365122615,0.4155313351498637,0.0,0.4177111716621252,0
twitter/twemproxy,102,1,0,0,0,19,59,0,8,0.0,3516624,twitter/twemproxy,https://github.com/twitter/twemproxy,2012-02-22 16:53:58,C,,11121,1952,11121,168,44,twitter/twemproxy,twitter/twemproxy,39,0,39,76,1658,5,2,602,133,281,414,6,108,2012-02-22 16:53:58,3698,0.4483504597079502,0.020551649540292,0.0005408328826392,0.0013520822065981,0.1627906976744186,0.4,0.5641427798810167,0
ish-app/ish,17,4,0,0,0,4,11,0,16,0.0,90320494,ish-app/ish,https://github.com/ish-app/ish,2017-05-05 00:10:35,C,,10924,585,10924,353,63,ish-app/ish,ish-app/ish,15,241,256,60,38,30,90,3005,369,971,1340,4,57,2017-05-05 00:10:35,1799,0.0211228460255697,0.0333518621456364,0.0500277932184547,0.0166759310728182,1.670372429127293,3.0,4.687048360200111,1
hashcat/hashcat,8,1,0,0,0,2,6,1,4,1.0,47409672,hashcat/hashcat,https://github.com/hashcat/hashcat,2015-12-04 14:46:51,C,,10923,1867,10923,124,47,hashcat/hashcat,hashcat/hashcat,7,1559,1566,120,64516,23,14,8334,131,1487,1618,0,22,2015-12-04 14:46:51,2317,27.844626672421235,0.0517911091929218,0.0060422960725075,0.0099266292619766,3.5968925334484245,0.6086956521739131,4.215514814884314,1
cloudwu/skynet,2,1,0,0,0,0,0,0,0,3.0,5254557,cloudwu/skynet,https://github.com/cloudwu/skynet,2012-08-01 03:30:42,C,,10764,3736,10764,12,40,cloudwu/skynet,cloudwu/skynet,5,0,5,123,0,30,0,2083,12,810,822,0,39,2012-08-01 03:30:42,3537,0.0,0.0347752332485156,0.0,0.008481764206955,0.5889171614362454,0.0,0.5973989256432004,0
octalmage/robotjs,22,4,1,0,0,15,23,1,2,6.0,23515024,octalmage/robotjs,https://github.com/octalmage/robotjs,2014-08-31 14:13:47,C,,10679,788,10679,143,60,octalmage/robotjs,octalmage/robotjs,24,0,24,60,1479,30,241,651,129,419,548,0,101,2014-08-31 14:13:47,2777,0.5325891249549874,0.0216060496939142,0.086784299603889,0.0108030248469571,0.2344256391789701,8.033333333333333,8.27856199735926,1
google/brotli,3,3,0,0,0,8,17,0,3,0.0,24993138,google/brotli,https://github.com/google/brotli,2014-10-09 14:35:14,C,,10622,1015,10622,85,56,google/brotli,google/brotli,10,0,10,91,8157,16,65,1042,69,257,326,3,35,2014-10-09 14:35:14,2738,2.97918188458729,0.033235938641344,0.0237399561723886,0.0058436815193571,0.3805697589481373,4.0625,4.448913440467495,1
jonas/tig,6,0,0,0,0,0,0,0,0,0.0,140656,jonas/tig,https://github.com/jonas/tig,2009-03-01 20:39:25,C,,10446,579,10446,199,69,jonas/tig,jonas/tig,23,431,454,186,78780,25,31,2732,162,559,721,1,15,2009-03-01 20:39:25,4786,16.460509820309234,0.0388633514417049,0.0064772252402841,0.0052235687421646,0.5708315921437526,1.24,1.816055160885917,1
skywind3000/kcp,65,5,0,0,0,40,53,1,0,7.0,28515839,skywind3000/kcp,https://github.com/skywind3000/kcp,2014-12-26 16:46:34,C,,10408,2033,10408,133,48,skywind3000/kcp,skywind3000/kcp,13,44,57,28,0,4,0,219,133,158,291,0,113,2014-12-26 16:46:34,2660,0.0,0.0105263157894736,0.0,0.0015037593984962,0.0823308270676691,0.0,0.0838345864661653,0
reactos/reactos,0,2,0,0,0,5,29,0,2,0.0,105627846,reactos/reactos,https://github.com/reactos/reactos,2017-10-03 08:04:52,C,,10133,1216,10133,215,57,reactos/reactos,reactos/reactos,206,0,206,332,2035,8,11,81279,0,0,0,0,40,2017-10-03 08:04:52,1648,1.234830097087379,0.2014563106796116,0.0066747572815533,0.0048543689320388,49.31978155339806,1.375,50.699635922330096,1
andlabs/libui,32,5,0,0,0,27,35,0,12,2.0,34088285,andlabs/libui,https://github.com/andlabs/libui,2015-04-17 00:35:54,C,,10099,604,10099,249,70,andlabs/libui,andlabs/libui,82,94,176,41,2172,7,65,3957,172,191,363,6,152,2015-04-17 00:35:54,2548,0.8524332810047096,0.0160910518053375,0.0255102040816326,0.0027472527472527,1.5529827315541602,9.285714285714286,10.8414442700157,1
openwrt/openwrt,17,1,0,1,0,4,15,0,7,1.0,45821540,openwrt/openwrt,https://github.com/openwrt/openwrt,2015-11-09 07:13:55,C,,10087,6506,10087,444,42,openwrt/openwrt,openwrt/openwrt,263,4596,4859,1092,0,1,0,53530,1437,3083,4520,0,11,2015-11-09 07:13:55,2342,0.0,0.466268146883006,0.0,0.0004269854824935,22.856532877882152,0.0,22.856959863364647,1
openresty/openresty,8,0,0,0,0,0,4,0,7,2.0,480080,openresty/openresty,https://github.com/openresty/openresty,2010-01-20 03:57:59,C,,10032,1332,10032,223,58,openresty/openresty,openresty/openresty,7,165,172,34,29931,13,18,1644,224,416,640,1,22,2010-01-20 03:57:59,4461,6.7094821788836585,0.0076216095045953,0.0040349697377269,0.0029141448105805,0.3685272360457297,1.3846153846153846,1.7560567654716948,1
swaywm/sway,11,0,0,0,0,0,0,0,4,0.0,40217904,swaywm/sway,https://github.com/swaywm/sway,2015-08-05 01:31:45,C,,9790,829,9790,620,71,swaywm/sway,swaywm/sway,103,0,103,471,7256,30,48,6887,550,3151,3701,2,153,2015-08-05 01:31:45,2438,2.976210008203445,0.1931911402789171,0.0196882690730106,0.0123051681706316,2.824856439704676,1.6,4.437161607875307,1
