Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
aseprite/aseprite,37,3,0,0,0,9,50,0,0,0.0,23129458,aseprite/aseprite,https://github.com/aseprite/aseprite,2014-08-19 23:44:50,C++,,14658,1312,14658,1155,63,aseprite/aseprite,75.0,132672.0,30.0,30.0,7655.0,1174.0,1648.0,2822.0,17.0,329.0,346.0,4.0,73.0,aseprite/aseprite,2014-08-19 23:44:50,2789,47.56973825743994,0.0268913589100035,0.0107565435640014,0.0107565435640014,2.7447113660810327,1.0,3.7554679096450343,0
catchorg/Catch2,6,9,0,0,0,5,10,0,2,0.0,1062572,catchorg/Catch2,https://github.com/catchorg/Catch2,2010-11-08 18:22:56,C++,,14276,2422,14276,306,64,catchorg/Catch2,318.0,268161.0,30.0,248.0,3935.0,310.0,1274.0,1584.0,16.0,766.0,782.0,2.0,219.0,catchorg/Catch2,2010-11-08 18:22:56,4169,64.32261933317342,0.0762772847205564,0.0594866874550251,0.0071959702566562,0.9438714319980812,8.266666666666667,9.217734068921406,0
microsoft/react-native-windows,11,1,0,0,0,6,19,0,0,0.0,48009214,microsoft/react-native-windows,https://github.com/microsoft/react-native-windows,2015-12-15 00:16:54,C++,,14221,1057,14221,674,65,microsoft/react-native-windows,214.0,0.0,2.0,0.0,6198.0,666.0,2935.0,3601.0,29.0,5972.0,6001.0,6.0,63.0,microsoft/react-native-windows,2015-12-15 00:16:54,2306,0.0,0.0928013876843018,0.0,0.0008673026886383,2.6877710320901995,0.0,2.6886383347788376,0
apache/incubator-weex,24,5,0,0,0,5,21,0,9,2.0,78186814,apache/incubator-weex,https://github.com/apache/incubator-weex,2017-01-06 08:00:06,C++,,13996,1859,13996,248,66,apache/incubator-weex,308.0,199.0,5.0,1.0,12026.0,232.0,709.0,941.0,15.0,2381.0,2396.0,0.0,94.0,apache/incubator-weex,2017-01-06 08:00:06,1918,0.1037539103232533,0.1605839416058394,0.0005213764337851,0.0026068821689259,6.2700729927007295,0.2,6.472679874869655,0
Tencent/MMKV,42,6,0,0,0,15,17,0,30,12.0,149111813,Tencent/MMKV,https://github.com/Tencent/MMKV,2018-09-17 10:59:36,C++,,13861,1530,13861,6,67,Tencent/MMKV,27.0,0.0,2.0,0.0,1039.0,5.0,605.0,610.0,0.0,206.0,206.0,0.0,48.0,Tencent/MMKV,2018-09-17 10:59:36,1299,0.0,0.0207852193995381,0.0,0.0015396458814472,0.7998460354118553,0.0,0.8013856812933025,0
pqrs-org/Karabiner-Elements,13,2,0,0,0,3,7,0,7,8.0,63037806,pqrs-org/Karabiner-Elements,https://github.com/pqrs-org/Karabiner-Elements,2016-07-11 04:57:55,C++,,13795,731,13795,407,68,pqrs-org/Karabiner-Elements,37.0,1756242.0,29.0,30.0,5304.0,497.0,2454.0,2951.0,1.0,69.0,70.0,0.0,66.0,pqrs-org/Karabiner-Elements,2016-07-11 04:57:55,2097,837.5021459227468,0.0176442536957558,0.0143061516452074,0.0138292799237005,2.5293276108726754,1.0344827586206895,3.5776396494170655,0
dogecoin/dogecoin,10,3,0,0,0,5,15,1,6,1.5,14981376,dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,2013-12-06 11:38:05,C++,,13547,2387,13547,156,69,dogecoin/dogecoin,631.0,1323319.0,30.0,182.0,13953.0,109.0,961.0,1070.0,63.0,1495.0,1558.0,0.0,75.0,dogecoin/dogecoin,2013-12-06 11:38:05,3045,434.5875205254516,0.2072249589490968,0.0597701149425287,0.0098522167487684,4.5822660098522165,6.066666666666666,10.65878489326765,0
ethereum/solidity,14,5,0,0,0,3,18,1,0,1.0,40892817,ethereum/solidity,https://github.com/ethereum/solidity,2015-08-17 12:27:26,C++,,13428,3318,13428,927,70,ethereum/solidity,567.0,93809.0,30.0,144.0,21972.0,911.0,4039.0,4950.0,73.0,7378.0,7451.0,1.0,49.0,ethereum/solidity,2015-08-17 12:27:26,2426,38.6681780708986,0.2337180544105523,0.0593569661995053,0.0123660346248969,9.056883759274529,4.8,13.869249793899424,0
uNetworking/uWebSockets,2,3,0,0,0,8,9,1,2,1.0,54360307,uNetworking/uWebSockets,https://github.com/uNetworking/uWebSockets,2016-03-21 04:39:40,C++,,13375,1451,13375,26,71,uNetworking/uWebSockets,27.0,0.0,2.0,0.0,793.0,21.0,325.0,346.0,5.0,252.0,257.0,0.0,72.0,uNetworking/uWebSockets,2016-03-21 04:39:40,2209,0.0,0.0122227252150294,0.0,0.0009053870529651,0.358985966500679,0.0,0.3598913535536441,0
Tencent/ncnn,53,25,0,0,0,49,55,0,0,0.0,95879426,Tencent/ncnn,https://github.com/Tencent/ncnn,2017-06-30 10:55:37,C++,,13267,3198,13267,571,72,Tencent/ncnn,220.0,26231.0,30.0,306.0,2450.0,621.0,1809.0,2430.0,28.0,1130.0,1158.0,1.0,83.0,Tencent/ncnn,2017-06-30 10:55:37,1743,15.049340218014915,0.1262191623637406,0.1755593803786574,0.0172117039586919,1.4056224899598393,10.2,11.62283419391853,0
