Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
adam-p/markdown-here,37,5,0,0,0,13,29,1,11,4.0,4311796,adam-p/markdown-here,https://github.com/adam-p/markdown-here,2012-05-13 03:27:22,JavaScript,,53761,10301,53761,304,18,adam-p/markdown-here,12.0,1518.0,11.0,6.0,807.0,282.0,307.0,589.0,27.0,48.0,75.0,1.0,120.0,adam-p/markdown-here,2012-05-13 03:27:22,3617,0.4196848216754216,0.0033176665745092,0.0016588332872546,0.0030411943599668,0.2231130771357478,0.5454545454545454,0.77160881695026,1
gatsbyjs/gatsby,21,0,0,0,0,3,32,0,2,3.0,36040894,gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,2015-05-21 22:43:05,JavaScript,,51851,10013,51851,409,20,gatsbyjs/gatsby,4160.0,0.0,30.0,0.0,19923.0,129.0,13182.0,13311.0,201.0,19496.0,19697.0,10.0,416.0,gatsbyjs/gatsby,2015-05-21 22:43:05,2514,0.0,1.654733492442323,0.0,0.0119331742243436,7.924821002386635,0.0,7.936754176610978,1
tailwindlabs/tailwindcss,0,0,0,0,0,5,9,0,0,0.0,106017343,tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,2017-10-06 14:59:14,JavaScript,,49715,2356,49715,66,21,tailwindlabs/tailwindcss,225.0,6290.0,30.0,100.0,4548.0,9.0,2169.0,2178.0,14.0,1672.0,1686.0,0.0,24.0,tailwindlabs/tailwindcss,2017-10-06 14:59:14,1645,3.82370820668693,0.1367781155015197,0.060790273556231,0.0182370820668693,2.764741641337386,3.333333333333333,6.116312056737589,1
serverless/serverless,26,8,1,0,0,4,21,0,1,9.0,34302698,serverless/serverless,https://github.com/serverless/serverless,2015-04-21 03:48:40,JavaScript,,41469,5035,41469,886,27,serverless/serverless,1125.0,64152.0,30.0,90.0,15183.0,850.0,4705.0,5555.0,31.0,4847.0,4878.0,0.0,542.0,serverless/serverless,2015-04-21 03:48:40,2544,25.21698113207547,0.4422169811320754,0.035377358490566,0.0117924528301886,5.96816037735849,3.0,8.97995283018868,1
yarnpkg/yarn,9,5,0,0,0,5,14,0,0,0.0,49970642,yarnpkg/yarn,https://github.com/yarnpkg/yarn,2016-01-19 17:39:16,JavaScript,,40296,2755,40296,1956,28,yarnpkg/yarn,544.0,36364.0,30.0,253.0,2351.0,1806.0,4533.0,6339.0,157.0,2110.0,2267.0,7.0,74.0,yarnpkg/yarn,2016-01-19 17:39:16,2271,16.012329370321446,0.2395420519594892,0.1114046675473359,0.0132100396301188,1.0352267723469837,8.433333333333334,9.481770145310437,1
ColorlibHQ/AdminLTE,8,8,0,0,0,5,27,0,3,12.0,15428480,ColorlibHQ/AdminLTE,https://github.com/ColorlibHQ/AdminLTE,2013-12-25 02:52:40,JavaScript,,40017,17168,40017,50,29,ColorlibHQ/AdminLTE,127.0,0.0,30.0,0.0,2462.0,38.0,2603.0,2641.0,18.0,1523.0,1541.0,0.0,94.0,ColorlibHQ/AdminLTE,2013-12-25 02:52:40,3026,0.0,0.041969596827495,0.0,0.0099140779907468,0.813615333773959,0.0,0.8235294117647058,1
parcel-bundler/parcel,11,18,0,0,0,2,27,0,0,0.0,99598595,parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,2017-08-07 16:36:47,JavaScript,,39581,2036,39581,680,30,parcel-bundler/parcel,358.0,0.0,14.0,0.0,2636.0,687.0,3758.0,4445.0,72.0,2393.0,2465.0,3.0,37.0,parcel-bundler/parcel,2017-08-07 16:36:47,1705,0.0,0.2099706744868035,0.0,0.0082111436950146,1.5460410557184752,0.0,1.5542521994134897,1
TryGhost/Ghost,0,2,0,0,0,5,27,1,1,3.0,9852918,TryGhost/Ghost,https://github.com/TryGhost/Ghost,2013-05-04 11:09:13,JavaScript,,39155,8464,39155,53,31,TryGhost/Ghost,475.0,5603.0,30.0,30.0,15651.0,30.0,6255.0,6285.0,23.0,7878.0,7901.0,11.0,132.0,TryGhost/Ghost,2013-05-04 11:09:13,3261,1.7181846059490953,0.1456608402330573,0.0091996320147194,0.0091996320147194,4.799448022079117,1.0,5.8086476540938365,1
nuxt/nuxt.js,16,13,0,0,0,8,27,0,4,2.0,71995937,nuxt/nuxt.js,https://github.com/nuxt/nuxt.js,2016-10-26 11:18:47,JavaScript,,38887,3152,38887,449,32,nuxt/nuxt.js,346.0,0.0,30.0,0.0,5559.0,473.0,6158.0,6631.0,37.0,2869.0,2906.0,0.0,153.0,nuxt/nuxt.js,2016-10-26 11:18:47,1990,0.0,0.1738693467336683,0.0,0.0150753768844221,2.7934673366834173,0.0,2.8085427135678396,1
mermaid-js/mermaid,3,4,0,1,0,10,23,2,0,0.0,26066727,mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,2014-11-01 23:52:32,JavaScript,,38813,2865,38813,520,33,mermaid-js/mermaid,342.0,0.0,30.0,0.0,4395.0,603.0,1111.0,1714.0,7.0,1075.0,1082.0,0.0,163.0,mermaid-js/mermaid,2014-11-01 23:52:32,2715,0.0,0.1259668508287292,0.0,0.011049723756906,1.6187845303867403,0.0,1.6298342541436464,1
