Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
microsoft/calculator,18,3,0,0,0,3,11,1,1,1.0,168008797,microsoft/calculator,https://github.com/microsoft/calculator,2019-01-28 17:55:49,C++,,23206,4194,23206,240,17,microsoft/calculator,96.0,0.0,2.0,0.0,721.0,247.0,617.0,864.0,9.0,909.0,918.0,2.0,20.0,662.0,173.0,178.0,162.0,178.0,144.0,1
cmderdev/cmder,74,3,0,0,0,9,16,0,115,9.0,11276147,cmderdev/cmder,https://github.com/cmderdev/cmder,2013-07-09 07:44:22,C++,,23122,1895,23122,16,18,cmderdev/cmder,160.0,1333634.0,30.0,106.0,1340.0,26.0,2094.0,2120.0,0.0,504.0,504.0,8.0,94.0,609.0,157.0,177.0,127.0,177.0,128.0,1
CMU-Perceptual-Computing-Lab/openpose,24,1,5,1,0,5,16,1,3,4.0,89247811,CMU-Perceptual-Computing-Lab/openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,2017-04-24 14:06:31,C++,,22741,6798,22741,172,19,CMU-Perceptual-Computing-Lab/openpose,98.0,107099.0,15.0,20.0,692.0,131.0,1627.0,1758.0,8.0,213.0,221.0,2.0,136.0,649.0,171.0,176.0,178.0,176.0,119.0,1
topjohnwu/Magisk,19,5,0,0,0,4,10,0,11,0.0,67702184,topjohnwu/Magisk,https://github.com/topjohnwu/Magisk,2016-09-08 12:42:53,C++,,22018,4967,22018,62,20,topjohnwu/Magisk,274.0,26977004.0,30.0,56.0,5637.0,38.0,3958.0,3996.0,10.0,1409.0,1419.0,2.0,75.0,676.0,178.0,175.0,172.0,175.0,154.0,1
dmlc/xgboost,2,25,0,0,0,2,33,0,0,0.0,16587283,dmlc/xgboost,https://github.com/dmlc/xgboost,2014-02-06 17:28:03,C++,,21952,8249,21952,309,21,dmlc/xgboost,572.0,2599.0,30.0,38.0,5689.0,244.0,4066.0,4310.0,53.0,3348.0,3401.0,0.0,184.0,704.0,185.0,174.0,186.0,174.0,170.0,1
huihut/interview,733,40,0,0,0,35,96,0,93,62.0,120887835,huihut/interview,https://github.com/huihut/interview,2018-02-09 09:49:48,C++,,21470,6003,21470,5,22,huihut/interview,25.0,0.0,2.0,0.0,365.0,3.0,39.0,42.0,2.0,41.0,43.0,19.0,256.0,622.0,162.0,173.0,176.0,173.0,100.0,1
facebook/rocksdb,0,4,0,0,0,2,6,0,1,0.0,6934395,facebook/rocksdb,https://github.com/facebook/rocksdb,2012-11-30 06:16:18,C++,,21320,4796,21320,633,23,facebook/rocksdb,900.0,0.0,2.0,0.0,10815.0,414.0,2036.0,2450.0,259.0,6731.0,6990.0,2.0,17.0,693.0,180.0,172.0,171.0,172.0,178.0,1
ClickHouse/ClickHouse,8,1,0,1,0,1,9,0,0,0.0,60246359,ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,2016-06-02 08:28:18,C++,,20833,4050,20833,1848,24,ClickHouse/ClickHouse,1325.0,726.0,30.0,468.0,84083.0,1850.0,8970.0,10820.0,190.0,23996.0,24186.0,0.0,149.0,693.0,180.0,171.0,160.0,171.0,191.0,1
mongodb/mongo,5,1,0,0,0,0,0,0,6,3.0,108110,mongodb/mongo,https://github.com/mongodb/mongo,2009-01-15 16:15:18,C++,,20803,5030,20803,54,25,mongodb/mongo,919.0,0.0,2.0,0.0,63612.0,0.0,0.0,0.0,58.0,1358.0,1416.0,0.0,1.0,666.0,175.0,170.0,173.0,170.0,153.0,1
facebook/folly,2,1,0,0,0,3,3,0,39,10.0,4524181,facebook/folly,https://github.com/facebook/folly,2012-06-01 20:49:04,C++,,20566,4394,20566,340,26,facebook/folly,1109.0,3273.0,30.0,60.0,10544.0,299.0,600.0,899.0,58.0,741.0,799.0,9.0,45.0,645.0,170.0,169.0,166.0,169.0,141.0,1
apache/incubator-mxnet,40,10,0,0,0,31,52,2,0,0.0,34864402,apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,2015-04-30 16:21:15,C++,,19775,6882,19775,1950,27,apache/incubator-mxnet,1001.0,21535.0,30.0,49.0,11804.0,1764.0,7709.0,9473.0,216.0,10728.0,10944.0,0.0,149.0,699.0,182.0,168.0,180.0,168.0,183.0,1
ApolloAuto/apollo,43,16,0,0,0,4,16,0,0,3.0,96246170,ApolloAuto/apollo,https://github.com/ApolloAuto/apollo,2017-07-04 19:03:31,C++,,19688,7899,19688,1039,28,ApolloAuto/apollo,436.0,31821.0,10.0,10.0,18068.0,1064.0,2466.0,3530.0,59.0,10725.0,10784.0,0.0,126.0,699.0,182.0,167.0,183.0,167.0,182.0,1
uglide/RedisDesktopManager,0,6,0,0,0,1,10,0,0,0.0,11892946,uglide/RedisDesktopManager,https://github.com/uglide/RedisDesktopManager,2013-08-05 07:51:08,C++,,19332,3040,19332,27,29,uglide/RedisDesktopManager,82.0,0.0,2.0,0.0,2093.0,28.0,4464.0,4492.0,4.0,535.0,539.0,0.0,94.0,606.0,155.0,166.0,143.0,166.0,131.0,1
v8/v8,0,0,0,0,0,0,2,0,2,0.0,24420506,v8/v8,https://github.com/v8/v8,2014-09-24 15:24:30,C++,,18727,3525,18727,0,30,v8/v8,845.0,0.0,2.0,0.0,73931.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,554.0,141.0,165.0,157.0,165.0,67.0,1
mozilla/DeepSpeech,0,0,0,0,0,0,0,0,5,0.0,60273704,mozilla/DeepSpeech,https://github.com/mozilla/DeepSpeech,2016-06-02 15:04:53,C++,,18584,3346,18584,127,31,mozilla/DeepSpeech,175.0,27568.0,30.0,871.0,3466.0,106.0,1947.0,2053.0,16.0,1625.0,1641.0,4.0,33.0,638.0,169.0,164.0,152.0,164.0,158.0,1
envoyproxy/envoy,30,5,0,2,0,5,33,0,0,0.0,65214191,envoyproxy/envoy,https://github.com/envoyproxy/envoy,2016-08-08 15:07:24,C++,,18466,3429,18466,1210,32,envoyproxy/envoy,986.0,0.0,2.0,0.0,10743.0,1131.0,5818.0,6949.0,139.0,13170.0,13309.0,13.0,62.0,666.0,175.0,163.0,155.0,163.0,185.0,1
osquery/osquery,12,2,0,0,0,5,21,1,3,6.0,22394357,osquery/osquery,https://github.com/osquery/osquery,2014-07-29 20:27:33,C++,,18439,2237,18439,530,33,osquery/osquery,435.0,1258.0,30.0,143.0,6055.0,484.0,2417.0,2901.0,29.0,4441.0,4470.0,2.0,104.0,625.0,164.0,162.0,130.0,162.0,171.0,1
