Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
CyC2018/CS-Notes,33,1,0,0,0,49,55,0,1,0.0,121395510,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,2018-02-13 14:56:24,Java,,142836,45559,142836,132,0,CyC2018/CS-Notes,245.0,0.0,0.0,0.0,3776.0,103.0,436.0,539.0,53.0,523.0,576.0,0.0,658.0,728.0,188.0,193.0,192.0,193.0,150.0,1
Snailclimb/JavaGuide,98,8,0,1,0,4,35,0,1,0.0,132464395,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,2018-05-07 13:27:00,Java,,114197,38967,114197,60,1,Snailclimb/JavaGuide,362.0,0.0,0.0,0.0,3927.0,66.0,686.0,752.0,2.0,838.0,840.0,1.0,885.0,736.0,191.0,192.0,191.0,192.0,161.0,1
iluwatar/java-design-patterns,3,6,0,0,0,180,200,1,2,0.0,22790488,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09 16:45:18,Java,,71613,22288,71613,268,2,iluwatar/java-design-patterns,327.0,0.0,0.0,0.0,3202.0,220.0,474.0,694.0,47.0,1196.0,1243.0,16.0,503.0,735.0,190.0,191.0,188.0,191.0,165.0,1
MisterBooo/LeetCodeAnimation,0,13,8,0,0,68,88,0,0,0.0,160640094,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,2018-12-06 08:01:22,Java,,67994,13032,67994,12,3,MisterBooo/LeetCodeAnimation,21.0,0.0,0.0,0.0,246.0,12.0,42.0,54.0,0.0,73.0,73.0,0.0,72.0,676.0,180.0,190.0,183.0,190.0,113.0,1
doocs/advanced-java,91,16,0,0,0,18,22,0,0,0.0,151834062,doocs/advanced-java,https://github.com/doocs/advanced-java,2018-10-06 11:38:30,Java,,58861,16126,58861,2,4,doocs/advanced-java,36.0,0.0,1.0,0.0,619.0,3.0,123.0,126.0,0.0,100.0,100.0,8.0,179.0,683.0,182.0,189.0,186.0,189.0,119.0,1
spring-projects/spring-boot,21,0,0,0,0,0,0,2,15,0.5,6296790,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,2012-10-19 15:02:57,Java,,58480,35068,58480,559,5,spring-projects/spring-boot,1123.0,0.0,30.0,0.0,36637.0,543.0,24193.0,24736.0,29.0,5088.0,5117.0,17.0,96.0,751.0,192.0,188.0,190.0,188.0,185.0,1
elastic/elasticsearch,7,0,0,0,0,0,0,0,1,0.0,507775,elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08 13:20:56,Java,,57480,20910,57480,3632,6,elastic/elasticsearch,1906.0,0.0,30.0,0.0,63291.0,3361.0,25971.0,29332.0,457.0,54775.0,55232.0,0.0,9.0,754.0,193.0,187.0,187.0,187.0,193.0,1
kdn251/interviews,167,20,8,1,0,1,29,0,59,2.0,81975372,kdn251/interviews,https://github.com/kdn251/interviews,2017-02-14 18:19:25,Java,,54754,11631,54754,99,7,kdn251/interviews,43.0,0.0,0.0,0.0,445.0,29.0,18.0,47.0,73.0,74.0,147.0,0.0,99.0,680.0,181.0,186.0,181.0,186.0,127.0,1
macrozheng/mall,26,12,0,0,0,6,27,0,8,1.0,127988011,macrozheng/mall,https://github.com/macrozheng/mall,2018-04-04 01:11:44,Java,,54498,23193,54498,31,8,macrozheng/mall,2.0,0.0,1.0,0.0,771.0,21.0,396.0,417.0,4.0,84.0,88.0,0.0,162.0,675.0,179.0,185.0,189.0,185.0,116.0,1
ReactiveX/RxJava,30,4,0,0,0,15,33,0,73,35.0,7508411,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,2013-01-08 20:11:48,Java,,45542,7524,45542,12,9,ReactiveX/RxJava,328.0,0.0,30.0,0.0,5967.0,10.0,3069.0,3079.0,1.0,3672.0,3673.0,1.0,107.0,718.0,185.0,184.0,168.0,184.0,182.0,1
