Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
apache/echarts,16,2,0,0,0,12,25,0,2,1.0,9185792,apache/echarts,https://github.com/apache/echarts,2013-04-03 03:18:59,TypeScript,,48982,18328,48982,1939,11,apache/echarts,199.0,0.0,2.0,0.0,8544.0,1994.0,13287.0,15281.0,66.0,1267.0,1333.0,2.0,97.0,702.0,180.0,186.0,191.0,186.0,139.0,1
ionic-team/ionic-framework,5,4,0,0,0,11,28,1,7,0.0,12256376,ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,2013-08-20 23:06:02,TypeScript,,45692,13462,45692,676,12,ionic-team/ionic-framework,489.0,0.0,2.0,0.0,11426.0,598.0,19162.0,19760.0,50.0,4862.0,4912.0,3.0,93.0,740.0,189.0,185.0,189.0,185.0,181.0,1
grafana/grafana,16,4,0,0,0,5,16,0,0,0.0,15111821,grafana/grafana,https://github.com/grafana/grafana,2013-12-11 15:59:56,TypeScript,,45209,9028,45209,2137,13,grafana/grafana,1902.0,0.0,2.0,0.0,33901.0,2031.0,21395.0,23426.0,296.0,21362.0,21658.0,15.0,215.0,746.0,192.0,184.0,184.0,184.0,194.0,1
remix-run/react-router,3,0,0,0,0,3,5,0,4,0.0,19872456,remix-run/react-router,https://github.com/remix-run/react-router,2014-05-16 22:22:51,TypeScript,,45157,8722,45157,79,14,remix-run/react-router,765.0,0.0,2.0,0.0,5232.0,60.0,6257.0,6317.0,6.0,2221.0,2227.0,2.0,64.0,702.0,180.0,183.0,183.0,183.0,153.0,1
nestjs/nest,7,56,0,0,0,4,72,1,0,0.0,80945428,nestjs/nest,https://github.com/nestjs/nest,2017-02-04 20:12:52,TypeScript,,42618,4482,42618,95,15,nestjs/nest,355.0,0.0,2.0,0.0,10260.0,50.0,4002.0,4052.0,48.0,4939.0,4987.0,0.0,228.0,716.0,184.0,182.0,170.0,182.0,182.0,1
apache/superset,30,38,0,0,0,4,31,0,0,0.0,39464018,apache/superset,https://github.com/apache/superset,2015-07-21 18:55:34,TypeScript,,42389,8238,42389,1252,16,apache/superset,803.0,575153.0,30.0,21.0,11146.0,911.0,6916.0,7827.0,175.0,10126.0,10301.0,0.0,219.0,732.0,188.0,181.0,182.0,181.0,188.0,1
babel/babel,10,24,0,2,0,9,43,0,0,2.0,24560307,babel/babel,https://github.com/babel/babel,2014-09-28 13:38:23,TypeScript,,40045,5121,40045,767,17,babel/babel,1110.0,0.0,2.0,0.0,15100.0,637.0,7422.0,8059.0,151.0,5636.0,5787.0,0.0,250.0,717.0,185.0,180.0,173.0,180.0,184.0,1
vercel/hyper,16,3,0,0,0,9,16,0,16,5.0,62367558,vercel/hyper,https://github.com/vercel/hyper,2016-07-01 06:01:21,TypeScript,,37390,3099,37390,737,18,vercel/hyper,285.0,1269083.0,30.0,444.0,3045.0,746.0,2719.0,3465.0,16.0,2791.0,2807.0,1.0,89.0,682.0,174.0,179.0,160.0,179.0,164.0,1
facebook/jest,23,9,0,0,0,8,31,0,18,15.0,15062869,facebook/jest,https://github.com/facebook/jest,2013-12-10 00:18:04,TypeScript,,37268,5488,37268,1661,19,facebook/jest,1446.0,0.0,2.0,0.0,6020.0,1432.0,5278.0,6710.0,160.0,5589.0,5749.0,4.0,150.0,713.0,183.0,178.0,174.0,178.0,183.0,1
DefinitelyTyped/DefinitelyTyped,47,7,0,0,0,41,68,1,136,17.0,6093316,DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,2012-10-05 16:39:45,TypeScript,,36910,26244,36910,704,20,DefinitelyTyped/DefinitelyTyped,17583.0,0.0,2.0,0.0,79703.0,552.0,7099.0,7651.0,215.0,50096.0,50311.0,1.0,549.0,744.0,191.0,177.0,195.0,177.0,195.0,1
styled-components/styled-components,8,19,0,0,0,6,37,0,10,6.0,65794292,styled-components/styled-components,https://github.com/styled-components/styled-components,2016-08-16 06:41:32,TypeScript,,35385,2188,35385,58,21,styled-components/styled-components,343.0,0.0,2.0,0.0,3302.0,72.0,2439.0,2511.0,6.0,1145.0,1151.0,0.0,193.0,636.0,166.0,176.0,149.0,176.0,135.0,1
pixijs/pixijs,36,5,0,0,0,10,37,0,1,7.0,7741856,pixijs/pixijs,https://github.com/pixijs/pixijs,2013-01-21 22:40:50,TypeScript,,34889,4433,34889,99,22,pixijs/pixijs,461.0,1515.0,30.0,312.0,5905.0,98.0,4644.0,4742.0,12.0,3043.0,3055.0,3.0,157.0,687.0,175.0,175.0,168.0,175.0,169.0,1
vitejs/vite,8,10,0,0,0,2,18,0,1,0.0,257485422,vitejs/vite,https://github.com/vitejs/vite,2020-04-21 05:03:57,TypeScript,,34605,2475,34605,696,23,vitejs/vite,523.0,0.0,2.0,0.0,3717.0,688.0,2820.0,3508.0,193.0,2107.0,2300.0,6.0,111.0,656.0,170.0,174.0,152.0,174.0,156.0,1
vuetifyjs/vuetify,10,5,0,0,0,28,104,1,0,0.0,67962648,vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,2016-09-12 00:39:35,TypeScript,,32980,5976,32980,999,24,vuetifyjs/vuetify,753.0,1675.0,30.0,30.0,11682.0,984.0,9589.0,10573.0,46.0,3743.0,3789.0,0.0,140.0,696.0,179.0,173.0,176.0,173.0,174.0,1
immutable-js/immutable-js,41,2,0,1,0,22,34,0,53,30.0,21413198,immutable-js/immutable-js,https://github.com/immutable-js/immutable-js,2014-07-02 06:02:29,TypeScript,,31631,1851,31631,110,25,immutable-js/immutable-js,217.0,0.0,2.0,0.0,1689.0,92.0,1112.0,1204.0,20.0,666.0,686.0,12.0,145.0,605.0,159.0,172.0,135.0,172.0,126.0,1
ant-design/ant-design-pro,50,5,0,0,0,5,9,0,0,2.0,101394335,ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,2017-08-25 10:40:44,TypeScript,,30815,7167,30815,113,26,ant-design/ant-design-pro,312.0,0.0,2.0,0.0,2368.0,143.0,8030.0,8173.0,1.0,1315.0,1316.0,7.0,82.0,658.0,171.0,171.0,179.0,171.0,137.0,1
nativefier/nativefier,16,2,1,1,0,9,14,0,20,4.0,38558578,nativefier/nativefier,https://github.com/nativefier/nativefier,2015-07-05 05:56:42,TypeScript,,29181,1862,29181,185,27,nativefier/nativefier,136.0,0.0,2.0,0.0,1146.0,181.0,890.0,1071.0,9.0,283.0,292.0,9.0,114.0,584.0,153.0,170.0,136.0,170.0,108.0,1
formium/formik,3,8,0,0,0,7,15,1,0,0.0,94367677,formium/formik,https://github.com/formium/formik,2017-06-14 19:50:59,TypeScript,,28889,2362,28889,651,28,formium/formik,429.0,0.0,2.0,0.0,1703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,490.0,116.0,169.0,151.0,169.0,1.0,1
facebook/docusaurus,8,19,0,0,0,9,37,1,3,2.0,94911145,facebook/docusaurus,https://github.com/facebook/docusaurus,2017-06-20 16:13:53,TypeScript,,28685,3855,28685,176,29,facebook/docusaurus,857.0,0.0,2.0,0.0,4704.0,148.0,1952.0,2100.0,37.0,4241.0,4278.0,1.0,72.0,677.0,173.0,168.0,164.0,168.0,177.0,1
laurent22/joplin,84,132,0,1,0,151,187,0,43,1.0,79162682,laurent22/joplin,https://github.com/laurent22/joplin,2017-01-16 21:49:41,TypeScript,,26707,2938,26707,365,30,laurent22/joplin,495.0,131267.0,30.0,210.0,7535.0,310.0,4073.0,4383.0,8.0,1815.0,1823.0,0.0,687.0,638.0,167.0,167.0,158.0,167.0,146.0,1
streamich/react-use,102,1,0,2,0,3,57,0,95,0.0,154950925,streamich/react-use,https://github.com/streamich/react-use,2018-10-27 10:16:05,TypeScript,,26612,2030,26612,432,31,streamich/react-use,191.0,0.0,2.0,0.0,2910.0,257.0,210.0,467.0,201.0,1635.0,1836.0,0.0,236.0,624.0,164.0,166.0,145.0,166.0,147.0,1
