S,P,F1,F2
0.4758761988761856,2.340648999468034e-12,List,Image
0.24586877121586317,0.0005490209348025932,List,Animation
0.09544190624676688,0.1855744598204776,List,Video
0.10267711719915809,0.1542576194452522,List,Table
0.5705630292102067,3.789305727717082e-18,List,Github
0.5725164176588309,2.7470296984945137e-18,List,Links
0.24779737602204574,0.0004947110863682809,List,Project
0.42054614283006814,1.026999955057664e-09,List,Inline
0.32532920693814105,3.6820901083859056e-06,List,Code
0.4758761988761856,2.340648999468034e-12,Image,List
0.26258009136242294,0.0002166224706997851,Image,Animation
0.18047677573188978,0.01179501097987294,Image,Video
0.10203316511681118,0.15687193343353548,Image,Table
0.6858910617759439,2.6081053984149023e-28,Image,Github
0.730390052891556,1.278512982685207e-33,Image,Links
0.2688665362516339,0.00015021317392439285,Image,Project
0.22139020750925326,0.0019204320918676792,Image,Inline
0.2532167734957702,0.00036755881415800526,Image,Code
0.24586877121586315,0.0005490209348025932,Animation,List
0.26258009136242294,0.0002166224706997851,Animation,Image
0.3766449019357224,6.204083113767924e-08,Animation,Video
0.2625140682328889,0.00021744660927292686,Animation,Table
0.26288004985829977,0.0002129147260311283,Animation,Github
0.29117807336126666,3.804519417904835e-05,Animation,Links
0.3316682337340885,2.310682863747498e-06,Animation,Project
0.09125614332781512,0.20569965883914615,Animation,Inline
0.1812093900801404,0.011451418503444184,Animation,Code
0.09544190624676688,0.1855744598204776,Video,List
0.1804767757318898,0.011795010979872924,Video,Image
0.3766449019357225,6.204083113767912e-08,Video,Animation
-0.018474400075199657,0.7981998518446143,Video,Table
0.13971354363450966,0.052022346107257894,Video,Github
0.26850261557991933,0.00015346843594077,Video,Links
0.09273022439078796,0.19844011133267275,Video,Project
-0.0870801238356066,0.2273003129323402,Video,Inline
-0.016352784647264057,0.8209594490982561,Video,Code
0.1026771171991581,0.15425761944525207,Table,List
0.10203316511681118,0.15687193343353548,Table,Image
0.2625140682328889,0.00021744660927292686,Table,Animation
-0.018474400075199657,0.7981998518446143,Table,Video
0.10674526471676413,0.1384954628199,Table,Github
0.11895393620641953,0.09853452474763275,Table,Links
0.17791034790593557,0.013071252455559462,Table,Project
0.10134225812329267,0.15971378727601362,Table,Inline
0.12556076905149935,0.0810775797850641,Table,Code
0.5705630292102067,3.789305727717082e-18,Github,List
0.6858910617759438,2.6081053984149023e-28,Github,Image
0.26288004985829977,0.0002129147260311283,Github,Animation
0.13971354363450966,0.052022346107257894,Github,Video
0.10674526471676411,0.13849546281990016,Github,Table
0.896978970399842,5.511708456084909e-70,Github,Links
0.389569648296603,1.9723827610749705e-08,Github,Project
0.3194441039170858,5.622431616618935e-06,Github,Inline
0.3107898297940432,1.0311109457700243e-05,Github,Code
0.5725164176588309,2.7470296984945137e-18,Links,List
0.730390052891556,1.278512982685207e-33,Links,Image
0.29117807336126666,3.804519417904835e-05,Links,Animation
0.26850261557991933,0.00015346843594077,Links,Video
0.11895393620641952,0.09853452474763283,Links,Table
0.896978970399842,5.511708456084909e-70,Links,Github
0.3579323906192068,2.991449088760461e-07,Links,Project
0.30030125453369183,2.0971271397447853e-05,Links,Inline
0.23416146006591948,0.0010154029216386596,Links,Code
0.24779737602204574,0.0004947110863682809,Project,List
0.2688665362516339,0.00015021317392439285,Project,Image
0.33166823373408855,2.3106828637474925e-06,Project,Animation
0.09273022439078796,0.19844011133267275,Project,Video
0.17791034790593557,0.013071252455559462,Project,Table
0.389569648296603,1.9723827610749705e-08,Project,Github
0.3579323906192068,2.991449088760461e-07,Project,Links
0.25617667786067266,0.00031164603810657465,Project,Inline
0.27721542959955287,9.108730579101744e-05,Project,Code
0.4205461428300681,1.0269999550576638e-09,Inline,List
0.22139020750925326,0.0019204320918676792,Inline,Image
0.09125614332781513,0.20569965883914604,Inline,Animation
-0.0870801238356066,0.2273003129323402,Inline,Video
0.10134225812329269,0.1597137872760136,Inline,Table
0.3194441039170858,5.622431616618935e-06,Inline,Github
0.3003012545336918,2.0971271397447975e-05,Inline,Links
0.25617667786067266,0.00031164603810657465,Inline,Project
0.6021962618715492,1.5741818227768618e-20,Inline,Code
0.32532920693814105,3.6820901083859056e-06,Code,List
0.2532167734957702,0.00036755881415800526,Code,Image
0.18120939008014042,0.011451418503444184,Code,Animation
-0.016352784647264057,0.8209594490982561,Code,Video
0.12556076905149935,0.0810775797850641,Code,Table
0.31078982979404324,1.0311109457700184e-05,Code,Github
0.23416146006591948,0.0010154029216386596,Code,Links
0.2772154295995529,9.108730579101693e-05,Code,Project
0.6021962618715492,1.5741818227768618e-20,Code,Inline
