Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
ethereum/go-ethereum,22,3,0,0,0,3,25,0,73,15.0,15452919,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,2013-12-26 13:05:46,Go,,33864,12515,33864,285,16,ethereum/go-ethereum,731.0,0.0,30.0,0.0,13176.0,218.0,6024.0,6242.0,111.0,6990.0,7101.0,4.0,207.0,727.0,188.0,179.0,191.0,179.0,178.0,1
FiloSottile/mkcert,16,1,0,0,0,3,10,0,15,13.0,138547797,FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,2018-06-25 05:33:03,Go,,32841,1538,32841,104,17,FiloSottile/mkcert,40.0,61937.0,13.0,42.0,152.0,84.0,202.0,286.0,26.0,88.0,114.0,15.0,62.0,588.0,152.0,178.0,127.0,178.0,105.0,1
minio/minio,13,3,0,0,0,6,27,0,46,16.0,29261473,minio/minio,https://github.com/minio/minio,2015-01-14 19:23:58,Go,,30491,3457,30491,28,18,minio/minio,379.0,0.0,30.0,0.0,9291.0,13.0,5805.0,5818.0,8.0,7853.0,7861.0,10.0,209.0,700.0,178.0,177.0,165.0,177.0,181.0,1
hashicorp/terraform,11,1,0,0,0,1,12,0,0,0.0,17728164,hashicorp/terraform,https://github.com/hashicorp/terraform,2014-03-13 22:25:48,Go,,30288,7119,30288,1537,19,hashicorp/terraform,1959.0,0.0,30.0,0.0,29579.0,1435.0,16836.0,18271.0,162.0,11867.0,12029.0,1.0,78.0,724.0,187.0,176.0,184.0,176.0,188.0,1
rclone/rclone,75,5,0,0,0,3,81,0,0,0.0,17803236,rclone/rclone,https://github.com/rclone/rclone,2014-03-16 16:19:57,Go,,30225,2718,30225,701,20,rclone/rclone,574.0,1813.0,30.0,900.0,6024.0,665.0,3668.0,4333.0,62.0,1568.0,1630.0,21.0,114.0,660.0,165.0,175.0,150.0,175.0,160.0,1
pingcap/tidb,16,12,0,0,0,9,27,0,0,0.0,41986369,pingcap/tidb,https://github.com/pingcap/tidb,2015-09-06 04:01:52,Go,,29739,4795,29739,2664,21,pingcap/tidb,822.0,0.0,30.0,0.0,16895.0,2340.0,8564.0,10904.0,659.0,21351.0,22010.0,1.0,93.0,715.0,184.0,174.0,175.0,174.0,192.0,1
evanw/esbuild,8,2,0,0,0,0,11,0,0,0.0,61137153,evanw/esbuild,https://github.com/evanw/esbuild,2016-06-14 16:08:50,Go,,29105,699,29105,228,22,evanw/esbuild,85.0,0.0,30.0,0.0,2906.0,218.0,1576.0,1794.0,29.0,242.0,271.0,31.0,102.0,562.0,141.0,173.0,100.0,173.0,116.0,1
istio/istio,20,2,0,0,0,11,22,2,0,0.0,74175805,istio/istio,https://github.com/istio/istio,2016-11-18 23:57:21,Go,,28856,5898,28856,666,23,istio/istio,932.0,397092.0,30.0,714.0,17492.0,559.0,14784.0,15343.0,85.0,22289.0,22374.0,2.0,79.0,716.0,185.0,172.0,179.0,172.0,193.0,1
wagoodman/dive,7,5,1,0,0,3,9,0,16,20.0,133251103,wagoodman/dive,https://github.com/wagoodman/dive,2018-05-13 15:44:01,Go,,28750,1101,28750,109,24,wagoodman/dive,40.0,4718.0,24.0,133.0,412.0,105.0,143.0,248.0,13.0,126.0,139.0,8.0,85.0,563.0,142.0,171.0,112.0,171.0,109.0,1
unknwon/the-way-to-go_ZH_CN,6,1,0,0,0,3,3,0,0,0.0,8989842,unknwon/the-way-to-go_ZH_CN,https://github.com/unknwon/the-way-to-go_ZH_CN,2013-03-24 17:18:38,Go,,28198,7598,28198,28,25,unknwon/the-way-to-go_ZH_CN,254.0,0.0,0.0,0.0,1405.0,0.0,0.0,0.0,0.0,656.0,656.0,0.0,121.0,664.0,169.0,170.0,185.0,170.0,139.0,1
