fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
hashicorp/terraform,1,1,0,1,0,1,1,0,0,30288,30288,7119,19,hashicorp/terraform,1959.0,0.0,30.0,0.0,29579.0,1435.0,16836.0,18271.0,162.0,11867.0,12029.0,1.0,78.0,hashicorp/terraform,2014-03-13 22:25:48,2948,0.0,0.6645183175033921,0.0,0.0101763907734057,10.03358208955224,0.0,1
rclone/rclone,1,1,0,0,0,1,1,0,0,30225,30225,2718,20,rclone/rclone,574.0,1813.0,30.0,900.0,6024.0,665.0,3668.0,4333.0,62.0,1568.0,1630.0,21.0,114.0,rclone/rclone,2014-03-16 16:19:57,2945,0.6156196943972835,0.1949066213921901,0.3056027164685908,0.0101867572156196,2.0455008488964346,30.0,1
pingcap/tidb,1,1,0,1,0,1,1,1,0,29739,29739,4795,21,pingcap/tidb,822.0,0.0,30.0,0.0,16895.0,2340.0,8564.0,10904.0,659.0,21351.0,22010.0,1.0,93.0,pingcap/tidb,2015-09-06 04:01:52,2406,0.0,0.341645885286783,0.0,0.0124688279301745,7.022028262676642,0.0,1
evanw/esbuild,0,1,0,0,0,0,0,0,0,29105,29105,699,22,evanw/esbuild,85.0,0.0,30.0,0.0,2906.0,218.0,1576.0,1794.0,29.0,242.0,271.0,31.0,102.0,evanw/esbuild,2016-06-14 16:08:50,2124,0.0,0.0400188323917137,0.0,0.0141242937853107,1.3681732580037664,0.0,1
istio/istio,0,1,0,0,0,0,1,0,0,28856,28856,5898,23,istio/istio,932.0,397092.0,30.0,714.0,17492.0,559.0,14784.0,15343.0,85.0,22289.0,22374.0,2.0,79.0,istio/istio,2016-11-18 23:57:21,1967,201.87697000508388,0.4738179969496695,0.3629893238434163,0.0152516522623284,8.892730045754957,23.8,1
wagoodman/dive,1,1,0,1,0,0,1,0,0,28750,28750,1101,24,wagoodman/dive,40.0,4718.0,24.0,133.0,412.0,105.0,143.0,248.0,13.0,126.0,139.0,8.0,85.0,wagoodman/dive,2018-05-13 15:44:01,1426,3.308555399719495,0.0280504908835904,0.0932678821879382,0.0168302945301542,0.2889200561009817,5.541666666666667,1
beego/beego,1,1,0,1,0,1,1,0,1,27320,27320,5362,26,beego/beego,485.0,0.0,12.0,0.0,4549.0,18.0,3106.0,3124.0,6.0,1712.0,1718.0,3.0,88.0,beego/beego,2012-02-29 02:32:08,3691,0.0,0.1314007044161473,0.0,0.0032511514494716,1.2324573286372258,0.0,1
go-gitea/gitea,1,1,0,1,0,1,1,1,0,27171,27171,3410,27,go-gitea/gitea,1112.0,1616.0,30.0,900.0,12936.0,1809.0,6864.0,8673.0,186.0,9959.0,10145.0,1.0,517.0,go-gitea/gitea,2016-11-01 02:13:26,1984,0.8145161290322581,0.5604838709677419,0.4536290322580645,0.0151209677419354,6.520161290322581,30.0,1
cli/cli,0,1,0,1,0,0,1,1,0,26498,26498,3070,28,cli/cli,328.0,7252.0,30.0,510.0,5301.0,342.0,2169.0,2511.0,25.0,1599.0,1624.0,0.0,93.0,cli/cli,2019-10-03 15:24:53,918,7.8997821350762525,0.3572984749455338,0.5555555555555556,0.0326797385620915,5.7745098039215685,17.0,1
go-gorm/gorm,1,1,0,1,0,1,1,1,0,26039,26039,2948,29,go-gorm/gorm,323.0,0.0,2.0,0.0,2395.0,53.0,4193.0,4246.0,6.0,887.0,893.0,7.0,227.0,go-gorm/gorm,2013-10-25 08:31:38,3087,0.0,0.104632329122125,0.0,0.0006478781988986,0.7758341431810819,0.0,1
jesseduffield/lazygit,1,1,0,1,0,0,1,1,1,24349,24349,912,30,jesseduffield/lazygit,158.0,567.0,30.0,404.0,2960.0,279.0,667.0,946.0,23.0,756.0,779.0,2.0,115.0,jesseduffield/lazygit,2018-05-19 00:53:06,1420,0.3992957746478873,0.1112676056338028,0.2845070422535211,0.0211267605633802,2.084507042253521,13.466666666666669,1
docker/compose,0,1,0,1,1,0,1,1,0,24329,24329,4075,31,docker/compose,84.0,62219.0,30.0,358.0,3166.0,657.0,5425.0,6082.0,89.0,2963.0,3052.0,0.0,48.0,docker/compose,2013-12-09 11:40:58,3042,20.453320184089414,0.0276134122287968,0.1176857330703484,0.009861932938856,1.0407626561472716,11.933333333333334,1
spf13/cobra,0,1,0,1,0,1,0,0,0,24247,24247,2103,33,spf13/cobra,243.0,0.0,15.0,0.0,879.0,181.0,670.0,851.0,98.0,665.0,763.0,9.0,148.0,spf13/cobra,2013-09-03 20:40:26,3139,0.0,0.0774131889136667,0.0,0.004778591908251,0.2800254858235106,0.0,1
hashicorp/consul,0,1,0,0,0,0,1,1,0,23642,23642,3922,34,hashicorp/consul,944.0,0.0,30.0,0.0,16877.0,936.0,3811.0,4747.0,152.0,7513.0,7665.0,2.0,53.0,hashicorp/consul,2013-11-04 22:15:27,3077,0.0,0.3067923301917452,0.0,0.0097497562560935,5.484887877803055,0.0,1
kubernetes/minikube,0,1,0,1,0,1,1,0,0,22580,22580,3816,36,kubernetes/minikube,789.0,150980.0,30.0,900.0,18255.0,627.0,6636.0,7263.0,64.0,6396.0,6460.0,1.0,245.0,kubernetes/minikube,2016-04-15 22:38:35,2184,69.13003663003663,0.3612637362637362,0.412087912087912,0.0137362637362637,8.358516483516484,30.0,1
influxdata/influxdb,0,1,0,1,0,1,1,1,0,22504,22504,3070,37,influxdata/influxdb,615.0,0.0,30.0,0.0,35083.0,1384.0,10918.0,12302.0,48.0,10514.0,10562.0,0.0,43.0,influxdata/influxdb,2013-09-26 14:31:10,3116,0.0,0.1973684210526315,0.0,0.0096277278562259,11.258985879332478,0.0,1
hashicorp/vault,0,1,0,1,0,0,1,0,0,22296,22296,3157,38,hashicorp/vault,1202.0,0.0,30.0,0.0,14792.0,840.0,3914.0,4754.0,279.0,9315.0,9594.0,3.0,57.0,hashicorp/vault,2015-02-25 00:15:59,2599,0.0,0.4624855713736052,0.0,0.0115429011158137,5.691419776837245,0.0,1
halfrost/LeetCode-Go,1,1,0,1,1,1,1,0,0,22156,22156,4019,39,halfrost/LeetCode-Go,47.0,51402.0,4.0,5.0,1233.0,10.0,47.0,57.0,1.0,174.0,175.0,0.0,287.0,halfrost/LeetCode-Go,2017-07-18 00:06:14,1725,29.79826086956522,0.0272463768115942,0.0028985507246376,0.0023188405797101,0.7147826086956521,1.25,1
go-kit/kit,1,1,0,1,0,0,1,1,1,21827,21827,2212,40,go-kit/kit,228.0,0.0,12.0,0.0,1514.0,34.0,510.0,544.0,9.0,610.0,619.0,3.0,78.0,go-kit/kit,2015-02-03 00:01:19,2621,0.0,0.086989698588325,0.0,0.0045784051888592,0.5776421213277375,0.0,1
