fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
diaspora/diaspora,1,1,0,1,0,0,1,1,0,12924,12924,2933,18,diaspora/diaspora,540.0,0.0,2.0,0.0,20528.0,420.0,4279.0,4699.0,26.0,3387.0,3413.0,0.0,151.0,diaspora/diaspora,2010-09-15 05:20:04,4223,0.0,0.1278711816244376,0.0,0.0004735969689793,4.860999289604546,0.0,0
twbs/bootstrap-sass,0,1,0,1,1,1,1,1,0,12729,12729,3677,19,twbs/bootstrap-sass,122.0,0.0,2.0,0.0,1039.0,15.0,816.0,831.0,3.0,346.0,349.0,19.0,217.0,twbs/bootstrap-sass,2011-09-06 18:58:49,3867,0.0,0.0315490043961727,0.0,0.0005171967933798,0.2686837341608482,0.0,0
elastic/logstash,0,1,0,1,0,0,1,1,0,12498,12498,3234,20,elastic/logstash,573.0,0.0,2.0,0.0,10027.0,1783.0,4304.0,6087.0,180.0,7524.0,7704.0,7.0,118.0,elastic/logstash,2010-11-18 01:31:50,4159,0.0,0.1377735032459726,0.0,0.0004808848280836,2.4109160855975,0.0,0
gollum/gollum,1,1,0,1,0,1,1,1,0,12326,12326,1570,21,gollum/gollum,217.0,0.0,2.0,0.0,2360.0,44.0,1093.0,1137.0,8.0,618.0,626.0,9.0,233.0,gollum/gollum,2010-03-29 18:30:53,4393,0.0,0.0493967675847939,0.0,0.0004552697473252,0.5372183018438424,0.0,0
capistrano/capistrano,1,1,0,1,0,1,1,1,0,12028,12028,1780,22,capistrano/capistrano,279.0,0.0,2.0,0.0,1681.0,51.0,1051.0,1102.0,3.0,857.0,860.0,3.0,139.0,capistrano/capistrano,2009-02-26 16:14:04,4789,0.0,0.0582585090833159,0.0,0.0004176237210273,0.3510127375234913,0.0,0
rubocop/rubocop,1,1,0,1,1,1,1,1,0,11576,11576,2803,23,rubocop/rubocop,907.0,0.0,2.0,0.0,11343.0,213.0,4335.0,4548.0,26.0,5735.0,5761.0,3.0,397.0,rubocop/rubocop,2012-04-21 10:09:58,3639,0.0,0.249244297884034,0.0,0.0005496015388843,3.117065127782358,0.0,0
mame/quine-relay,1,1,0,1,0,1,1,0,0,11556,11556,523,24,mame/quine-relay,18.0,0.0,2.0,0.0,458.0,14.0,65.0,79.0,0.0,40.0,40.0,3.0,187.0,mame/quine-relay,2013-07-15 13:29:20,3189,0.0,0.0056444026340545,0.0,0.0006271558482282,0.1436186892442772,0.0,1
spree/spree,1,1,0,1,0,1,1,1,0,11543,11543,4821,25,spree/spree,1171.0,0.0,2.0,0.0,24595.0,174.0,3895.0,4069.0,69.0,7357.0,7426.0,0.0,290.0,spree/spree,2008-03-10 14:45:35,5142,0.0,0.2277323998444185,0.0,0.0003889537145079,4.783158304161804,0.0,0
lewagon/setup,1,0,0,1,0,0,1,0,0,11538,11538,1006,26,lewagon/setup,63.0,0.0,2.0,0.0,993.0,5.0,113.0,118.0,1.0,245.0,246.0,0.0,58.0,lewagon/setup,2014-04-06 09:25:02,2924,0.0,0.0215458276333789,0.0,0.0006839945280437,0.3396032831737346,0.0,0
sinatra/sinatra,1,1,0,1,1,0,1,0,0,11482,11482,2034,27,sinatra/sinatra,505.0,0.0,2.0,0.0,4362.0,57.0,733.0,790.0,11.0,928.0,939.0,7.0,143.0,sinatra/sinatra,2009-01-14 01:27:30,4832,0.0,0.1045115894039735,0.0,0.0004139072847682,0.9027317880794702,0.0,0
