fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
gentilkiwi/mimikatz,1,0,0,1,0,1,1,0,0,14504,14504,2884,30,gentilkiwi/mimikatz,gentilkiwi/mimikatz,25,22,47,7,40176,10,20,322,109,228,337,0,16,2014-04-06 18:30:02,2924,13.740082079343363,0.0023939808481532,0.0068399452804377,0.0034199726402188,0.1101231190150478,2.0,1
micropython/micropython,0,1,0,1,0,0,0,1,0,13380,13380,4918,27,micropython/micropython,micropython/micropython,273,0,273,494,29809,12,24,13186,1142,2934,4076,2,86,2013-12-20 11:47:07,3031,9.834708017156052,0.162982514021775,0.0079181788188716,0.0039590894094358,4.350379412735071,2.0,0
iovisor/bcc,1,1,0,1,0,1,1,1,0,13072,13072,2529,38,iovisor/bcc,iovisor/bcc,82,2362,2444,534,13443,15,28,4091,608,837,1445,6,166,2015-05-01 19:52:32,2534,5.305051302288871,0.2107340173638516,0.011049723756906,0.0059194948697711,1.6144435674822415,1.8666666666666667,0
jarun/nnn,1,1,0,1,0,1,1,0,0,13023,13023,509,52,jarun/nnn,jarun/nnn,1,540,541,151,2360,30,350,3872,2,757,759,1,900,2016-08-20 14:10:14,2057,1.1473018959649977,0.0734078755469129,0.1701507049100632,0.0145843461351482,1.8823529411764703,11.666666666666666,0
timescale/timescaledb,1,1,0,1,0,1,1,1,0,12166,12166,641,50,timescale/timescaledb,timescale/timescaledb,16,2260,2276,82,4199,30,19,3192,382,1418,1800,1,87,2017-03-07 20:03:41,1858,2.259956942949408,0.0441334768568353,0.0102260495156081,0.0161463939720129,1.7179763186221744,0.6333333333333333,0
Foundry376/Mailspring,0,1,0,1,0,1,1,1,0,11867,11867,757,51,Foundry376/Mailspring,Foundry376/Mailspring,4,218,222,239,75020,30,202,7389,3,2142,2145,2,141,2016-10-13 06:45:50,2003,37.45381927109336,0.1193210184722915,0.1008487269096355,0.0149775336994508,3.688966550174738,6.733333333333333,0
alibaba/tengine,0,1,0,1,0,1,1,0,0,11192,11192,2388,43,alibaba/tengine,alibaba/tengine,48,747,795,114,0,8,0,1525,345,465,810,0,23,2012-03-21 06:34:37,3670,0.0,0.0310626702997275,0.0,0.0021798365122615,0.4155313351498637,0.0,0
twitter/twemproxy,1,1,0,1,0,1,1,0,0,11121,11121,1952,44,twitter/twemproxy,twitter/twemproxy,39,0,39,76,1658,5,2,602,133,281,414,6,108,2012-02-22 16:53:58,3698,0.4483504597079502,0.020551649540292,0.0005408328826392,0.0013520822065981,0.1627906976744186,0.4,0
ish-app/ish,0,1,0,1,0,0,1,0,0,10924,10924,585,63,ish-app/ish,ish-app/ish,15,241,256,60,38,30,90,3005,369,971,1340,4,57,2017-05-05 00:10:35,1799,0.0211228460255697,0.0333518621456364,0.0500277932184547,0.0166759310728182,1.670372429127293,3.0,0
hashcat/hashcat,0,0,0,1,0,1,1,1,0,10923,10923,1867,47,hashcat/hashcat,hashcat/hashcat,7,1559,1566,120,64516,23,14,8334,131,1487,1618,0,22,2015-12-04 14:46:51,2317,27.844626672421235,0.0517911091929218,0.0060422960725075,0.0099266292619766,3.5968925334484245,0.6086956521739131,0
cloudwu/skynet,0,1,0,1,1,0,1,0,0,10764,10764,3736,40,cloudwu/skynet,cloudwu/skynet,5,0,5,123,0,30,0,2083,12,810,822,0,39,2012-08-01 03:30:42,3537,0.0,0.0347752332485156,0.0,0.008481764206955,0.5889171614362454,0.0,0
