repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits
46,docker/labs,129.0,0.0,0.0,0.0,714.0,51.0,115.0,166.0,57.0,307.0,364.0,1.0,29.0
47,SpartnerNL/Laravel-Excel,178.0,0.0,30.0,0.0,1429.0,8.0,2665.0,2673.0,4.0,458.0,462.0,1.0,229.0
48,tymondesigns/jwt-auth,81.0,0.0,30.0,0.0,1481.0,521.0,1034.0,1555.0,39.0,572.0,611.0,0.0,105.0
49,z-song/laravel-admin,308.0,0.0,30.0,0.0,3140.0,91.0,4015.0,4106.0,20.0,1361.0,1381.0,0.0,61.0
50,jupeter/clean-code-php,58.0,0.0,0.0,0.0,372.0,17.0,30.0,47.0,0.0,150.0,150.0,0.0,298.0
51,mockery/mockery,219.0,0.0,28.0,0.0,1945.0,85.0,498.0,583.0,10.0,570.0,580.0,0.0,57.0
52,spatie/laravel-permission,184.0,0.0,30.0,0.0,1219.0,7.0,1255.0,1262.0,6.0,551.0,557.0,3.0,205.0
53,serbanghita/Mobile-Detect,112.0,0.0,0.0,0.0,825.0,115.0,538.0,653.0,39.0,189.0,228.0,14.0,120.0
54,magento/magento2,2358.0,0.0,30.0,0.0,127065.0,1203.0,20417.0,21620.0,773.0,12510.0,13283.0,0.0,91.0
55,php-fig/log,29.0,0.0,8.0,0.0,93.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,3.0
56,w7corp/easywechat,157.0,0.0,30.0,0.0,2003.0,4.0,1129.0,1133.0,1.0,1221.0,1222.0,0.0,91.0
57,walkor/Workerman,93.0,0.0,30.0,0.0,1558.0,18.0,451.0,469.0,4.0,235.0,239.0,0.0,118.0
58,swiftmailer/swiftmailer,187.0,0.0,0.0,0.0,1644.0,0.0,851.0,851.0,0.0,507.0,507.0,0.0,3.0
59,php-fig/container,33.0,0.0,7.0,0.0,185.0,4.0,15.0,19.0,0.0,23.0,23.0,0.0,82.0
60,dingo/api,120.0,0.0,30.0,0.0,1387.0,181.0,1180.0,1361.0,10.0,397.0,407.0,0.0,24.0
61,bobthecow/psysh,81.0,1387.0,30.0,119.0,1808.0,34.0,386.0,420.0,8.0,267.0,275.0,9.0,65.0
62,squizlabs/PHP_CodeSniffer,244.0,218461.0,30.0,104.0,7064.0,222.0,1877.0,2099.0,72.0,1343.0,1415.0,3.0,27.0
63,symfony/console,381.0,0.0,30.0,0.0,3510.0,0.0,0.0,0.0,1.0,77.0,78.0,0.0,18.0
64,doctrine/orm,966.0,0.0,30.0,0.0,12499.0,1134.0,4666.0,5800.0,271.0,3369.0,3640.0,0.0,20.0
65,phpDocumentor/ReflectionDocBlock,62.0,0.0,30.0,0.0,651.0,9.0,77.0,86.0,10.0,233.0,243.0,0.0,15.0
66,deployphp/deployer,343.0,10472.0,30.0,10.0,2617.0,44.0,1592.0,1636.0,4.0,1086.0,1090.0,0.0,125.0
67,FriendsOfPHP/Goutte,77.0,8132.0,6.0,6.0,318.0,126.0,168.0,294.0,2.0,147.0,149.0,3.0,31.0
68,phpDocumentor/TypeResolver,41.0,0.0,25.0,0.0,363.0,3.0,39.0,42.0,6.0,112.0,118.0,1.0,13.0
69,phpDocumentor/ReflectionCommon,15.0,0.0,11.0,0.0,157.0,0.0,6.0,6.0,3.0,58.0,61.0,1.0,6.0
70,doctrine/dbal,563.0,0.0,30.0,0.0,10347.0,253.0,2046.0,2299.0,22.0,2959.0,2981.0,0.0,46.0
71,cakephp/cakephp,848.0,7296.0,30.0,24.0,43900.0,32.0,6185.0,6217.0,4.0,10050.0,10054.0,1.0,80.0
72,dompdf/dompdf,149.0,169006.0,22.0,16.0,1504.0,593.0,1643.0,2236.0,24.0,441.0,465.0,7.0,60.0
73,typecho/typecho,72.0,278618.0,15.0,15.0,1377.0,296.0,682.0,978.0,43.0,209.0,252.0,0.0,4.0
74,phpspec/prophecy,121.0,0.0,30.0,0.0,693.0,97.0,146.0,243.0,7.0,300.0,307.0,1.0,36.0
75,reactphp/reactphp,40.0,0.0,21.0,0.0,958.0,2.0,202.0,204.0,0.0,244.0,244.0,3.0,79.0
76,guyueyingmu/avbook,2.0,58193.0,1.0,1.0,41.0,64.0,61.0,125.0,6.0,21.0,27.0,0.0,26.0
77,sebastianbergmann/php-code-coverage,113.0,0.0,0.0,0.0,2366.0,11.0,527.0,538.0,1.0,354.0,355.0,3.0,32.0
78,myclabs/DeepCopy,26.0,0.0,30.0,0.0,168.0,11.0,61.0,72.0,4.0,95.0,99.0,0.0,38.0
79,symfony/http-foundation,494.0,0.0,30.0,0.0,3954.0,0.0,0.0,0.0,3.0,76.0,79.0,0.0,14.0
80,paragonie/random_compat,36.0,3616.0,30.0,90.0,436.0,4.0,81.0,85.0,1.0,89.0,90.0,3.0,60.0
81,symfony/event-dispatcher,114.0,0.0,30.0,0.0,1007.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,15.0
82,php-fig/simple-cache,9.0,0.0,6.0,0.0,26.0,0.0,0.0,0.0,2.0,20.0,22.0,0.0,4.0
83,symfony/finder,135.0,0.0,30.0,0.0,1030.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,15.0
84,googleapis/google-api-php-client,156.0,232924.0,30.0,78.0,1773.0,108.0,1430.0,1538.0,2.0,651.0,653.0,13.0,78.0
85,helloqingfeng/Awsome-Front-End-learning-resource,3.0,0.0,0.0,0.0,34.0,2.0,8.0,10.0,3.0,6.0,9.0,0.0,18.0
86,top-think/think,51.0,0.0,30.0,0.0,2032.0,106.0,705.0,811.0,10.0,277.0,287.0,0.0,69.0
87,YOURLS/YOURLS,91.0,0.0,17.0,0.0,1901.0,47.0,2557.0,2604.0,5.0,334.0,339.0,1.0,35.0
88,BookStackApp/BookStack,180.0,0.0,30.0,0.0,3146.0,420.0,2279.0,2699.0,2.0,587.0,589.0,11.0,95.0
89,owncloud/core,739.0,0.0,0.0,0.0,47671.0,325.0,18652.0,18977.0,64.0,20683.0,20747.0,0.0,52.0
90,symfony/thanks,19.0,0.0,1.0,0.0,96.0,1.0,34.0,35.0,0.0,57.0,57.0,0.0,10.0
91,symfony/http-kernel,410.0,0.0,30.0,0.0,5696.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,17.0
92,tennc/webshell,20.0,0.0,7.0,0.0,621.0,0.0,24.0,24.0,0.0,28.0,28.0,0.0,62.0
93,woocommerce/woocommerce,1420.0,2897.0,30.0,31.0,41023.0,989.0,18855.0,19844.0,226.0,11508.0,11734.0,1.0,40.0
94,laravel/lumen,73.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,160.0,160.0,0.0,6.0
95,twigphp/Twig,435.0,0.0,0.0,0.0,5857.0,83.0,1812.0,1895.0,16.0,1731.0,1747.0,0.0,6.0
