Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
lionsoul2014/ip2region,11,0,0,0,0,1,4,0,0,9.0,45363955,lionsoul2014/ip2region,https://github.com/lionsoul2014/ip2region,2015-11-02 00:43:13,C#,,9786,1784,9786,27
mono/mono,111,2,0,0,0,1,13,0,82,0.0,791611,mono/mono,https://github.com/mono/mono,2010-07-22 18:06:36,C#,,9593,3620,9593,2134
JamesNK/Newtonsoft.Json,7,3,0,0,0,1,7,0,0,0.0,3476845,JamesNK/Newtonsoft.Json,https://github.com/JamesNK/Newtonsoft.Json,2012-02-18 07:30:28,C#,,8964,2944,8964,606
ardalis/CleanArchitecture,53,7,0,0,0,13,36,0,8,2.0,69673033,ardalis/CleanArchitecture,https://github.com/ardalis/CleanArchitecture,2016-09-30 14:19:20,C#,,8728,1595,8728,16
bitwarden/server,6,1,0,0,0,3,14,0,2,4.0,46755185,bitwarden/server,https://github.com/bitwarden/server,2015-11-23 23:45:33,C#,,8726,737,8726,166
Unity-Technologies/UnityCsReference,0,0,0,0,0,0,0,0,0,0.0,126486701,Unity-Technologies/UnityCsReference,https://github.com/Unity-Technologies/UnityCsReference,2018-03-23 13:08:32,C#,,8524,1863,8524,3
SignalR/SignalR,2,0,0,0,0,3,6,1,1,1.0,2087064,SignalR/SignalR,https://github.com/SignalR/SignalR,2011-07-22 03:52:19,C#,,8508,2283,8508,22
ppy/osu,9,5,0,0,0,9,20,2,8,3.0,22456440,ppy/osu,https://github.com/ppy/osu,2014-07-31 04:26:30,C#,,8485,1423,8485,878
cefsharp/CefSharp,36,20,0,0,0,53,86,2,9,0.0,1135454,cefsharp/CefSharp,https://github.com/cefsharp/CefSharp,2010-12-03 15:23:23,C#,,8410,2719,8410,38
IdentityServer/IdentityServer4,12,3,0,0,0,11,30,0,1,0.0,46652227,IdentityServer/IdentityServer4,https://github.com/IdentityServer/IdentityServer4,2015-11-22 08:21:58,C#,,8405,3256,8405,58
AutoMapper/AutoMapper,6,4,0,0,0,7,16,0,0,3.0,505380,AutoMapper/AutoMapper,https://github.com/AutoMapper/AutoMapper,2010-02-06 15:17:58,C#,,8384,1642,8384,2
restsharp/RestSharp,0,18,0,0,0,2,17,0,0,0.0,374228,restsharp/RestSharp,https://github.com/restsharp/RestSharp,2009-11-16 02:01:45,C#,,8134,2175,8134,19
felixse/FluentTerminal,44,10,0,0,0,6,13,0,2,1.0,118322286,felixse/FluentTerminal,https://github.com/felixse/FluentTerminal,2018-01-21 09:45:11,C#,,8112,418,8112,227
dotnet/csharplang,16,1,0,0,0,14,16,1,0,0.0,75990888,dotnet/csharplang,https://github.com/dotnet/csharplang,2016-12-09 01:45:27,C#,,8056,852,8056,443
dotnet/orleans,13,6,0,0,0,5,31,2,7,6.0,28232663,dotnet/orleans,https://github.com/dotnet/orleans,2014-12-19 14:32:50,C#,,8054,1760,8054,534
MahApps/MahApps.Metro,34,12,1,0,0,39,61,3,0,0.0,2584777,MahApps/MahApps.Metro,https://github.com/MahApps/MahApps.Metro,2011-10-16 04:16:10,C#,,7996,2356,7996,82
MonoGame/MonoGame,41,5,0,0,0,3,19,0,2,0.0,1579990,MonoGame/MonoGame,https://github.com/MonoGame/MonoGame,2011-04-07 00:23:40,C#,,7982,2518,7982,770
chocolatey/choco,55,11,4,0,0,9,28,1,13,3.0,28647218,chocolatey/choco,https://github.com/chocolatey/choco,2014-12-30 22:12:11,C#,,7874,785,7874,800
dotnet/machinelearning,9,9,0,1,0,4,28,1,0,4.0,132021166,dotnet/machinelearning,https://github.com/dotnet/machinelearning,2018-05-03 16:20:42,C#,,7734,1697,7734,605
dotnet/runtime,19,4,0,0,0,9,24,1,2,0.0,210716005,dotnet/runtime,https://github.com/dotnet/runtime,2019-09-24 23:36:39,C#,,7646,2556,7646,7576
JustArchiNET/ArchiSteamFarm,13,25,0,0,0,18,30,0,0,0.0,44897462,JustArchiNET/ArchiSteamFarm,https://github.com/JustArchiNET/ArchiSteamFarm,2015-10-25 05:12:33,C#,,7172,854,7172,2
jbogard/MediatR,0,4,0,0,0,1,5,0,0,0.0,17369361,jbogard/MediatR,https://github.com/jbogard/MediatR,2014-03-03 15:01:22,C#,,7164,891,7164,72
NancyFx/Nancy,21,3,0,0,0,2,16,0,3,1.0,738250,NancyFx/Nancy,https://github.com/NancyFx/Nancy,2010-06-24 19:35:22,C#,,7155,1518,7155,222
jasontaylordev/CleanArchitecture,19,7,0,0,0,3,19,0,17,1.0,213460285,jasontaylordev/CleanArchitecture,https://github.com/jasontaylordev/CleanArchitecture,2019-10-07 18:44:32,C#,,7125,1596,7125,66
dotnet/BenchmarkDotNet,0,13,0,0,0,40,70,1,4,3.0,12191244,dotnet/BenchmarkDotNet,https://github.com/dotnet/BenchmarkDotNet,2013-08-18 06:17:48,C#,,7110,728,7110,178
abpframework/abp,16,9,0,0,0,0,33,0,0,2.0,75505125,abpframework/abp,https://github.com/abpframework/abp,2016-12-03 22:56:24,C#,,7104,2241,7104,547
Perfare/AssetStudio,20,1,0,0,0,4,6,0,1,0.0,64753043,Perfare/AssetStudio,https://github.com/Perfare/AssetStudio,2016-08-02 11:59:11,C#,,7102,1294,7102,54
HangfireIO/Hangfire,15,4,0,0,0,3,18,2,8,11.0,11920542,HangfireIO/Hangfire,https://github.com/HangfireIO/Hangfire,2013-08-06 09:43:04,C#,,7098,1471,7098,661
JeffreySu/WeiXinMPSDK,97,12,0,1,0,24,38,1,13,7.0,7560589,JeffreySu/WeiXinMPSDK,https://github.com/JeffreySu/WeiXinMPSDK,2013-01-11 13:52:44,C#,,7076,4146,7076,152
carlospolop/PEASS-ng,4,4,1,0,0,3,8,1,0,0.0,165548191,carlospolop/PEASS-ng,https://github.com/carlospolop/PEASS-ng,2019-01-13 19:58:24,C#,,7039,1755,7039,3
dotnet-architecture/eShopOnWeb,16,3,0,0,0,5,10,0,6,5.0,83380995,dotnet-architecture/eShopOnWeb,https://github.com/dotnet-architecture/eShopOnWeb,2017-02-28 02:39:37,C#,,6879,3348,6879,2
duplicati/duplicati,9,20,0,0,0,7,30,0,0,0.0,22636263,duplicati/duplicati,https://github.com/duplicati/duplicati,2014-08-05 08:28:16,C#,,6872,699,6872,818
microsoft/ailab,10,1,0,0,0,0,13,0,0,0.0,142076747,microsoft/ailab,https://github.com/microsoft/ailab,2018-07-23 22:40:54,C#,,6861,1281,6861,65
Sonarr/Sonarr,27,9,0,0,0,3,21,0,0,0.0,2465723,Sonarr/Sonarr,https://github.com/Sonarr/Sonarr,2011-09-27 05:57:16,C#,,6824,963,6824,165
nopSolutions/nopCommerce,8,4,0,0,0,0,22,0,0,0.0,18586705,nopSolutions/nopCommerce,https://github.com/nopSolutions/nopCommerce,2014-04-09 05:47:50,C#,,6791,3866,6791,223
xupefei/Locale-Emulator,8,6,0,0,0,3,9,0,4,0.0,8835057,xupefei/Locale-Emulator,https://github.com/xupefei/Locale-Emulator,2013-03-17 13:51:51,C#,,6774,600,6774,213
reactiveui/ReactiveUI,3,5,0,1,0,15,25,0,0,0.0,715082,reactiveui/ReactiveUI,https://github.com/reactiveui/ReactiveUI,2010-06-11 05:24:29,C#,,6686,1055,6686,58
MathewSachin/Captura,10,8,0,0,0,0,12,0,0,1.0,41589439,MathewSachin/Captura,https://github.com/MathewSachin/Captura,2015-08-29 10:30:45,C#,,6653,1240,6653,114
ThreeMammals/Ocelot,17,5,0,0,0,1,10,0,3,0.0,62256097,ThreeMammals/Ocelot,https://github.com/ThreeMammals/Ocelot,2016-06-29 20:35:24,C#,,6648,1398,6648,549
Jackett/Jackett,620,9,0,0,0,18,28,1,52,4.0,45195614,Jackett/Jackett,https://github.com/Jackett/Jackett,2015-10-29 16:23:19,C#,,6634,858,6634,316
TGSAN/CMWTAT_Digital_Edition,26,0,0,0,0,0,0,0,20,1.0,135050219,TGSAN/CMWTAT_Digital_Edition,https://github.com/TGSAN/CMWTAT_Digital_Edition,2018-05-27 13:45:02,C#,,6619,1075,6619,7
nilaoda/N_m3u8DL-CLI,19,3,1,0,0,2,2,0,8,2.0,182095352,nilaoda/N_m3u8DL-CLI,https://github.com/nilaoda/N_m3u8DL-CLI,2019-04-18 13:43:49,C#,,6578,1224,6578,138
winsw/winsw,21,7,0,0,0,6,15,1,5,1.0,500093,winsw/winsw,https://github.com/winsw/winsw,2010-02-03 02:49:39,C#,,6500,1053,6500,129
dvf/blockchain,12,1,0,0,0,1,4,0,0,5.0,104670977,dvf/blockchain,https://github.com/dvf/blockchain,2017-09-24 19:36:36,C#,,6466,2439,6466,102
Humanizr/Humanizer,47,5,0,0,0,16,30,2,113,98.0,4213474,Humanizr/Humanizer,https://github.com/Humanizr/Humanizer,2012-05-03 12:01:45,C#,,6450,817,6450,189
dodyg/practical-aspnetcore,24,0,0,0,0,5,9,0,16,2.0,64290739,dodyg/practical-aspnetcore,https://github.com/dodyg/practical-aspnetcore,2016-07-27 08:23:40,C#,,6178,812,6178,168
kgrzybek/modular-monolith-with-ddd,245,33,0,0,0,27,142,2,42,32.0,203892454,kgrzybek/modular-monolith-with-ddd,https://github.com/kgrzybek/modular-monolith-with-ddd,2019-08-23 00:12:03,C#,,6132,893,6132,37
mbdavid/LiteDB,34,2,0,0,0,3,8,0,5,2.0,23315232,mbdavid/LiteDB,https://github.com/mbdavid/LiteDB,2014-08-25 13:49:30,C#,,6106,933,6106,489
ElectronNET/Electron.NET,8,9,0,2,0,9,27,2,1,17.0,105649273,ElectronNET/Electron.NET,https://github.com/ElectronNET/Electron.NET,2017-10-03 12:30:29,C#,,6060,596,6060,116
gitextensions/gitextensions,15,19,0,0,0,27,61,2,0,0.0,85953,gitextensions/gitextensions,https://github.com/gitextensions/gitextensions,2008-12-06 09:18:59,C#,,5989,1789,5989,642
unoplatform/uno,24,10,0,0,0,77,93,1,0,0.0,132453438,unoplatform/uno,https://github.com/unoplatform/uno,2018-05-07 11:52:27,C#,,5980,481,5980,1172
mRemoteNG/mRemoteNG,28,6,0,0,0,9,26,3,11,0.0,460848,mRemoteNG/mRemoteNG,https://github.com/mRemoteNG/mRemoteNG,2010-01-06 15:53:17,C#,,5878,1095,5878,686
migueldeicaza/gui.cs,45,8,1,0,0,17,55,2,22,3.0,113807330,migueldeicaza/gui.cs,https://github.com/migueldeicaza/gui.cs,2017-12-11 03:23:45,C#,,5844,468,5844,81
aspnet/Mvc,6,0,0,0,0,8,10,3,1,0.0,15126429,aspnet/Mvc,https://github.com/aspnet/Mvc,2013-12-12 03:54:00,C#,,5726,2228,5726,0
Radarr/Radarr,25,20,0,2,0,2,24,0,0,0.0,77323220,Radarr/Radarr,https://github.com/Radarr/Radarr,2016-12-25 11:38:26,C#,,5666,702,5666,325
rocksdanister/lively,55,18,11,0,0,17,23,0,1,0.0,201188122,rocksdanister/lively,https://github.com/rocksdanister/lively,2019-08-08 05:57:26,C#,,5647,474,5647,100
QuantConnect/Lean,20,3,0,0,0,5,12,1,8,4.0,27251463,QuantConnect/Lean,https://github.com/QuantConnect/Lean,2014-11-28 04:20:19,C#,,5641,2392,5641,416
lambci/docker-lambda,108,1,0,0,0,1,12,0,130,17.0,59715467,lambci/docker-lambda,https://github.com/lambci/docker-lambda,2016-05-26 03:06:22,C#,,5617,424,5617,55
microsoft/VFSForGit,21,2,0,0,0,3,8,0,15,1.0,80058269,microsoft/VFSForGit,https://github.com/microsoft/VFSForGit,2017-01-25 21:10:29,C#,,5570,447,5570,295
OrchardCMS/OrchardCore,11,8,0,0,0,3,14,0,7,0.0,26884725,OrchardCMS/OrchardCore,https://github.com/OrchardCMS/OrchardCore,2014-11-19 22:29:26,C#,,5558,1884,5558,1135
JasonStein/Notepads,43,8,1,0,0,13,22,0,1,1.0,189676777,JasonStein/Notepads,https://github.com/JasonStein/Notepads,2019-06-01 01:20:33,C#,,5524,326,5524,227
reactiveui/refit,57,4,0,0,0,1,12,0,93,58.0,11591313,reactiveui/refit,https://github.com/reactiveui/refit,2013-07-22 20:11:57,C#,,5520,587,5520,106
neuecc/UniRx,19,9,0,1,0,14,29,0,36,44.0,17941520,neuecc/UniRx,https://github.com/neuecc/UniRx,2014-03-20 12:23:28,C#,,5477,756,5477,221
xamarin/Xamarin.Forms,32,12,0,0,0,6,25,0,27,6.0,54213490,xamarin/Xamarin.Forms,https://github.com/xamarin/Xamarin.Forms,2016-03-18 15:52:03,C#,,5472,1905,5472,3110
dotnet/wpf,11,3,0,0,0,7,20,1,1,0.0,153711945,dotnet/wpf,https://github.com/dotnet/wpf,2018-10-19 01:55:23,C#,,5469,795,5469,973
de4dot/de4dot,36,1,0,0,0,2,2,0,17,0.0,2419727,de4dot/de4dot,https://github.com/de4dot/de4dot,2011-09-20 01:50:28,C#,,5442,2046,5442,9
sschmid/Entitas-CSharp,19,0,0,0,0,17,26,0,0,2.0,17873382,sschmid/Entitas-CSharp,https://github.com/sschmid/Entitas-CSharp,2014-03-18 16:36:44,C#,,5374,983,5374,182
HMBSbige/ShadowsocksR-Windows,1,4,0,0,0,2,5,0,0,0.0,130160795,HMBSbige/ShadowsocksR-Windows,https://github.com/HMBSbige/ShadowsocksR-Windows,2018-04-19 04:53:38,C#,,5308,971,5308,16
emersonsoares/cep-api,0,0,0,0,0,0,1,0,0,2.0,6186968,emersonsoares/cep-api,https://github.com/emersonsoares/cep-api,2012-10-12 07:52:50,C#,,99,46,99,3
RiSearcher/GeometRi.CSharp,362,0,0,0,0,3,6,0,0,1.0,97986750,RiSearcher/GeometRi.CSharp,https://github.com/RiSearcher/GeometRi.CSharp,2017-07-21 21:09:35,C#,,98,13,98,0
chsienki/Kittitas,0,3,0,0,0,1,3,0,6,5.0,292050564,chsienki/Kittitas,https://github.com/chsienki/Kittitas,2020-09-01 16:30:50,C#,,97,5,97,5
conan-roslyn/Conan,11,10,0,0,0,4,17,0,5,2.0,139003053,conan-roslyn/Conan,https://github.com/conan-roslyn/Conan,2018-06-28 10:25:02,C#,,96,3,96,2
birkett/CloudFlare-DDNS-Updater,2,1,1,0,0,0,2,0,0,2.0,22152668,birkett/CloudFlare-DDNS-Updater,https://github.com/birkett/CloudFlare-DDNS-Updater,2014-07-23 14:20:05,C#,,95,48,95,16
jonwagner/EventSourceProxy,20,0,0,0,0,2,5,0,0,0.0,8510438,jonwagner/EventSourceProxy,https://github.com/jonwagner/EventSourceProxy,2013-03-01 21:15:01,C#,,94,21,94,0
continuoustests/OpenIDE,3,0,0,0,0,0,0,0,0,0.0,2120339,continuoustests/OpenIDE,https://github.com/continuoustests/OpenIDE,2011-07-28 19:49:12,C#,,93,18,93,3
lowleveldesign/dotnet-netrace,0,0,0,0,0,2,3,0,0,4.0,189821243,lowleveldesign/dotnet-netrace,https://github.com/lowleveldesign/dotnet-netrace,2019-06-02 08:15:31,C#,,92,6,92,0
snowl/LoLEnhancementSuite,0,0,0,0,0,0,0,1,0,0.0,18399944,snowl/LoLEnhancementSuite,https://github.com/snowl/LoLEnhancementSuite,2014-04-03 11:00:43,C#,,91,31,91,0
ElectricNightOwl/ArmSwinger,80,0,0,3,0,2,12,1,1,0.0,62692273,ElectricNightOwl/ArmSwinger,https://github.com/ElectricNightOwl/ArmSwinger,2016-07-06 04:58:29,C#,,90,30,90,10
IndieVisualLab/UnityGraphicsProgramming2,10,0,0,0,0,10,11,0,0,0.0,130425351,IndieVisualLab/UnityGraphicsProgramming2,https://github.com/IndieVisualLab/UnityGraphicsProgramming2,2018-04-21 00:20:10,C#,,89,11,89,0
alexandrebeato/bankflix,15,2,0,0,0,1,2,0,1,1.0,213929862,alexandrebeato/bankflix,https://github.com/alexandrebeato/bankflix,2019-10-09 13:44:06,C#,,88,14,88,14
microsoftarchive/iot-journey,4,1,0,1,0,0,5,0,0,0.0,34227406,microsoftarchive/iot-journey,https://github.com/microsoftarchive/iot-journey,2015-04-19 22:49:18,C#,,87,38,87,23
brockallen/BrockAllen.IdentityReboot,0,0,0,0,0,0,0,0,0,0.0,16648821,brockallen/BrockAllen.IdentityReboot,https://github.com/brockallen/BrockAllen.IdentityReboot,2014-02-08 17:40:57,C#,,85,14,85,0
mewlist/MassiveGrass,15,0,0,0,0,0,0,0,0,0.0,202632030,mewlist/MassiveGrass,https://github.com/mewlist/MassiveGrass,2019-08-16 00:49:19,C#,,84,12,84,0
regaw-leinad/AndroidLib,0,0,0,0,0,0,0,0,0,0.0,4022824,regaw-leinad/AndroidLib,https://github.com/regaw-leinad/AndroidLib,2012-04-14 05:19:42,C#,,83,62,83,0
Azure/azure-iot-predictive-maintenance,10,0,0,0,0,1,8,0,0,0.0,39550478,Azure/azure-iot-predictive-maintenance,https://github.com/Azure/azure-iot-predictive-maintenance,2015-07-23 06:44:53,C#,,82,64,82,0
seven1986/oauthapp,14,1,0,0,0,6,6,0,0,0.0,116626165,seven1986/oauthapp,https://github.com/seven1986/oauthapp,2018-01-08 03:44:42,C#,,81,22,81,2
chrishonselaar/ProtoPad,57,2,0,1,0,4,10,0,6,1.0,9601324,chrishonselaar/ProtoPad,https://github.com/chrishonselaar/ProtoPad,2013-04-22 14:51:52,C#,,80,20,80,1
jglim/CCManager,9,3,1,0,0,3,5,0,1,0.0,15388404,jglim/CCManager,https://github.com/jglim/CCManager,2013-12-23 05:33:55,C#,,79,19,79,4
saguiitay/CardinalityEstimation,2,0,0,0,0,0,2,0,1,2.0,30201635,saguiitay/CardinalityEstimation,https://github.com/saguiitay/CardinalityEstimation,2015-02-02 18:31:43,C#,,78,31,78,2
W3D3/SteamAccountSwitcher,9,2,0,0,0,2,6,0,0,0.0,21001871,W3D3/SteamAccountSwitcher,https://github.com/W3D3/SteamAccountSwitcher,2014-06-19 13:48:14,C#,,77,21,77,2
personball/abplus-zero-template,11,1,0,0,0,6,9,0,2,0.0,162661955,personball/abplus-zero-template,https://github.com/personball/abplus-zero-template,2018-12-21 03:39:48,C#,,76,27,76,30
johnnyreilly/jQuery.Validation.Unobtrusive.Native,19,1,0,0,0,5,12,1,2,0.0,11634902,johnnyreilly/jQuery.Validation.Unobtrusive.Native,https://github.com/johnnyreilly/jQuery.Validation.Unobtrusive.Native,2013-07-24 13:04:25,C#,,75,28,75,11
webapibook/issuetracker,3,0,0,0,0,0,21,0,4,13.0,8400239,webapibook/issuetracker,https://github.com/webapibook/issuetracker,2013-02-25 01:45:56,C#,,73,47,73,4
jamesmontemagno/MonoDroidToolkit,13,3,0,0,0,3,5,0,0,0.0,9858360,jamesmontemagno/MonoDroidToolkit,https://github.com/jamesmontemagno/MonoDroidToolkit,2013-05-04 18:32:39,C#,,72,25,72,3
mikebluestein/FindTheMonkey,0,0,0,0,0,0,0,0,0,0.0,13065511,mikebluestein/FindTheMonkey,https://github.com/mikebluestein/FindTheMonkey,2013-09-24 13:43:06,C#,,71,49,71,0
chrfalch/NControl.Controls,0,0,0,0,0,1,2,0,1,0.5,33243045,chrfalch/NControl.Controls,https://github.com/chrfalch/NControl.Controls,2015-04-01 11:06:23,C#,,70,36,70,17
pboechat/roadgen,25,4,0,0,0,1,1,0,0,0.0,64960560,pboechat/roadgen,https://github.com/pboechat/roadgen,2016-08-04 19:10:44,C#,,69,18,69,1
Unity-Technologies/UIElementsUniteLATurretDemo,0,0,0,0,0,0,0,0,2,0.0,159577720,Unity-Technologies/UIElementsUniteLATurretDemo,https://github.com/Unity-Technologies/UIElementsUniteLATurretDemo,2018-11-28 23:14:05,C#,,68,21,68,1
xabikos/aspnet-webpack,9,0,0,0,0,0,5,0,6,4.0,47356041,xabikos/aspnet-webpack,https://github.com/xabikos/aspnet-webpack,2015-12-03 19:46:18,C#,,67,13,67,8
madskristensen/WebExtensionPack,27,2,0,0,0,1,32,0,0,0.0,45489562,madskristensen/WebExtensionPack,https://github.com/madskristensen/WebExtensionPack,2015-11-03 19:15:01,C#,,66,10,66,4
MoshiMoshi0/TTController,0,7,0,0,0,2,8,0,0,0.0,163593689,MoshiMoshi0/TTController,https://github.com/MoshiMoshi0/TTController,2018-12-30 14:33:17,C#,,65,14,65,9
obviousjim/OpenTSPS_Unity3d_Extension,0,0,0,0,0,0,0,0,0,0.0,1110581,obviousjim/OpenTSPS_Unity3d_Extension,https://github.com/obviousjim/OpenTSPS_Unity3d_Extension,2010-11-24 22:27:13,C#,,64,14,64,1
amarmesic/windows-phone-navigation-drawer,14,1,1,0,0,0,4,0,0,3.0,25404426,amarmesic/windows-phone-navigation-drawer,https://github.com/amarmesic/windows-phone-navigation-drawer,2014-10-18 17:27:48,C#,,63,21,63,5
pavelkouril/unity-marching-cubes-gpu,3,0,0,0,0,1,3,0,2,0.0,87396721,pavelkouril/unity-marching-cubes-gpu,https://github.com/pavelkouril/unity-marching-cubes-gpu,2017-04-06 06:57:58,C#,,62,5,62,0
ScutGame/Scut-samples,0,11,0,0,0,1,2,0,0,0.0,22455771,ScutGame/Scut-samples,https://github.com/ScutGame/Scut-samples,2014-07-31 03:55:26,C#,,61,91,61,0
libla/TinyJSON,3,0,0,0,0,0,0,0,0,0.0,41684238,libla/TinyJSON,https://github.com/libla/TinyJSON,2015-08-31 15:37:54,C#,,60,25,60,0
NetMQ/NetMQ.ReactiveExtensions,23,2,0,0,0,4,12,0,11,5.0,51267731,NetMQ/NetMQ.ReactiveExtensions,https://github.com/NetMQ/NetMQ.ReactiveExtensions,2016-02-07 21:42:35,C#,,58,15,58,9
