Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
ReactiveX/rxjs,14,4,0,0,0,6,11,0,5,3.0,32247847,ReactiveX/rxjs,https://github.com/ReactiveX/rxjs,2015-03-15 06:17:10,TypeScript,,26062,2680,26062,219
postcss/postcss,70,0,0,1,0,13,26,1,75,11.0,13078968,postcss/postcss,https://github.com/postcss/postcss,2013-09-24 23:06:48,TypeScript,,25532,1433,25532,9
excalidraw/excalidraw,10,3,0,0,0,3,24,1,7,7.0,231283452,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,2020-01-02 01:04:43,TypeScript,,25212,1904,25212,500
angular/angular-cli,14,16,0,0,0,16,20,0,42,4.0,36891867,angular/angular-cli,https://github.com/angular/angular-cli,2015-06-04 19:49:37,TypeScript,,25071,11900,25071,276
mobxjs/mobx,10,26,0,1,0,4,41,0,4,1.0,32215970,mobxjs/mobx,https://github.com/mobxjs/mobx,2015-03-14 14:31:38,TypeScript,,24572,1611,24572,19
cheeriojs/cheerio,17,0,0,0,0,12,30,3,30,17.0,2541284,cheeriojs/cheerio,https://github.com/cheeriojs/cheerio,2011-10-09 04:23:20,TypeScript,,24572,1504,24572,18
react-hook-form/react-hook-form,6,18,1,0,0,56,76,0,0,1.0,174038031,react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,2019-03-05 23:47:10,TypeScript,,24429,1174,24429,7
tannerlinsley/react-query,11,13,0,0,0,25,35,2,0,0.0,207645083,tannerlinsley/react-query,https://github.com/tannerlinsley/react-query,2019-09-10 19:23:58,TypeScript,,24136,1256,24136,30
supabase/supabase,57,4,1,0,0,48,57,0,0,0.0,214587193,supabase/supabase,https://github.com/supabase/supabase,2019-10-12 05:56:49,TypeScript,,24050,1212,24050,202
JedWatson/react-select,35,4,0,1,0,1,23,0,20,3.0,23338716,JedWatson/react-select,https://github.com/JedWatson/react-select,2014-08-26 04:27:45,TypeScript,,23761,3816,23761,172
akveo/ngx-admin,20,8,0,0,0,6,23,1,2,0.0,59652928,akveo/ngx-admin,https://github.com/akveo/ngx-admin,2016-05-25 10:09:03,TypeScript,,23255,7385,23255,440
ianstormtaylor/slate,31,6,0,0,0,12,34,0,10,0.0,61412022,ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,2016-06-18 01:52:42,TypeScript,,23015,2548,23015,443
chakra-ui/chakra-ui,9,17,0,0,0,221,244,1,8,3.0,202890778,chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,2019-08-17 14:27:54,TypeScript,,22479,1945,22479,112
angular/components,20,3,0,1,0,1,7,0,6,0.0,49016322,angular/components,https://github.com/angular/components,2016-01-04 18:50:02,TypeScript,,22334,5931,22334,2077
doczjs/docz,31,4,0,0,0,18,33,0,12,4.0,125596489,doczjs/docz,https://github.com/doczjs/docz,2018-03-17 04:24:10,TypeScript,,21987,1398,21987,97
t4t5/sweetalert,21,16,1,0,0,3,33,1,6,10.0,24635156,t4t5/sweetalert,https://github.com/t4t5/sweetalert,2014-09-30 11:12:48,TypeScript,,21857,2899,21857,173
balena-io/etcher,9,4,0,0,0,2,8,0,1,19.0,45055693,balena-io/etcher,https://github.com/balena-io/etcher,2015-10-27 16:53:23,TypeScript,,21852,1539,21852,317
pmndrs/react-spring,0,12,1,1,0,4,16,0,1,0.0,124257233,pmndrs/react-spring,https://github.com/pmndrs/react-spring,2018-03-07 15:39:32,TypeScript,,21845,944,21845,43
react-native-elements/react-native-elements,29,62,0,0,0,10,108,1,1,1.0,67709808,react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,TypeScript,,21704,4311,21704,112
reduxjs/react-redux,0,3,0,0,0,3,12,0,2,2.0,38934449,reduxjs/react-redux,https://github.com/reduxjs/react-redux,2015-07-11 17:32:01,TypeScript,,21574,3141,21574,35
vuejs/devtools,0,2,0,0,0,1,4,0,0,0.0,24579238,vuejs/devtools,https://github.com/vuejs/devtools,2014-09-29 03:52:07,TypeScript,,21357,3542,21357,352
kriasoft/react-starter-kit,27,9,0,0,0,8,29,2,34,2.0,18840003,kriasoft/react-starter-kit,https://github.com/kriasoft/react-starter-kit,2014-04-16 13:08:18,TypeScript,,21048,4096,21048,6
Eugeny/tabby,60,6,0,0,0,70,82,2,1,0.0,77213120,Eugeny/tabby,https://github.com/Eugeny/tabby,2016-12-23 09:06:10,TypeScript,,20839,1042,20839,586
NativeScript/NativeScript,23,2,0,0,0,11,20,0,0,1.0,31492490,NativeScript/NativeScript,https://github.com/NativeScript/NativeScript,2015-03-01 09:47:08,TypeScript,,20692,1533,20692,905
react-navigation/react-navigation,6,9,0,0,0,2,12,0,7,3.0,80149262,react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,TypeScript,,20602,4465,20602,479
conwnet/github1s,26,10,1,0,0,26,33,2,8,7.0,192175095,conwnet/github1s,https://github.com/conwnet/github1s,2019-06-16 09:55:25,TypeScript,,20433,674,20433,50
vercel/swr,18,1,0,0,0,2,14,0,9,1.0,218115303,vercel/swr,https://github.com/vercel/swr,2019-10-28 18:16:01,TypeScript,,20142,751,20142,56
