repo_id,repository,fullname,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits
23,nginx/nginx,nginx/nginx,0,71,71,77,0,0,0,7019,0,0,0,0,0
49,postgres/postgres,postgres/postgres,1,77,78,53,0,0,0,53143,0,0,0,0,42
18,cfenollosa/os-tutorial,cfenollosa/os-tutorial,45,43,88,14,0,0,0,147,54,87,141,1,16
148,rsyslog/libfastjson,rsyslog/libfastjson,1,88,89,69,0,0,0,698,29,45,74,2,7
15,SamyPesse/How-to-Make-a-Computer-Operating-System,SamyPesse/How-to-Make-a-Computer-Operating-System,39,55,94,40,0,1,0,243,44,27,71,1,34
71,swaywm/sway,swaywm/sway,103,0,103,471,7256,30,48,6887,550,3151,3701,2,153
99,antirez/disque,antirez/disque,18,91,109,59,0,1,0,602,41,65,106,4,133
80,woltapp/blurhash,woltapp/blurhash,60,54,114,41,0,0,0,252,38,13,51,2,41
82,fogleman/Craft,fogleman/Craft,39,88,127,18,0,1,0,753,72,78,150,0,46
62,SpacehuhnTech/esp8266_deauther,SpacehuhnTech/esp8266_deauther,3,125,128,60,318803,18,257,769,80,758,838,0,115
53,s-matyukevich/raspberry-pi-os,s-matyukevich/raspberry-pi-os,4,135,139,59,0,0,0,498,45,60,105,0,41
36,arut/nginx-rtmp-module,arut/nginx-rtmp-module,83,63,146,15,0,0,0,958,982,526,1508,0,34
37,pbatard/rufus,pbatard/rufus,0,149,149,158,10878747,30,204,1876,13,1693,1706,3,35
100,PX4/NuttX,PX4/NuttX,0,162,162,521,0,0,0,42212,4,13,17,0,13
98,darlinghq/darling,darlinghq/darling,2,165,167,67,9197,8,16,3690,205,734,939,3,36
70,andlabs/libui,andlabs/libui,82,94,176,41,2172,7,65,3957,172,191,363,6,152
59,systemd/systemd,systemd/systemd,184,0,184,2288,0,30,0,56564,1572,6941,8513,4,45
57,reactos/reactos,reactos/reactos,206,0,206,332,2035,8,11,81279,0,0,0,0,40
16,ventoy/Ventoy,ventoy/Ventoy,44,173,217,60,511899,30,87,623,257,902,1159,0,58
6,bilibili/ijkplayer,bilibili/ijkplayer,59,162,221,62,0,0,0,2627,2658,2491,5149,0,178
51,Foundry376/Mailspring,Foundry376/Mailspring,4,218,222,239,75020,30,202,7389,3,2142,2145,2,141
9,pjreddie/darknet,pjreddie/darknet,162,88,250,12,0,0,0,452,1740,526,2266,0,17
63,ish-app/ish,ish-app/ish,15,241,256,60,38,30,90,3005,369,971,1340,4,57
46,vurtun/nuklear,vurtun/nuklear,29,239,268,113,0,0,0,1712,207,451,658,1,258
27,micropython/micropython,micropython/micropython,273,0,273,494,29809,12,24,13186,1142,2934,4076,2,86
45,allinurl/goaccess,allinurl/goaccess,8,280,288,147,0,0,0,3701,342,1601,1943,2,335
3,Genymobile/scrcpy,Genymobile/scrcpy,26,264,290,110,370808,27,138,1762,921,1854,2775,7,263
95,davatorium/rofi,davatorium/rofi,11,297,308,134,34480,30,61,3615,52,1056,1108,3,98
79,acidanthera/OpenCorePkg,acidanthera/OpenCorePkg,1,319,320,81,359568,30,62,4060,0,0,0,0,31
61,jedisct1/libsodium,jedisct1/libsodium,0,329,329,131,8440902,30,50,4039,2,763,765,0,136
8,FFmpeg/FFmpeg,FFmpeg/FFmpeg,1,373,374,2144,8154,11,9,105885,0,0,0,0,11
69,jonas/tig,jonas/tig,23,431,454,186,78780,25,31,2732,162,559,721,1,15
24,tmux/tmux,tmux/tmux,2,460,462,49,1878844,30,32,9721,21,2614,2635,0,34
75,libevent/libevent,libevent/libevent,0,468,468,273,3041140,18,14,4613,119,649,768,3,38
67,torch/torch7,torch/torch7,15,492,507,167,0,0,0,1337,277,443,720,0,13
31,stedolan/jq,stedolan/jq,129,383,512,142,2418034,9,42,1340,605,1265,1870,2,22
65,glfw/glfw,glfw/glfw,57,473,530,185,422650,17,58,4424,422,1080,1502,26,708
52,jarun/nnn,jarun/nnn,1,540,541,151,2360,30,350,3872,2,757,759,1,900
28,ggreer/the_silver_searcher,ggreer/the_silver_searcher,0,552,552,250,0,0,0,2057,389,402,791,2,151
17,nothings/stb,nothings/stb,51,537,588,218,0,0,0,2126,78,593,671,2,177
64,phpredis/phpredis,phpredis/phpredis,17,615,632,176,0,0,0,2708,130,1308,1438,10,377
76,SoftEtherVPN/SoftEtherVPN,SoftEtherVPN/SoftEtherVPN,8,646,654,113,219036,19,116,1648,189,670,859,0,38
0,torvalds/linux,torvalds/linux,316,419,735,29679,0,0,0,1074192,0,0,0,0,46
94,microsoft/react-native-code-push,microsoft/react-native-code-push,15,730,745,159,0,30,0,1733,43,1443,1486,6,421
35,TheAlgorithms/C,TheAlgorithms/C,16,825,841,209,0,0,0,1379,2,81,83,0,74
84,irungentoo/toxcore,irungentoo/toxcore,7,849,856,221,0,0,0,3771,90,554,644,2,95
2,git/git,git/git,87,938,1025,2230,0,0,0,66077,0,0,0,0,19
93,raysan5/raylib,raysan5/raylib,1,1074,1075,338,7181,19,89,5670,10,1126,1136,0,144
89,lvgl/lvgl,lvgl/lvgl,0,1209,1209,277,150,30,1,7829,35,1881,1916,1,171
33,go-delve/delve,go-delve/delve,9,1531,1540,189,0,17,0,2214,105,1261,1366,4,88
47,hashcat/hashcat,hashcat/hashcat,7,1559,1566,120,64516,23,14,8334,131,1487,1618,0,22
78,espressif/arduino-esp32,espressif/arduino-esp32,39,1588,1627,522,1421752,30,114,1678,357,4384,4741,1,45
54,raspberrypi/linux,raspberrypi/linux,52,1651,1703,29267,0,0,0,1049812,617,2572,3189,0,46
77,h2o/h2o,h2o/h2o,86,1628,1714,148,0,30,0,10025,539,688,1227,1,94
22,libuv/libuv,libuv/libuv,62,1890,1952,537,0,3,0,4948,104,1315,1419,11,89
50,timescale/timescaledb,timescale/timescaledb,16,2260,2276,82,4199,30,19,3192,382,1418,1800,1,87
38,iovisor/bcc,iovisor/bcc,82,2362,2444,534,13443,15,28,4091,608,837,1445,6,166
34,mpv-player/mpv,mpv-player/mpv,92,2435,2527,583,9224,30,2,49475,687,6552,7239,9,84
97,borgbackup/borg,borgbackup/borg,24,2999,3023,281,4636,30,360,6589,576,2766,3342,13,95
7,obsproject/obs-studio,obsproject/obs-studio,151,3741,3892,555,362213,30,83,10536,483,1501,1984,0,20
83,libgit2/libgit2,libgit2/libgit2,113,4150,4263,550,66497,30,10,14483,328,1536,1864,0,159
1,redis/redis,redis/redis,452,4509,4961,671,0,28,0,11000,1606,3676,5282,6,53
4,netdata/netdata,netdata/netdata,91,5584,5675,575,435971,30,131,13491,183,6364,6547,0,290
5,php/php-src,php/php-src,248,7604,7852,1334,0,0,0,127798,82,168,250,3,33
19,taosdata/TDengine,taosdata/TDengine,12,7946,7958,260,0,30,0,23834,496,2060,2556,0,91
20,emscripten-core/emscripten,emscripten-core/emscripten,235,8811,9046,743,0,1,0,23873,984,6249,7233,0,14
14,openssl/openssl,openssl/openssl,0,10604,10604,862,0,0,0,30993,1410,5498,6908,1,19
32,radareorg/radare2,radareorg/radare2,22,11383,11405,1000,2576,30,196,27472,818,7129,7947,0,140
29,qmk/qmk_firmware,qmk/qmk_firmware,399,13726,14125,2675,0,0,0,20155,465,1886,2351,0,116
103,heltonWernik/OpenLuck,heltonWernik/OpenLuck,0,1,1,3,0,0,0,9,3,0,3,0,5
118,pprett/bolt,pprett/bolt,0,1,1,4,0,0,0,117,0,0,0,0,5
122,wujr5/c-and-cpp-language-learning,wujr5/c-and-cpp-language-learning,0,1,1,3,0,0,0,92,46,2,48,0,45
137,atnan/QLPrettyPatch,atnan/QLPrettyPatch,1,0,1,1,89326,1,1,11,0,0,0,0,5
123,awailly/nrop,awailly/nrop,0,2,2,3,0,0,0,126,3,1,4,1,10
180,spaze/upc_keys-lambda,spaze/upc_keys-lambda,0,2,2,2,0,0,0,18,1,0,1,0,4
177,billyriantono/s2geometry-node,billyriantono/s2geometry-node,0,6,6,7,0,0,0,71,6,11,17,0,17
120,jamesmunns/nrf52dk-sys,jamesmunns/nrf52dk-sys,0,8,8,3,0,0,0,57,1,7,8,0,6
154,Juniper/juise,Juniper/juise,0,12,12,14,1472,16,23,869,14,10,24,0,6
