Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
allinurl/goaccess,61,3,0,0,0,6,17,0,25,0,11397939,allinurl/goaccess,https://github.com/allinurl/goaccess,2013-07-14 03:42:08,C,,14041,948,14041,336
micropython/micropython,17,2,0,0,0,4,6,1,20,0,15337142,micropython/micropython,https://github.com/micropython/micropython,2013-12-20 11:47:07,C,,13380,4918,13380,1365
vurtun/nuklear,26,8,2,0,0,13,16,0,3,3,32866454,vurtun/nuklear,https://github.com/vurtun/nuklear,2015-03-25 13:32:06,C,,13349,1114,13349,238
iovisor/bcc,135,3,0,1,1,1,7,0,0,1,34921116,iovisor/bcc,https://github.com/iovisor/bcc,2015-05-01 19:52:32,C,,13072,2529,13072,649
jarun/nnn,109,10,1,0,0,28,57,0,14,0,66150122,jarun/nnn,https://github.com/jarun/nnn,2016-08-20 14:10:14,C,,13023,509,13023,1
timescale/timescaledb,26,1,0,0,0,11,35,1,4,2,84240850,timescale/timescaledb,https://github.com/timescale/timescaledb,2017-03-07 20:03:41,C,,12166,641,12166,372
Foundry376/Mailspring,2,4,0,0,0,9,20,0,0,3,70777180,Foundry376/Mailspring,https://github.com/Foundry376/Mailspring,2016-10-13 06:45:50,C,,11867,757,11867,8
TheAlgorithms/C,7,12,0,0,0,9,20,0,1,0,63477515,TheAlgorithms/C,https://github.com/TheAlgorithms/C,2016-07-16 10:17:03,C,,11757,3089,11757,100
arut/nginx-rtmp-module,16,0,0,0,0,1,1,0,1,0,3714900,arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,2012-03-14 05:37:38,C,,11468,3249,11468,1053
memcached/memcached,4,0,0,0,0,0,0,0,0,0,184981,memcached/memcached,https://github.com/memcached/memcached,2009-04-24 23:34:25,C,,11384,3023,11384,67
alibaba/tengine,21,1,0,0,0,3,7,1,0,0,3784017,alibaba/tengine,https://github.com/alibaba/tengine,2012-03-21 06:34:37,C,,11192,2388,11192,378
twitter/twemproxy,102,1,0,0,0,19,59,0,8,0,3516624,twitter/twemproxy,https://github.com/twitter/twemproxy,2012-02-22 16:53:58,C,,11121,1952,11121,168
qmk/qmk_firmware,7,5,0,0,0,6,11,0,0,0,27737393,qmk/qmk_firmware,https://github.com/qmk/qmk_firmware,2014-12-08 22:02:05,C,,11072,23036,11072,783
s-matyukevich/raspberry-pi-os,32,0,0,0,0,2,6,0,0,0,95133665,s-matyukevich/raspberry-pi-os,https://github.com/s-matyukevich/raspberry-pi-os,2017-06-22 16:09:36,C,,10975,1065,10975,47
ish-app/ish,17,4,0,0,0,4,11,0,16,0,90320494,ish-app/ish,https://github.com/ish-app/ish,2017-05-05 00:10:35,C,,10924,585,10924,353
hashcat/hashcat,8,1,0,0,0,2,6,1,4,1,47409672,hashcat/hashcat,https://github.com/hashcat/hashcat,2015-12-04 14:46:51,C,,10923,1867,10923,124
cloudwu/skynet,2,1,0,0,0,0,0,0,0,3,5254557,cloudwu/skynet,https://github.com/cloudwu/skynet,2012-08-01 03:30:42,C,,10764,3736,10764,12
octalmage/robotjs,22,4,1,0,0,15,23,1,2,6,23515024,octalmage/robotjs,https://github.com/octalmage/robotjs,2014-08-31 14:13:47,C,,10679,788,10679,143
google/brotli,3,3,0,0,0,8,17,0,3,0,24993138,google/brotli,https://github.com/google/brotli,2014-10-09 14:35:14,C,,10622,1015,10622,85
jonas/tig,6,0,0,0,0,0,0,0,0,0,140656,jonas/tig,https://github.com/jonas/tig,2009-03-01 20:39:25,C,,10446,579,10446,199
skywind3000/kcp,65,5,0,0,0,40,53,1,0,7,28515839,skywind3000/kcp,https://github.com/skywind3000/kcp,2014-12-26 16:46:34,C,,10408,2033,10408,133
reactos/reactos,0,2,0,0,0,5,29,0,2,0,105627846,reactos/reactos,https://github.com/reactos/reactos,2017-10-03 08:04:52,C,,10133,1216,10133,215
andlabs/libui,32,5,0,0,0,27,35,0,12,2,34088285,andlabs/libui,https://github.com/andlabs/libui,2015-04-17 00:35:54,C,,10099,604,10099,249
openwrt/openwrt,17,1,0,1,0,4,15,0,7,1,45821540,openwrt/openwrt,https://github.com/openwrt/openwrt,2015-11-09 07:13:55,C,,10087,6506,10087,444
openresty/openresty,8,0,0,0,0,0,4,0,7,2,480080,openresty/openresty,https://github.com/openresty/openresty,2010-01-20 03:57:59,C,,10032,1332,10032,223
woltapp/blurhash,33,2,0,1,0,25,30,0,1,0,193885464,woltapp/blurhash,https://github.com/woltapp/blurhash,2019-06-26 10:45:33,C,,9841,220,9841,91
swaywm/sway,11,0,0,0,0,0,0,0,4,0,40217904,swaywm/sway,https://github.com/swaywm/sway,2015-08-05 01:31:45,C,,9790,829,9790,620
jedisct1/libsodium,1,9,0,0,0,5,16,1,2,0,7710647,jedisct1/libsodium,https://github.com/jedisct1/libsodium,2013-01-20 00:03:40,C,,9737,1514,9737,3
h2o/h2o,0,2,0,0,0,2,6,0,0,0,23029617,h2o/h2o,https://github.com/h2o/h2o,2014-08-16 23:59:03,C,,9670,758,9670,618
openresty/lua-nginx-module,530,2,0,13,0,106,242,0,883,258,613829,openresty/lua-nginx-module,https://github.com/openresty/lua-nginx-module,2010-04-16 15:59:01,C,,9670,1901,9670,320
koekeishiya/yabai,3,2,0,0,0,3,4,0,0,0,184909163,koekeishiya/yabai,https://github.com/koekeishiya/yabai,2019-05-04 15:00:50,C,,9597,346,9597,163
apple/darwin-xnu,37,0,0,0,0,0,0,0,48,0,93205465,apple/darwin-xnu,https://github.com/apple/darwin-xnu,2017-06-02 21:33:51,C,,9466,1466,9466,0
postgres/postgres,0,0,0,0,0,0,0,0,0,0,927442,postgres/postgres,https://github.com/postgres/postgres,2010-09-21 11:35:45,C,,9272,3037,9272,0
SpacehuhnTech/esp8266_deauther,16,2,0,0,0,17,25,0,1,0,78281075,SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,2017-01-07 13:39:23,C,,9261,2020,9261,67
Tencent/wcdb,55,5,0,0,0,5,7,0,43,10,90961634,Tencent/wcdb,https://github.com/Tencent/wcdb,2017-05-11 09:25:03,C,,9250,1224,9250,219
phpredis/phpredis,231,10,0,0,0,3,20,1,155,1,1482997,phpredis/phpredis,https://github.com/phpredis/phpredis,2011-03-15 14:40:14,C,,9183,2088,9183,143
haiwen/seafile,39,1,0,0,0,4,10,0,0,0,4999959,haiwen/seafile,https://github.com/haiwen/seafile,2012-07-12 06:47:55,C,,9169,1367,9169,141
webview/webview,25,4,0,0,0,6,10,0,35,8,100781035,webview/webview,https://github.com/webview/webview,2017-08-19 08:26:00,C,,9155,719,9155,276
fogleman/Craft,31,2,0,0,0,0,5,0,1,2,9330072,fogleman/Craft,https://github.com/fogleman/Craft,2013-04-09 19:47:38,C,,8945,1176,8945,110
HandBrake/HandBrake,0,2,0,1,0,3,9,0,0,0,41215835,HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,2015-08-22 16:32:28,C,,8917,863,8917,247
systemd/systemd,0,15,0,0,0,2,18,0,0,0,32873313,systemd/systemd,https://github.com/systemd/systemd,2015-03-25 15:27:27,C,,8761,2768,8761,1689
torch/torch7,9,2,0,0,0,5,11,0,0,0,13677187,torch/torch7,https://github.com/torch/torch7,2013-10-18 12:13:58,C,,8671,2389,8671,291
irungentoo/toxcore,4,2,0,1,0,0,5,0,0,0,10894716,irungentoo/toxcore,https://github.com/irungentoo/toxcore,2013-06-24 00:12:13,C,,8666,1274,8666,97
acidanthera/OpenCorePkg,37,2,0,0,0,14,22,2,1,0,179354282,acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,2019-04-03 19:14:29,C,,8636,1521,8636,4
raspberrypi/linux,0,0,0,0,0,0,0,0,2,0,3199002,raspberrypi/linux,https://github.com/raspberrypi/linux,2012-01-17 12:10:20,C,,8550,4005,8550,641
squeaky-pl/japronto,14,3,0,0,0,3,7,1,0,1,72039072,squeaky-pl/japronto,https://github.com/squeaky-pl/japronto,2016-10-26 19:51:32,C,,8512,588,8512,89
SoftEtherVPN/SoftEtherVPN,46,6,0,0,0,3,13,0,0,6,15583310,SoftEtherVPN/SoftEtherVPN,https://github.com/SoftEtherVPN/SoftEtherVPN,2014-01-02 12:40:57,C,,8505,2132,8505,220
upx/upx,5,0,0,0,0,0,0,0,0,0,67031040,upx/upx,https://github.com/upx/upx,2016-08-31 11:23:13,C,,8399,918,8399,128
glfw/glfw,131,3,0,0,0,10,23,0,63,0,9524997,glfw/glfw,https://github.com/glfw/glfw,2013-04-18 15:24:53,C,,8360,3228,8360,470
davatorium/rofi,47,9,0,0,0,22,26,0,7,1,7715820,davatorium/rofi,https://github.com/davatorium/rofi,2013-01-20 11:54:45,C,,8325,437,8325,67
videolan/vlc,21,0,0,14,0,0,15,0,0,1,3299208,videolan/vlc,https://github.com/videolan/vlc,2012-01-29 19:30:36,C,,8285,2879,8285,2
huangz1990/redis-3.0-annotated,2,0,0,0,0,0,0,0,62,0,21294600,huangz1990/redis-3.0-annotated,https://github.com/huangz1990/redis-3.0-annotated,2014-06-28 02:40:10,C,,8272,3717,8272,23
libgit2/libgit2,77,4,0,0,0,16,32,1,39,0,901662,libgit2/libgit2,https://github.com/libgit2/libgit2,2010-09-10 16:17:48,C,,8179,2153,8179,433
libevent/libevent,0,8,0,0,0,7,14,0,0,4,1856976,libevent/libevent,https://github.com/libevent/libevent,2011-06-06 21:42:50,C,,8177,2921,8177,133
raysan5/raylib,38,17,1,0,0,36,52,1,1,1,13836499,raysan5/raylib,https://github.com/raysan5/raylib,2013-10-24 15:46:04,C,,8084,959,8084,15
lvgl/lvgl,49,2,1,0,0,6,38,0,0,2,60667730,lvgl/lvgl,https://github.com/lvgl/lvgl,2016-06-08 04:14:34,C,,8047,1599,8047,38
darlinghq/darling,0,1,0,0,0,1,3,0,6,4,7077690,darlinghq/darling,https://github.com/darlinghq/darling,2012-12-09 10:31:44,C,,7922,328,7922,200
microsoft/react-native-code-push,50,3,0,1,0,14,30,0,46,14,36749153,microsoft/react-native-code-push,https://github.com/microsoft/react-native-code-push,2015-06-02 17:19:20,C,,7841,1222,7841,164
antirez/disque,239,1,0,0,0,23,27,0,175,1,34676773,antirez/disque,https://github.com/antirez/disque,2015-04-27 16:06:09,C,,7823,547,7823,60
borgbackup/borg,15,0,0,0,0,0,0,0,20,0,35517126,borgbackup/borg,https://github.com/borgbackup/borg,2015-05-12 23:10:47,C,,7752,595,7752,551
happyfish100/fastdfs,0,0,0,0,0,1,1,0,0,0,11178512,happyfish100/fastdfs,https://github.com/happyfish100/fastdfs,2013-07-04 14:01:35,C,,7725,1836,7725,427
cesanta/mongoose,24,5,0,0,0,5,22,0,1,0,5414488,cesanta/mongoose,https://github.com/cesanta/mongoose,2012-08-14 15:09:51,C,,7706,2178,7706,6
EZLippi/Tinyhttpd,6,2,0,0,0,0,1,0,0,1,35930805,EZLippi/Tinyhttpd,https://github.com/EZLippi/Tinyhttpd,2015-05-20 06:44:01,C,,7685,3324,7685,24
id-Software/DOOM,0,0,0,0,0,0,0,0,0,0,3319040,id-Software/DOOM,https://github.com/id-Software/DOOM,2012-01-31 21:28:06,C,,7682,1367,7682,5
espressif/arduino-esp32,9,4,0,0,0,5,15,1,0,0,70127218,espressif/arduino-esp32,https://github.com/espressif/arduino-esp32,2016-10-06 06:04:20,C,,7682,4847,7682,339
PX4/NuttX,149,0,0,0,0,3,26,0,149,0,39532678,PX4/NuttX,https://github.com/PX4/NuttX,2015-07-22 22:06:58,C,,99,160,99,5
hvqzao/foolavc,2,0,0,0,0,3,3,2,3,1,60408156,hvqzao/foolavc,https://github.com/hvqzao/foolavc,2016-06-04 11:57:29,C,,98,33,98,0
DanieleDeSensi/peafowl,26,10,0,0,0,1,12,0,2,0,9239261,DanieleDeSensi/peafowl,https://github.com/DanieleDeSensi/peafowl,2013-04-05 10:56:18,C,,97,33,97,1
xiph/opusfile,0,3,0,0,0,0,3,0,0,0,28172682,xiph/opusfile,https://github.com/xiph/opusfile,2014-12-18 07:15:34,C,,96,47,96,12
rigglemania/pysqlcipher3,11,0,0,0,0,0,0,0,4,0,30619345,rigglemania/pysqlcipher3,https://github.com/rigglemania/pysqlcipher3,2015-02-10 23:03:20,C,,95,29,95,9
moonpolysoft/cherly,7,0,0,0,0,0,0,0,0,0,134999,moonpolysoft/cherly,https://github.com/moonpolysoft/cherly,2009-02-22 23:00:17,C,,94,16,94,2
heltonWernik/OpenLuck,5,0,0,0,0,0,0,0,0,5,138506359,heltonWernik/OpenLuck,https://github.com/heltonWernik/OpenLuck,2018-06-24 18:36:26,C,,93,47,93,3
Jiantastic/c-to-mips-compiler,0,0,0,0,0,0,2,0,3,0,51071331,Jiantastic/c-to-mips-compiler,https://github.com/Jiantastic/c-to-mips-compiler,2016-02-04 11:23:50,C,,92,28,92,0
bubicn/bubichain-v3,7,3,0,0,0,0,1,0,0,0,101032683,bubicn/bubichain-v3,https://github.com/bubicn/bubichain-v3,2017-08-22 07:08:51,C,,91,57,91,5
JUMA-IO/STM32_Platform,17,1,0,0,0,1,16,0,10,0,49547764,JUMA-IO/STM32_Platform,https://github.com/JUMA-IO/STM32_Platform,2016-01-13 03:49:37,C,,90,69,90,4
juce/sockproc,0,0,0,0,0,0,0,0,1,0,17886668,juce/sockproc,https://github.com/juce/sockproc,2014-03-19 00:09:29,C,,89,34,89,2
