Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
kubernetes/minikube,19,5,0,0,0,5,26,1,5,0.0,56353740,kubernetes/minikube,https://github.com/kubernetes/minikube,2016-04-15 22:38:35,Go,,22580,3816,22580,660
influxdata/influxdb,8,2,0,0,0,2,16,0,15,7.0,13124802,influxdata/influxdb,https://github.com/influxdata/influxdb,2013-09-26 14:31:10,Go,,22504,3070,22504,1366
hashicorp/vault,11,2,0,0,0,2,18,0,11,6.0,31288958,hashicorp/vault,https://github.com/hashicorp/vault,2015-02-25 00:15:59,Go,,22296,3157,22296,1080
halfrost/LeetCode-Go,77,42,0,0,0,747,782,0,0,10.0,97533102,halfrost/LeetCode-Go,https://github.com/halfrost/LeetCode-Go,2017-07-18 00:06:14,Go,,22156,4019,22156,16
go-kit/kit,50,5,0,1,0,37,53,0,0,0.0,30215630,go-kit/kit,https://github.com/go-kit/kit,2015-02-03 00:01:19,Go,,21827,2212,21827,46
mattermost/mattermost-server,36,4,0,0,0,3,34,1,0,0.0,37448451,mattermost/mattermost-server,https://github.com/mattermost/mattermost-server,2015-06-15 06:50:02,Go,,21572,5246,21572,761
Dreamacro/clash,14,3,0,0,0,14,14,1,1,0.0,136815833,Dreamacro/clash,https://github.com/Dreamacro/clash,2018-06-10 14:28:14,Go,,21527,3018,21527,52
kataras/iris,0,141,3,0,0,139,151,2,0,6.0,50709152,kataras/iris,https://github.com/kataras/iris,2016-01-30 04:36:48,Go,,21517,2335,21517,73
github/hub,7,0,0,0,0,9,21,0,28,7.0,401025,github/hub,https://github.com/github/hub,2009-12-05 22:15:25,Go,,21404,2261,21404,288
labstack/echo,34,12,0,0,0,13,21,0,1,2.0,31504491,labstack/echo,https://github.com/labstack/echo,2015-03-01 17:43:01,Go,,21202,1880,21202,80
inconshreveable/ngrok,13,1,0,0,0,0,1,0,0,0.0,8900723,inconshreveable/ngrok,https://github.com/inconshreveable/ngrok,2013-03-20 09:37:43,Go,,21104,3870,21104,333
openfaas/faas,35,11,0,1,0,13,45,1,3,3.0,77144337,openfaas/faas,https://github.com/openfaas/faas,2016-12-22 12:51:39,Go,,20733,1679,20733,28
helm/helm,23,4,0,0,0,4,21,1,7,0.0,43723161,helm/helm,https://github.com/helm/helm,2015-10-06 01:07:32,Go,,20731,5935,20731,443
nsqio/nsq,1,35,0,0,0,1,36,0,0,0.0,4307108,nsqio/nsq,https://github.com/nsqio/nsq,2012-05-12 14:37:08,Go,,20593,2638,20593,61
jesseduffield/lazydocker,27,14,1,3,0,21,35,0,10,16.0,187335810,jesseduffield/lazydocker,https://github.com/jesseduffield/lazydocker,2019-05-18 08:53:50,Go,,20451,752,20451,102
yeasy/docker_practice,16,5,0,0,0,6,8,0,2,0.0,23689830,yeasy/docker_practice,https://github.com/yeasy/docker_practice,2014-09-05 04:06:39,Go,,19689,5140,19689,3
