Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
ryanmcdermott/clean-code-javascript,55,19,0,0,0,24,30,0,33,92.0,74791366,ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,2016-11-25 22:25:41,JavaScript,,60618,7746,60618,50,11,ryanmcdermott/clean-code-javascript,117.0,0.0,0.0,0.0,540.0,40.0,78.0,118.0,14.0,233.0,247.0,0.0,456.0,650.0,172.0,185.0,170.0,185.0,110.0,1,1926,0.06074766355140187,0.0,0.0,0.2803738317757009,-1,-0.719626168224299,650.0
webpack/webpack,43,282,0,0,0,38,329,6,6,2.0,3678731,webpack/webpack,https://github.com/webpack/webpack,2012-03-10 10:08:14,JavaScript,,59919,8110,59919,274,12,webpack/webpack,825.0,0.0,30.0,0.0,15010.0,177.0,8706.0,8883.0,107.0,5490.0,5597.0,1.0,260.0,728.0,189.0,184.0,172.0,184.0,188.0,1,3647,0.22621332602138744,0.0,0.008225939128050452,4.115711543734577,0.0,4.123937482862627,728.0
angular/angular.js,7,2,0,0,0,3,6,0,2,0.0,460078,angular/angular.js,https://github.com/angular/angular.js,2010-01-06 00:34:37,JavaScript,,59582,28414,59582,464,13,angular/angular.js,1855.0,0.0,0.0,0.0,9069.0,391.0,8645.0,9036.0,78.0,7875.0,7953.0,7.0,38.0,752.0,192.0,183.0,194.0,183.0,192.0,1,4441,0.4176987165052916,0.0,0.0,2.042107633415897,-1,1.0421076334158972,752.0
typicode/json-server,58,1,0,2,0,15,34,0,40,43.0,14747598,typicode/json-server,https://github.com/typicode/json-server,2013-11-27 13:21:13,JavaScript,,58244,5613,58244,600,14,typicode/json-server,77.0,0.0,10.0,0.0,848.0,538.0,445.0,983.0,72.0,232.0,304.0,0.0,254.0,635.0,166.0,182.0,157.0,182.0,114.0,1,3020,0.025496688741721854,0.0,0.0033112582781456954,0.280794701986755,0.0,0.2841059602649007,635.0
hakimel/reveal.js,0,3,0,0,0,1,8,0,0,0.0,1861458,hakimel/reveal.js,https://github.com/hakimel/reveal.js,2011-06-07 18:54:22,JavaScript,,57905,15864,57905,682,15,hakimel/reveal.js,333.0,0.0,30.0,0.0,2877.0,604.0,1491.0,2095.0,87.0,859.0,946.0,1.0,594.0,695.0,183.0,181.0,186.0,181.0,147.0,1,3924,0.08486238532110092,0.0,0.00764525993883792,0.7331804281345565,0.0,0.7408256880733944,695.0
jquery/jquery,34,2,0,0,0,4,19,1,42,31.0,167174,jquery/jquery,https://github.com/jquery/jquery,2009-04-03 15:20:14,JavaScript,,55635,20183,55635,82,16,jquery/jquery,359.0,0.0,2.0,0.0,6561.0,70.0,2094.0,2164.0,11.0,2710.0,2721.0,11.0,105.0,724.0,188.0,180.0,188.0,180.0,176.0,1,4719,0.07607543971180335,0.0,0.0004238186056367875,1.3903369357914812,0.0,1.390760754397118,724.0
expressjs/express,13,1,0,0,0,9,20,0,5,9.0,237159,expressjs/express,https://github.com/expressjs/express,2009-06-26 18:56:01,JavaScript,,55146,9324,55146,165,17,expressjs/express,307.0,0.0,30.0,0.0,5688.0,110.0,3564.0,3674.0,46.0,1014.0,1060.0,6.0,254.0,690.0,182.0,179.0,180.0,179.0,152.0,1,4635,0.06623516720604099,0.0,0.006472491909385114,1.2271844660194176,0.0,1.2336569579288026,690.0
adam-p/markdown-here,37,5,0,0,0,13,29,1,11,4.0,4311796,adam-p/markdown-here,https://github.com/adam-p/markdown-here,2012-05-13 03:27:22,JavaScript,,53761,10301,53761,304,18,adam-p/markdown-here,12.0,1518.0,11.0,6.0,807.0,282.0,307.0,589.0,27.0,48.0,75.0,1.0,120.0,635.0,166.0,178.0,182.0,178.0,97.0,1,3583,0.0033491487580240022,0.0016745743790120011,0.0030700530281886685,0.22523025397711416,0.5454545454545454,0.7737548524598482,635.0
gatsbyjs/gatsby,21,0,0,0,0,3,32,0,2,3.0,36040894,gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,2015-05-21 22:43:05,JavaScript,,51851,10013,51851,409,20,gatsbyjs/gatsby,4160.0,0.0,30.0,0.0,19923.0,129.0,13182.0,13311.0,201.0,19496.0,19697.0,10.0,416.0,730.0,191.0,177.0,181.0,177.0,195.0,1,2480,1.6774193548387097,0.0,0.012096774193548387,8.033467741935484,0.0,8.045564516129032,730.0
tailwindlabs/tailwindcss,0,0,0,0,0,5,9,0,0,0.0,106017343,tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,2017-10-06 14:59:14,JavaScript,,49715,2356,49715,66,21,tailwindlabs/tailwindcss,225.0,6290.0,30.0,100.0,4548.0,9.0,2169.0,2178.0,14.0,1672.0,1686.0,0.0,24.0,637.0,169.0,176.0,119.0,176.0,166.0,1,1611,0.13966480446927373,0.06207324643078833,0.0186219739292365,2.823091247672253,3.3333333333333335,6.1750465549348235,637.0
scutan90/DeepLearning-500-questions,0,0,0,0,0,0,0,0,0,0.0,138839979,scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,2018-06-27 06:36:45,JavaScript,,46592,14573,46592,97,22,scutan90/DeepLearning-500-questions,124.0,0.0,0.0,0.0,1275.0,97.0,80.0,177.0,2.0,333.0,335.0,0.0,203.0,652.0,173.0,175.0,185.0,175.0,117.0,1,1347,0.09205642167780252,0.0,0.0,0.9465478841870824,-1,-0.053452115812917644,652.0
leonardomso/33-js-concepts,677,1,0,2,0,41,648,1,4,0.0,147350463,leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,2018-09-04 13:27:04,JavaScript,,45398,5954,45398,9,23,leonardomso/33-js-concepts,103.0,0.0,0.0,0.0,539.0,7.0,32.0,39.0,5.0,165.0,170.0,1.0,435.0,611.0,162.0,174.0,160.0,174.0,103.0,1,1278,0.08059467918622848,0.0,0.0,0.4217527386541471,-1,-0.5782472613458529,611.0
