Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
xiprox/Hummingbird-for-Android,0,1,0,0,0,1,2,0,0,1.0,25658608,xiprox/Hummingbird-for-Android,https://github.com/xiprox/Hummingbird-for-Android,2014-10-23 21:25:20,Java,,58,18,58,0,157,xiprox/Hummingbird-for-Android,2.0,442.0,1.0,1.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,162.0,48.0,54.0,53.0,54.0,1.0,0,2690,0.0007434944237918215,0.0003717472118959108,0.0003717472118959108,0.06728624535315986,1.0,1.0676579925650558,162.0
Sherchen/WaveHeartRate,0,1,1,0,0,0,0,0,0,0.0,31584449,Sherchen/WaveHeartRate,https://github.com/Sherchen/WaveHeartRate,2015-03-03 07:08:50,Java,,57,27,57,0,156,Sherchen/WaveHeartRate,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,180.0,59.0,53.0,73.0,53.0,1.0,0,2559,0.0011723329425556857,0.0,0.0,0.0035169988276670576,-1,-0.9964830011723329,180.0
goodbranch/ContentResolverDemo,1,2,0,0,0,1,2,0,9,0.0,64581259,goodbranch/ContentResolverDemo,https://github.com/goodbranch/ContentResolverDemo,2016-07-31 07:02:42,Java,,56,18,56,1,155,goodbranch/ContentResolverDemo,2.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,158.0,46.0,52.0,53.0,52.0,1.0,0,2043,0.0009789525208027412,0.0,0.0,0.0019579050416054823,-1,-0.9980420949583945,158.0
kamikat/toast-compat,0,2,0,0,0,0,3,0,0,2.0,62808445,kamikat/toast-compat,https://github.com/kamikat/toast-compat,2016-07-07 13:22:46,Java,,55,3,55,1,154,kamikat/toast-compat,1.0,0.0,0.0,0.0,17.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,7.0,114.0,24.0,51.0,11.0,51.0,1.0,0,2067,0.0004837929366231253,0.0,0.0,0.00822447992259313,-1,-0.9917755200774069,114.0
humblerookie/centerlockrecyclerview,0,0,0,0,0,0,1,0,0,0.0,34475702,humblerookie/centerlockrecyclerview,https://github.com/humblerookie/centerlockrecyclerview,2015-04-23 19:02:19,Java,,54,13,54,0,153,humblerookie/centerlockrecyclerview,1.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,141.0,38.0,50.0,40.0,50.0,1.0,0,2508,0.00039872408293460925,0.0,0.0,0.005582137161084529,-1,-0.9944178628389154,141.0
anastr/SimpleTargetView,2,5,4,0,0,0,1,0,2,5.0,64289124,anastr/SimpleTargetView,https://github.com/anastr/SimpleTargetView,2016-07-27 07:58:14,Java,,53,13,53,0,152,anastr/SimpleTargetView,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,139.0,36.0,49.0,40.0,49.0,1.0,0,2047,0.0004885197850512946,0.0,0.0,0.012212994626282364,-1,-0.9877870053737177,139.0
dpreussler/mockitoid,0,2,0,0,0,0,2,0,5,4.0,48366700,dpreussler/mockitoid,https://github.com/dpreussler/mockitoid,2015-12-21 10:49:10,Java,,52,1,52,0,151,dpreussler/mockitoid,2.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,9.0,179.0,58.0,48.0,4.0,48.0,79.0,0,2266,0.00088261253309797,0.0,0.0,0.007502206531332745,-1,-0.9924977934686673,179.0
captain-miao/Android_M_requestPermissions,8,1,1,0,0,2,7,0,0,7.0,44744898,captain-miao/Android_M_requestPermissions,https://github.com/captain-miao/Android_M_requestPermissions,2015-10-22 12:53:04,Java,,51,18,51,0,150,captain-miao/Android_M_requestPermissions,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,148.0,43.0,47.0,53.0,47.0,1.0,0,2326,0.0004299226139294927,0.0,0.0,0.011607910576096303,-1,-0.9883920894239037,148.0
yhsj0919/YHUtils,0,0,0,0,0,0,0,0,0,0.0,34502201,yhsj0919/YHUtils,https://github.com/yhsj0919/YHUtils,2015-04-24 06:37:33,Java,,50,28,50,0,149,yhsj0919/YHUtils,2.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,169.0,54.0,46.0,76.0,46.0,1.0,0,2507,0.0007977662544874351,0.0,0.0,0.020343039489429598,-1,-0.9796569605105704,169.0
satya164/react-native-in-app-purchase,10,0,0,0,0,0,5,0,5,4.0,46366668,satya164/react-native-in-app-purchase,https://github.com/satya164/react-native-in-app-purchase,2015-11-17 18:25:36,Java,,49,10,49,2,148,satya164/react-native-in-app-purchase,5.0,0.0,0.0,0.0,37.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,121.0,27.0,45.0,30.0,45.0,1.0,0,2300,0.002173913043478261,0.0,0.0,0.01608695652173913,-1,-0.9839130434782609,121.0
