Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
grafana/grafana,16,4,0,0,0,5,16,0,0,0.0,15111821,grafana/grafana,https://github.com/grafana/grafana,2013-12-11 15:59:56,TypeScript,,45209,9028,45209,2137,13,grafana/grafana,1902.0,0.0,2.0,0.0,33901.0,2031.0,21395.0,23426.0,296.0,21362.0,21658.0,15.0,215.0,746.0,192.0,184.0,184.0,184.0,194.0,1,3006,0.6327345309381237,0.0,0.0006653359946773121,11.277777777777779,0.0,11.278443113772456,746.0
remix-run/react-router,3,0,0,0,0,3,5,0,4,0.0,19872456,remix-run/react-router,https://github.com/remix-run/react-router,2014-05-16 22:22:51,TypeScript,,45157,8722,45157,79,14,remix-run/react-router,765.0,0.0,2.0,0.0,5232.0,60.0,6257.0,6317.0,6.0,2221.0,2227.0,2.0,64.0,702.0,180.0,183.0,183.0,183.0,153.0,1,2850,0.26842105263157895,0.0,0.0007017543859649122,1.8357894736842104,0.0,1.8364912280701753,702.0
nestjs/nest,7,56,0,0,0,4,72,1,0,0.0,80945428,nestjs/nest,https://github.com/nestjs/nest,2017-02-04 20:12:52,TypeScript,,42618,4482,42618,95,15,nestjs/nest,355.0,0.0,2.0,0.0,10260.0,50.0,4002.0,4052.0,48.0,4939.0,4987.0,0.0,228.0,716.0,184.0,182.0,170.0,182.0,182.0,1,1855,0.19137466307277629,0.0,0.001078167115902965,5.53099730458221,0.0,5.532075471698113,716.0
apache/superset,30,38,0,0,0,4,31,0,0,0.0,39464018,apache/superset,https://github.com/apache/superset,2015-07-21 18:55:34,TypeScript,,42389,8238,42389,1252,16,apache/superset,803.0,575153.0,30.0,21.0,11146.0,911.0,6916.0,7827.0,175.0,10126.0,10301.0,0.0,219.0,732.0,188.0,181.0,182.0,181.0,188.0,1,2419,0.33195535345183963,0.0086812732534105,0.012401818933443571,4.607689127738735,0.7,5.320090946672178,732.0
babel/babel,10,24,0,2,0,9,43,0,0,2.0,24560307,babel/babel,https://github.com/babel/babel,2014-09-28 13:38:23,TypeScript,,40045,5121,40045,767,17,babel/babel,1110.0,0.0,2.0,0.0,15100.0,637.0,7422.0,8059.0,151.0,5636.0,5787.0,0.0,250.0,717.0,185.0,180.0,173.0,180.0,184.0,1,2715,0.4088397790055249,0.0,0.0007366482504604051,5.5616942909760585,0.0,5.562430939226519,717.0
vercel/hyper,16,3,0,0,0,9,16,0,16,5.0,62367558,vercel/hyper,https://github.com/vercel/hyper,2016-07-01 06:01:21,TypeScript,,37390,3099,37390,737,18,vercel/hyper,285.0,1269083.0,30.0,444.0,3045.0,746.0,2719.0,3465.0,16.0,2791.0,2807.0,1.0,89.0,682.0,174.0,179.0,160.0,179.0,164.0,1,2073,0.13748191027496381,0.2141823444283647,0.01447178002894356,1.4688856729377713,14.8,16.283357452966715,682.0
facebook/jest,23,9,0,0,0,8,31,0,18,15.0,15062869,facebook/jest,https://github.com/facebook/jest,2013-12-10 00:18:04,TypeScript,,37268,5488,37268,1661,19,facebook/jest,1446.0,0.0,2.0,0.0,6020.0,1432.0,5278.0,6710.0,160.0,5589.0,5749.0,4.0,150.0,713.0,183.0,178.0,174.0,178.0,183.0,1,3007,0.48087795144662454,0.0,0.0006651147322913202,2.001995344196874,0.0,2.0026604589291654,713.0
DefinitelyTyped/DefinitelyTyped,47,7,0,0,0,41,68,1,136,17.0,6093316,DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,2012-10-05 16:39:45,TypeScript,,36910,26244,36910,704,20,DefinitelyTyped/DefinitelyTyped,17583.0,0.0,2.0,0.0,79703.0,552.0,7099.0,7651.0,215.0,50096.0,50311.0,1.0,549.0,744.0,191.0,177.0,195.0,177.0,195.0,1,3438,5.114310645724259,0.0,0.0005817335660267597,23.182955206515416,0.0,23.183536940081442,744.0
styled-components/styled-components,8,19,0,0,0,6,37,0,10,6.0,65794292,styled-components/styled-components,https://github.com/styled-components/styled-components,2016-08-16 06:41:32,TypeScript,,35385,2188,35385,58,21,styled-components/styled-components,343.0,0.0,2.0,0.0,3302.0,72.0,2439.0,2511.0,6.0,1145.0,1151.0,0.0,193.0,636.0,166.0,176.0,149.0,176.0,135.0,1,2027,0.1692155895411939,0.0,0.000986679822397632,1.6290083867784904,0.0,1.629995066600888,636.0
pixijs/pixijs,36,5,0,0,0,10,37,0,1,7.0,7741856,pixijs/pixijs,https://github.com/pixijs/pixijs,2013-01-21 22:40:50,TypeScript,,34889,4433,34889,99,22,pixijs/pixijs,461.0,1515.0,30.0,312.0,5905.0,98.0,4644.0,4742.0,12.0,3043.0,3055.0,3.0,157.0,687.0,175.0,175.0,168.0,175.0,169.0,1,3330,0.13843843843843845,0.0936936936936937,0.009009009009009009,1.7732732732732732,10.4,12.182282282282282,687.0
