Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
bcit-ci/CodeIgniter,6,0,0,0,0,2,3,0,9,0.0,2234102,bcit-ci/CodeIgniter,https://github.com/bcit-ci/CodeIgniter,2011-08-19 13:34:00,PHP,,18172,7783,18172,96,10,bcit-ci/CodeIgniter,607.0,0.0,0.0,0.0,10323.0,9.0,3197.0,3206.0,3.0,2827.0,2830.0,1.0,27.0,739.0,192.0,186.0,187.0,186.0,180.0,1,3851,0.15762139703972994,0.0,0.0,2.680602440924435,-1,1.6806024409244351,739.0
sebastianbergmann/phpunit,8,4,0,0,0,10,15,1,1,1.0,448045,sebastianbergmann/phpunit,https://github.com/sebastianbergmann/phpunit,2009-12-24 13:16:23,PHP,,18062,2046,18062,160,11,sebastianbergmann/phpunit,508.0,0.0,0.0,0.0,16314.0,143.0,2931.0,3074.0,30.0,1698.0,1728.0,4.0,126.0,709.0,182.0,185.0,164.0,185.0,175.0,1,4454,0.1140547822182308,0.0,0.0,3.662775033677593,-1,2.662775033677593,709.0
nextcloud/server,22,4,0,0,0,3,26,0,7,7.0,60243197,nextcloud/server,https://github.com/nextcloud/server,2016-06-02 07:44:14,PHP,,17576,2845,17576,1830,12,nextcloud/server,1095.0,1666.0,30.0,72.0,61748.0,1768.0,11916.0,13684.0,309.0,16737.0,17046.0,1.0,74.0,737.0,190.0,184.0,176.0,184.0,193.0,1,2102,0.5209324452901998,0.03425309229305423,0.014272121788772598,29.375832540437678,2.4,31.790104662226447,737.0
PHPMailer/PHPMailer,29,9,0,0,0,25,38,3,13,6.0,2253830,PHPMailer/PHPMailer,https://github.com/PHPMailer/PHPMailer,2011-08-23 07:57:17,PHP,,17434,9040,17434,35,13,PHPMailer/PHPMailer,249.0,0.0,30.0,0.0,2087.0,24.0,1840.0,1864.0,7.0,594.0,601.0,2.0,130.0,717.0,186.0,183.0,192.0,183.0,159.0,1,3847,0.0647257603327268,0.0,0.007798284377436964,0.5425006498570315,0.0,0.5502989342344685,717.0
WordPress/WordPress,6,0,0,0,0,0,19,0,0,0.0,2889328,WordPress/WordPress,https://github.com/WordPress/WordPress,2011-12-01 07:05:17,PHP,,15712,10546,15712,2,14,WordPress/WordPress,107.0,0.0,0.0,0.0,45210.0,0.0,0.0,0.0,0.0,555.0,555.0,0.0,121.0,712.0,183.0,182.0,194.0,182.0,154.0,1,3747,0.028556178275954098,0.0,0.0,12.065652522017615,-1,11.065652522017615,712.0
matomo-org/matomo,16,6,0,0,0,0,20,0,0,0.0,1548202,matomo-org/matomo,https://github.com/matomo-org/matomo,2011-03-30 21:18:17,PHP,,15676,2224,15676,1882,15,matomo-org/matomo,379.0,6.0,30.0,16.0,28254.0,1892.0,10215.0,12107.0,27.0,6056.0,6083.0,9.0,120.0,716.0,185.0,181.0,166.0,181.0,188.0,1,3993,0.094916103180566,0.004007012271475081,0.007513148009015778,7.07588279489106,0.5333333333333333,7.616729276233409,716.0
briannesbitt/Carbon,0,14,0,0,0,2,23,1,2,5.0,5724990,briannesbitt/Carbon,https://github.com/briannesbitt/Carbon,2012-09-08 02:56:20,PHP,,15547,1191,15547,6,16,briannesbitt/Carbon,301.0,1434.0,30.0,30.0,3156.0,9.0,1098.0,1107.0,3.0,1441.0,1444.0,0.0,91.0,668.0,176.0,180.0,137.0,180.0,171.0,1,3465,0.08686868686868687,0.008658008658008658,0.008658008658008658,0.9108225108225109,1.0,1.9194805194805196,668.0
monicahq/monica,102,7,0,0,0,10,22,1,0,0.0,82238168,monicahq/monica,https://github.com/monicahq/monica,2017-02-17 00:02:58,PHP,,15461,1584,15461,494,17,monicahq/monica,260.0,503.0,30.0,169.0,3604.0,498.0,1223.0,1721.0,4.0,4271.0,4275.0,0.0,9.0,696.0,179.0,179.0,151.0,179.0,187.0,1,1842,0.14115092290988057,0.09174809989142237,0.016286644951140065,1.9565689467969598,5.633333333333334,7.606188925081433,696.0
nikic/PHP-Parser,47,1,0,0,0,0,2,0,2,6.0,1631570,nikic/PHP-Parser,https://github.com/nikic/PHP-Parser,2011-04-18 17:03:47,PHP,,15069,847,15069,77,18,nikic/PHP-Parser,129.0,0.0,30.0,0.0,1395.0,67.0,442.0,509.0,13.0,303.0,316.0,0.0,71.0,624.0,162.0,178.0,129.0,178.0,139.0,1,3974,0.032460996477101156,0.0,0.00754906894816306,0.3510317060895823,0.0,0.3585807750377453,624.0
easychen/howto-make-more-money,9,4,0,0,0,1,5,0,0,0.0,53783664,easychen/howto-make-more-money,https://github.com/easychen/howto-make-more-money,2016-03-13 12:22:03,PHP,,14869,1572,14869,5,19,easychen/howto-make-more-money,13.0,0.0,3.0,0.0,69.0,3.0,22.0,25.0,1.0,15.0,16.0,0.0,37.0,584.0,144.0,177.0,149.0,177.0,81.0,1,2183,0.005955107650022904,0.0,0.001374255611543747,0.03160787906550618,0.0,0.032982134677049926,584.0
erusev/parsedown,7,5,0,1,0,4,15,0,3,4.0,11323319,erusev/parsedown,https://github.com/erusev/parsedown,2013-07-10 20:23:25,PHP,,13943,1043,13943,124,20,erusev/parsedown,43.0,0.0,25.0,0.0,843.0,81.0,458.0,539.0,47.0,232.0,279.0,3.0,166.0,617.0,157.0,176.0,133.0,176.0,132.0,1,3160,0.01360759493670886,0.0,0.007911392405063292,0.26677215189873416,0.0,0.27468354430379743,617.0
yiisoft/yii2,15,8,0,0,0,4,24,0,0,2.0,3431193,yiisoft/yii2,https://github.com/yiisoft/yii2,2012-02-13 15:32:36,PHP,,13853,6973,13853,507,21,yiisoft/yii2,1356.0,94532.0,30.0,54.0,19960.0,445.0,10731.0,11176.0,71.0,7612.0,7683.0,8.0,58.0,725.0,188.0,175.0,186.0,175.0,189.0,1,3673,0.36918050639803973,0.014701878573373264,0.008167710318540702,5.434249931935748,1.8,7.2424176422542885,725.0
barryvdh/laravel-debugbar,17,5,0,0,0,1,8,0,9,17.0,12615154,barryvdh/laravel-debugbar,https://github.com/barryvdh/laravel-debugbar,2013-09-05 10:26:54,PHP,,13443,1312,13443,50,22,barryvdh/laravel-debugbar,179.0,0.0,30.0,0.0,929.0,44.0,862.0,906.0,25.0,364.0,389.0,3.0,79.0,634.0,164.0,174.0,140.0,174.0,146.0,1,3103,0.05768611021592008,0.0,0.009668063164679342,0.29938768933290366,0.0,0.309055752497583,634.0
getgrav/grav,30,6,0,0,0,5,36,0,11,7.0,22553797,getgrav/grav,https://github.com/getgrav/grav,2014-08-02 18:29:10,PHP,,13053,1325,13053,337,23,getgrav/grav,231.0,63746.0,30.0,90.0,7314.0,322.0,2484.0,2806.0,24.0,624.0,648.0,2.0,66.0,648.0,168.0,173.0,141.0,173.0,161.0,1,2772,0.08333333333333333,0.032467532467532464,0.010822510822510822,2.6385281385281387,3.0,5.64935064935065,648.0
koel/koel,2,64,0,0,0,6,71,1,5,4.0,47495360,koel/koel,https://github.com/koel/koel,2015-12-06 12:13:19,PHP,,13048,1666,13048,80,24,koel/koel,62.0,2802.0,30.0,26.0,2036.0,75.0,742.0,817.0,11.0,578.0,589.0,0.0,38.0,656.0,172.0,172.0,155.0,172.0,157.0,1,2281,0.027181060938185005,0.011398509425690487,0.0131521262604121,0.8925909688733011,0.8666666666666667,1.7724097618003798,656.0
filp/whoops,15,8,0,0,0,24,32,0,8,3.0,8708394,filp/whoops,https://github.com/filp/whoops,2013-03-11 16:58:27,PHP,,12634,583,12634,6,25,filp/whoops,156.0,0.0,0.0,0.0,1169.0,4.0,336.0,340.0,1.0,375.0,376.0,9.0,132.0,612.0,153.0,171.0,125.0,171.0,145.0,1,3281,0.04754647973178909,0.0,0.0,0.35629381286193235,-1,-0.6437061871380676,612.0
CachetHQ/Cachet,18,17,0,0,0,3,28,0,2,0.0,26730195,CachetHQ/Cachet,https://github.com/CachetHQ/Cachet,2014-11-16 22:23:11,PHP,,12455,1478,12455,347,26,CachetHQ/Cachet,223.0,0.0,30.0,0.0,7274.0,276.0,2008.0,2284.0,74.0,1921.0,1995.0,4.0,147.0,664.0,174.0,170.0,147.0,170.0,177.0,1,2666,0.08364591147786947,0.0,0.011252813203300824,2.7284321080270066,0.0,2.7396849212303076,664.0
Intervention/image,10,3,0,0,0,0,10,0,0,1.0,7704544,Intervention/image,https://github.com/Intervention/image,2013-01-19 15:05:32,PHP,,12256,1379,12256,336,27,Intervention/image,127.0,0.0,0.0,0.0,741.0,318.0,542.0,860.0,28.0,253.0,281.0,0.0,59.0,616.0,155.0,169.0,144.0,169.0,134.0,1,3332,0.03811524609843937,0.0,0.0,0.2223889555822329,-1,-0.7776110444177671,616.0
phacility/phabricator,0,0,0,0,0,0,0,0,0,0.0,1280180,phacility/phabricator,https://github.com/phacility/phabricator,2011-01-21 22:08:29,PHP,,12224,1592,12224,1,28,phacility/phabricator,323.0,0.0,0.0,0.0,16971.0,0.0,0.0,0.0,1.0,278.0,279.0,0.0,6.0,620.0,159.0,168.0,152.0,168.0,132.0,1,4061,0.07953705983747845,0.0,0.0,4.179019945826151,-1,3.179019945826151,620.0
thephpleague/flysystem,10,7,0,0,0,6,18,0,0,0.0,13899674,thephpleague/flysystem,https://github.com/thephpleague/flysystem,2013-10-27 11:07:22,PHP,,12213,681,12213,29,29,thephpleague/flysystem,48.0,0.0,15.0,0.0,648.0,20.0,705.0,725.0,6.0,689.0,695.0,0.0,14.0,623.0,161.0,167.0,126.0,167.0,163.0,1,3051,0.015732546705998034,0.0,0.004916420845624385,0.21238938053097345,0.0,0.21730580137659783,623.0
flarum/flarum,3,6,0,0,0,3,10,0,0,0.0,28628034,flarum/flarum,https://github.com/flarum/flarum,2014-12-30 11:13:08,PHP,,12145,1339,12145,0,30,flarum/flarum,33.0,0.0,17.0,0.0,337.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,9.0,586.0,148.0,166.0,142.0,166.0,112.0,1,2622,0.012585812356979404,0.0,0.0064836003051106025,0.12852784134248665,0.0,0.13501144164759726,586.0
barryvdh/laravel-ide-helper,43,0,0,1,0,0,6,0,59,29.0,8678290,barryvdh/laravel-ide-helper,https://github.com/barryvdh/laravel-ide-helper,2013-03-10 00:12:55,PHP,,11846,1024,11846,116,31,barryvdh/laravel-ide-helper,213.0,0.0,30.0,0.0,828.0,94.0,727.0,821.0,41.0,462.0,503.0,4.0,19.0,613.0,154.0,165.0,132.0,165.0,151.0,1,3282,0.06489945155393052,0.0,0.009140767824497258,0.2522851919561243,0.0,0.26142595978062155,613.0
vlucas/phpdotenv,4,4,0,0,0,2,9,0,29,29.0,7769432,vlucas/phpdotenv,https://github.com/vlucas/phpdotenv,2013-01-23 06:57:12,PHP,,11629,569,11629,3,32,vlucas/phpdotenv,68.0,0.0,30.0,0.0,567.0,4.0,246.0,250.0,0.0,256.0,256.0,1.0,56.0,582.0,143.0,164.0,124.0,164.0,130.0,1,3328,0.020432692307692308,0.0,0.009014423076923076,0.17037259615384615,0.0,0.17938701923076922,582.0
roots/sage,19,4,0,0,0,6,27,0,10,3.0,1305114,roots/sage,https://github.com/roots/sage,2011-01-29 03:12:09,PHP,,11498,2973,11498,17,33,roots/sage,249.0,229.0,30.0,1.0,2455.0,8.0,1275.0,1283.0,5.0,1664.0,1669.0,8.0,185.0,677.0,178.0,163.0,177.0,163.0,174.0,1,4053,0.0614359733530718,0.0002467308166790032,0.007401924500370096,0.6057241549469529,0.03333333333333333,0.6464594127806563,677.0
PHPOffice/PHPExcel,0,0,0,0,0,2,2,1,0,0.0,4702560,PHPOffice/PHPExcel,https://github.com/PHPOffice/PHPExcel,2012-06-18 15:30:27,PHP,,11476,4147,11476,668,34,PHPOffice/PHPExcel,75.0,0.0,0.0,0.0,1274.0,562.0,430.0,992.0,106.0,328.0,434.0,4.0,14.0,653.0,170.0,162.0,181.0,162.0,148.0,1,3547,0.021144629264166902,0.0,0.0,0.35917676910064844,-1,-0.6408232308993516,653.0
ramsey/uuid,1,0,0,0,0,3,11,0,1,1.0,4916869,ramsey/uuid,https://github.com/ramsey/uuid,2012-07-05 23:24:53,PHP,,11458,435,11458,22,35,ramsey/uuid,101.0,0.0,30.0,0.0,1109.0,21.0,146.0,167.0,5.0,229.0,234.0,1.0,78.0,570.0,141.0,161.0,123.0,161.0,125.0,1,3530,0.028611898016997168,0.0,0.0084985835694051,0.3141643059490085,0.0,0.3226628895184136,570.0
slimphp/Slim,16,15,0,0,0,14,38,0,8,6.0,926544,slimphp/Slim,https://github.com/slimphp/Slim,2010-09-21 01:17:06,PHP,,11159,1932,11159,6,36,slimphp/Slim,274.0,0.0,30.0,0.0,4278.0,5.0,1602.0,1607.0,0.0,1508.0,1508.0,2.0,69.0,654.0,171.0,160.0,161.0,160.0,173.0,1,4183,0.06550322734879273,0.0,0.007171886206072197,1.0227109729858952,0.0,1.0298828591919673,654.0
the-control-group/voyager,0,7,0,0,0,3,9,0,5,7.0,72069409,the-control-group/voyager,https://github.com/the-control-group/voyager,2016-10-27 03:56:49,PHP,,10785,2556,10785,276,37,the-control-group/voyager,415.0,0.0,30.0,0.0,3083.0,199.0,3149.0,3348.0,92.0,2032.0,2124.0,4.0,68.0,670.0,177.0,159.0,173.0,159.0,179.0,1,1955,0.21227621483375958,0.0,0.015345268542199489,1.5769820971867008,0.0,1.5923273657289003,670.0
octobercms/october,9,2,0,1,0,4,18,0,0,0.0,14732311,octobercms/october,https://github.com/octobercms/october,2013-11-26 23:30:43,PHP,,10738,2272,10738,4,38,octobercms/october,470.0,0.0,3.0,0.0,5756.0,0.0,3319.0,3319.0,0.0,2120.0,2120.0,2.0,57.0,662.0,173.0,158.0,168.0,158.0,178.0,1,3021,0.15557762330354188,0.0,0.0009930486593843098,1.9053293611386959,0.0,1.9063224097980802,662.0
FriendsOfPHP/PHP-CS-Fixer,6,0,0,0,0,4,8,0,4,2.0,4344257,FriendsOfPHP/PHP-CS-Fixer,https://github.com/FriendsOfPHP/PHP-CS-Fixer,2012-05-16 06:42:23,PHP,,10664,1347,10664,406,39,FriendsOfPHP/PHP-CS-Fixer,327.0,480040.0,30.0,60.0,8664.0,340.0,2004.0,2344.0,78.0,3793.0,3871.0,1.0,43.0,642.0,166.0,157.0,143.0,157.0,185.0,1,3580,0.09134078212290503,0.01675977653631285,0.008379888268156424,2.4201117318435754,2.0,4.428491620111732,642.0
doctrine/inflector,0,2,0,0,0,1,2,0,0,0.0,7549096,doctrine/inflector,https://github.com/doctrine/inflector,2013-01-10 21:34:22,PHP,,10642,108,10642,9,40,doctrine/inflector,83.0,0.0,15.0,0.0,333.0,7.0,43.0,50.0,1.0,141.0,142.0,0.0,7.0,542.0,132.0,156.0,111.0,156.0,119.0,1,3341,0.024842861418736904,0.0,0.004489673750374139,0.0996707572583059,0.0,0.10416043100868004,542.0
PHPOffice/PhpSpreadsheet,0,7,0,0,0,2,10,0,1,0.0,61490598,PHPOffice/PhpSpreadsheet,https://github.com/PHPOffice/PhpSpreadsheet,2016-06-19 16:58:48,PHP,,10567,2443,10567,186,41,PHPOffice/PhpSpreadsheet,339.0,0.0,30.0,0.0,3136.0,182.0,1209.0,1391.0,26.0,1106.0,1132.0,6.0,36.0,647.0,167.0,155.0,171.0,155.0,166.0,1,2085,0.16258992805755396,0.0,0.014388489208633094,1.5040767386091127,0.0,1.5184652278177457,647.0
phalcon/cphalcon,18,2,0,0,0,8,29,0,1,0.0,2854337,phalcon/cphalcon,https://github.com/phalcon/cphalcon,2011-11-26 05:52:50,PHP,,10518,1914,10518,48,42,phalcon/cphalcon,360.0,8724.0,30.0,272.0,15766.0,52.0,4696.0,4748.0,3.0,3810.0,3813.0,2.0,88.0,652.0,169.0,154.0,160.0,154.0,184.0,1,3752,0.09594882729211088,0.07249466950959488,0.007995735607675906,4.202025586353945,9.066666666666666,13.276687988628288,652.0
doctrine/lexer,0,1,0,0,0,1,1,0,0,0.0,7579180,doctrine/lexer,https://github.com/doctrine/lexer,2013-01-12 18:58:26,PHP,,10484,44,10484,3,43,doctrine/lexer,31.0,0.0,7.0,0.0,91.0,2.0,8.0,10.0,2.0,53.0,55.0,0.0,4.0,500.0,120.0,153.0,90.0,153.0,104.0,1,3339,0.009284216831386643,0.0,0.0020964360587002098,0.027253668763102725,0.0,0.029350104821802933,500.0
egulias/EmailValidator,19,3,0,0,0,4,16,0,2,3.0,10157178,egulias/EmailValidator,https://github.com/egulias/EmailValidator,2013-05-19 15:23:00,PHP,,10447,149,10447,16,44,egulias/EmailValidator,67.0,0.0,30.0,0.0,338.0,18.0,149.0,167.0,3.0,147.0,150.0,6.0,54.0,538.0,131.0,152.0,113.0,152.0,121.0,1,3212,0.020859277708592777,0.0,0.00933997509339975,0.10523038605230386,0.0,0.11457036114570361,538.0
doctrine/instantiator,0,5,0,0,0,1,7,0,0,2.0,22726901,doctrine/instantiator,https://github.com/doctrine/instantiator,2014-08-07 15:43:55,PHP,,10426,55,10426,5,45,doctrine/instantiator,36.0,0.0,12.0,0.0,369.0,2.0,19.0,21.0,3.0,64.0,67.0,0.0,17.0,508.0,124.0,151.0,97.0,151.0,109.0,1,2767,0.013010480664980123,0.0,0.0043368268883267076,0.13335742681604626,0.0,0.13769425370437297,508.0
docker/labs,12,0,0,0,0,3,4,0,0,0.0,56728437,docker/labs,https://github.com/docker/labs,2016-04-20 23:52:34,PHP,,10422,5121,10422,102,46,docker/labs,129.0,0.0,0.0,0.0,714.0,51.0,115.0,166.0,57.0,307.0,364.0,1.0,29.0,627.0,163.0,150.0,184.0,150.0,143.0,1,2145,0.06013986013986014,0.0,0.0,0.3328671328671329,-1,-0.6671328671328671,627.0
SpartnerNL/Laravel-Excel,4,3,0,0,0,3,16,0,0,0.0,14259390,SpartnerNL/Laravel-Excel,https://github.com/SpartnerNL/Laravel-Excel,2013-11-09 15:28:40,PHP,,10385,1639,10385,6,47,SpartnerNL/Laravel-Excel,178.0,0.0,30.0,0.0,1429.0,8.0,2665.0,2673.0,4.0,458.0,462.0,1.0,229.0,601.0,151.0,149.0,154.0,149.0,149.0,1,3038,0.05859117840684661,0.0,0.009874917709019092,0.47037524687294274,0.0,0.48025016458196185,601.0
tymondesigns/jwt-auth,0,10,0,0,0,2,11,0,2,0.0,23680678,tymondesigns/jwt-auth,https://github.com/tymondesigns/jwt-auth,2014-09-04 21:50:50,PHP,,10282,1396,10282,551,48,tymondesigns/jwt-auth,81.0,0.0,30.0,0.0,1481.0,521.0,1034.0,1555.0,39.0,572.0,611.0,0.0,105.0,601.0,151.0,148.0,145.0,148.0,160.0,1,2739,0.029572836801752465,0.0,0.01095290251916758,0.5407082876962395,0.0,0.551661190215407,601.0
z-song/laravel-admin,18,14,0,0,0,38,72,0,7,3.0,48796179,z-song/laravel-admin,https://github.com/z-song/laravel-admin,2015-12-30 10:42:57,PHP,,10243,2604,10243,80,49,z-song/laravel-admin,308.0,0.0,30.0,0.0,3140.0,91.0,4015.0,4106.0,20.0,1361.0,1381.0,0.0,61.0,637.0,165.0,147.0,174.0,147.0,169.0,1,2257,0.13646433318564466,0.0,0.01329198050509526,1.3912272928666372,0.0,1.4045192733717324,637.0
jupeter/clean-code-php,66,0,0,0,0,16,38,0,22,78.0,79111500,jupeter/clean-code-php,https://github.com/jupeter/clean-code-php,2017-01-16 11:21:17,PHP,,10122,2457,10122,17,50,jupeter/clean-code-php,58.0,0.0,0.0,0.0,372.0,17.0,30.0,47.0,0.0,150.0,150.0,0.0,298.0,585.0,146.0,146.0,172.0,146.0,121.0,1,1874,0.030949839914621132,0.0,0.0,0.19850586979722518,-1,-0.8014941302027748,585.0
mockery/mockery,0,3,0,0,0,1,9,0,27,17.0,137515,mockery/mockery,https://github.com/mockery/mockery,2009-02-25 19:25:09,PHP,,10035,432,10035,91,51,mockery/mockery,219.0,0.0,28.0,0.0,1945.0,85.0,498.0,583.0,10.0,570.0,580.0,0.0,57.0,568.0,138.0,145.0,122.0,145.0,156.0,1,4756,0.0460470984020185,0.0,0.005887300252312868,0.40895710681244746,0.0,0.41484440706476033,568.0
spatie/laravel-permission,7,5,0,0,0,8,20,0,2,3.0,42480275,spatie/laravel-permission,https://github.com/spatie/laravel-permission,2015-09-14 22:19:38,PHP,,9986,1501,9986,10,52,spatie/laravel-permission,184.0,0.0,30.0,0.0,1219.0,7.0,1255.0,1262.0,6.0,551.0,557.0,3.0,205.0,591.0,150.0,144.0,148.0,144.0,155.0,1,2364,0.077834179357022,0.0,0.012690355329949238,0.5156514382402707,0.0,0.5283417935702199,591.0
serbanghita/Mobile-Detect,61,7,0,0,0,67,105,0,12,3.0,5627682,serbanghita/Mobile-Detect,https://github.com/serbanghita/Mobile-Detect,2012-08-31 10:58:16,PHP,,9893,2635,9893,153,53,serbanghita/Mobile-Detect,112.0,0.0,0.0,0.0,825.0,115.0,538.0,653.0,39.0,189.0,228.0,14.0,120.0,585.0,146.0,143.0,175.0,143.0,124.0,1,3473,0.0322487762741146,0.0,0.0,0.2375467895191477,-1,-0.7624532104808524,585.0
magento/magento2,6,2,0,0,0,1,19,0,0,0.0,2884111,magento/magento2,https://github.com/magento/magento2,2011-11-30 15:30:13,PHP,,9797,8705,9797,1901,54,magento/magento2,2358.0,0.0,30.0,0.0,127065.0,1203.0,20417.0,21620.0,773.0,12510.0,13283.0,0.0,91.0,667.0,175.0,142.0,191.0,142.0,192.0,1,3748,0.6291355389541089,0.0,0.0080042689434365,33.90208110992529,0.0,33.91008537886873,667.0
php-fig/log,0,0,0,0,0,2,2,0,1,2.0,6936773,php-fig/log,https://github.com/php-fig/log,2012-11-30 09:49:24,PHP,,9751,162,9751,6,55,php-fig/log,29.0,0.0,8.0,0.0,93.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,3.0,503.0,122.0,141.0,114.0,141.0,107.0,1,3382,0.008574807806031934,0.0,0.002365464222353637,0.02749852158486103,0.0,0.029863985807214666,503.0
