D_value,Result,Feature
-0.41589523594490857,medium,List
-0.6767893429668097,large,Image
-0.057575073379995484,negligible,Animation
-0.015917814405057577,negligible,Video
0.0,negligible,Table
-0.6824339580040641,large,Github
-0.7445247234138632,large,Links
-0.2919394897268006,small,Project
-0.25186272296229395,small,Inline
-0.14788891397606682,small,Code
