,spearman-coeffiecient,Feature1,Feature2
0,0.7071983609485976,List,Inline
1,0.7467716292582024,Image,Links
2,0.7998181596709352,Github,Links
3,0.7467716292582025,Links,Image
4,0.7998181596709352,Links,Github
5,0.7071983609485976,Inline,List
