fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
traefik/traefik,0,1,0,1,1,1,1,1,0,35876,35876,3965,14,traefik/traefik,725.0,3402.0,30.0,632.0,4277.0,597.0,4253.0,4850.0,19.0,3907.0,3926.0,0.0,144.0,689.0,177.0,177.0,166.0,177.0,169.0,1,traefik/traefik,2015-09-13 19:04:02,2365,0.30655391120507397,0.26723044397463,0.012684989429175475,1.8084566596194502,21.066666666666666,22.887808315715294,689.0
caddyserver/caddy,0,1,0,1,1,0,1,0,0,35661,35661,2851,15,caddyserver/caddy,138.0,16053.0,30.0,557.0,1255.0,83.0,2800.0,2883.0,7.0,1612.0,1619.0,2.0,49.0,654.0,168.0,176.0,148.0,176.0,154.0,1,caddyserver/caddy,2015-01-13 19:45:03,2608,0.05291411042944785,0.21357361963190183,0.011503067484662576,0.4812116564417178,18.566666666666666,19.059381390593046,654.0
ethereum/go-ethereum,0,1,0,1,0,1,1,1,0,33864,33864,12515,16,ethereum/go-ethereum,731.0,0.0,30.0,0.0,13176.0,218.0,6024.0,6242.0,111.0,6990.0,7101.0,4.0,207.0,711.0,184.0,175.0,187.0,175.0,174.0,1,ethereum/go-ethereum,2013-12-26 13:05:46,2991,0.24439986626546306,0.0,0.010030090270812437,4.405215646940823,0.0,4.415245737211635,711.0
FiloSottile/mkcert,0,0,0,1,0,0,1,0,0,32841,32841,1538,17,FiloSottile/mkcert,40.0,61937.0,13.0,42.0,152.0,84.0,202.0,286.0,26.0,88.0,114.0,15.0,62.0,572.0,148.0,174.0,123.0,174.0,101.0,1,FiloSottile/mkcert,2018-06-25 05:33:03,1349,0.029651593773165306,0.031134173461823574,0.009636767976278725,0.11267605633802817,3.230769230769231,3.353082055083538,572.0
minio/minio,1,1,0,1,0,1,1,1,0,30491,30491,3457,18,minio/minio,379.0,0.0,30.0,0.0,9291.0,13.0,5805.0,5818.0,8.0,7853.0,7861.0,10.0,209.0,684.0,174.0,173.0,161.0,173.0,177.0,1,minio/minio,2015-01-14 19:23:58,2607,0.14537782892213272,0.0,0.011507479861910242,3.563866513233602,0.0,3.575373993095512,684.0
hashicorp/terraform,1,1,0,1,0,1,1,0,0,30288,30288,7119,19,hashicorp/terraform,1959.0,0.0,30.0,0.0,29579.0,1435.0,16836.0,18271.0,162.0,11867.0,12029.0,1.0,78.0,708.0,183.0,172.0,180.0,172.0,184.0,1,hashicorp/terraform,2014-03-13 22:25:48,2914,0.6722717913520934,0.0,0.01029512697323267,10.150652024708304,0.0,10.160947151681537,708.0
rclone/rclone,1,1,0,0,0,1,1,0,0,30225,30225,2718,20,rclone/rclone,574.0,1813.0,30.0,900.0,6024.0,665.0,3668.0,4333.0,62.0,1568.0,1630.0,21.0,114.0,644.0,161.0,171.0,146.0,171.0,156.0,1,rclone/rclone,2014-03-16 16:19:57,2911,0.19718309859154928,0.3091721058055651,0.010305736860185504,2.069391961525249,30.0,32.07969769838544,644.0
pingcap/tidb,1,1,0,1,0,1,1,1,0,29739,29739,4795,21,pingcap/tidb,822.0,0.0,30.0,0.0,16895.0,2340.0,8564.0,10904.0,659.0,21351.0,22010.0,1.0,93.0,699.0,180.0,170.0,171.0,170.0,188.0,1,pingcap/tidb,2015-09-06 04:01:52,2372,0.34654300168634067,0.0,0.012647554806070826,7.122681281618887,0.0,7.135328836424958,699.0
evanw/esbuild,0,1,0,0,0,0,0,0,0,29105,29105,699,22,evanw/esbuild,85.0,0.0,30.0,0.0,2906.0,218.0,1576.0,1794.0,29.0,242.0,271.0,31.0,102.0,546.0,137.0,169.0,96.0,169.0,112.0,1,evanw/esbuild,2016-06-14 16:08:50,2090,0.04066985645933014,0.0,0.014354066985645933,1.3904306220095695,0.0,1.4047846889952154,546.0
istio/istio,0,1,0,0,0,0,1,0,0,28856,28856,5898,23,istio/istio,932.0,397092.0,30.0,714.0,17492.0,559.0,14784.0,15343.0,85.0,22289.0,22374.0,2.0,79.0,700.0,181.0,168.0,175.0,168.0,189.0,1,istio/istio,2016-11-18 23:57:21,1933,0.4821520951888257,0.3693740300051733,0.015519917227108122,9.04914640455251,23.8,32.864666321779616,700.0
wagoodman/dive,1,1,0,1,0,0,1,0,0,28750,28750,1101,24,wagoodman/dive,40.0,4718.0,24.0,133.0,412.0,105.0,143.0,248.0,13.0,126.0,139.0,8.0,85.0,547.0,138.0,167.0,108.0,167.0,105.0,1,wagoodman/dive,2018-05-13 15:44:01,1392,0.028735632183908046,0.09554597701149425,0.017241379310344827,0.2959770114942529,5.541666666666667,5.8548850574712645,547.0
unknwon/the-way-to-go_ZH_CN,1,0,0,0,1,0,0,0,0,28198,28198,7598,25,unknwon/the-way-to-go_ZH_CN,254.0,0.0,0.0,0.0,1405.0,0.0,0.0,0.0,0.0,656.0,656.0,0.0,121.0,648.0,165.0,166.0,181.0,166.0,135.0,1,unknwon/the-way-to-go_ZH_CN,2013-03-24 17:18:38,3268,0.0777233782129743,0.0,0.0,0.4299265605875153,-1,-0.5700734394124847,648.0
beego/beego,1,1,0,1,0,1,1,0,1,27320,27320,5362,26,beego/beego,485.0,0.0,12.0,0.0,4549.0,18.0,3106.0,3124.0,6.0,1712.0,1718.0,3.0,88.0,661.0,171.0,165.0,174.0,165.0,157.0,1,beego/beego,2012-02-29 02:32:08,3657,0.13262236806125238,0.0,0.003281378178835111,1.2439157779600765,0.0,1.2471971561389115,661.0
go-gitea/gitea,1,1,0,1,0,1,1,1,0,27171,27171,3410,27,go-gitea/gitea,1112.0,1616.0,30.0,900.0,12936.0,1809.0,6864.0,8673.0,186.0,9959.0,10145.0,1.0,517.0,669.0,173.0,164.0,159.0,164.0,182.0,1,go-gitea/gitea,2016-11-01 02:13:26,1950,0.5702564102564103,0.46153846153846156,0.015384615384615385,6.633846153846154,30.0,36.64923076923077,669.0
cli/cli,0,1,0,1,0,0,1,1,0,26498,26498,3070,28,cli/cli,328.0,7252.0,30.0,510.0,5301.0,342.0,2169.0,2511.0,25.0,1599.0,1624.0,0.0,93.0,633.0,159.0,163.0,152.0,163.0,155.0,1,cli/cli,2019-10-03 15:24:53,884,0.37104072398190047,0.5769230769230769,0.033936651583710405,5.996606334841629,17.0,23.03054298642534,633.0
go-gorm/gorm,1,1,0,1,0,1,1,1,0,26039,26039,2948,29,go-gorm/gorm,323.0,0.0,2.0,0.0,2395.0,53.0,4193.0,4246.0,6.0,887.0,893.0,7.0,227.0,621.0,157.0,162.0,150.0,162.0,147.0,1,go-gorm/gorm,2013-10-25 08:31:38,3053,0.10579757615460203,0.0,0.0006550933508024893,0.784474287585981,0.0,0.7851293809367835,621.0
jesseduffield/lazygit,1,1,0,1,0,0,1,1,1,24349,24349,912,30,jesseduffield/lazygit,158.0,567.0,30.0,404.0,2960.0,279.0,667.0,946.0,23.0,756.0,779.0,2.0,115.0,566.0,144.0,161.0,102.0,161.0,142.0,1,jesseduffield/lazygit,2018-05-19 00:53:06,1386,0.113997113997114,0.29148629148629146,0.021645021645021644,2.1356421356421356,13.466666666666667,15.623953823953824,566.0
docker/compose,0,1,0,1,1,0,1,1,0,24329,24329,4075,31,docker/compose,84.0,62219.0,30.0,358.0,3166.0,657.0,5425.0,6082.0,89.0,2963.0,3052.0,0.0,48.0,651.0,166.0,160.0,168.0,160.0,163.0,1,docker/compose,2013-12-09 11:40:58,3008,0.027925531914893616,0.11901595744680851,0.00997340425531915,1.0525265957446808,11.933333333333334,12.995833333333334,651.0
spf13/cobra,0,1,0,1,0,1,0,0,0,24247,24247,2103,33,spf13/cobra,243.0,0.0,15.0,0.0,879.0,181.0,670.0,851.0,98.0,665.0,763.0,9.0,148.0,596.0,155.0,159.0,138.0,159.0,140.0,1,spf13/cobra,2013-09-03 20:40:26,3105,0.0782608695652174,0.0,0.004830917874396135,0.28309178743961355,0.0,0.2879227053140097,596.0
