fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
julycoding/The-Art-Of-Programming-By-July,1,0,0,0,1,1,1,1,0,20161,20161,7142,11,julycoding/The-Art-Of-Programming-By-July,julycoding/The-Art-Of-Programming-By-July,21,0,21,120,0,0,0,3646,47,83,130,0,431,601.0,157.0,167.0,174.0,167.0,93.0,1,julycoding/The-Art-Of-Programming-By-July,2013-12-14 10:00:06,3003,0.03996003996003996,0.0,0.0,1.214119214119214,-1,0.21411921411921409,601.0
SamyPesse/How-to-Make-a-Computer-Operating-System,0,1,0,0,0,1,1,0,0,19634,19634,3358,15,SamyPesse/How-to-Make-a-Computer-Operating-System,SamyPesse/How-to-Make-a-Computer-Operating-System,39,55,94,40,0,1,0,243,44,27,71,1,34,606.0,160.0,166.0,159.0,166.0,115.0,1,SamyPesse/How-to-Make-a-Computer-Operating-System,2013-11-29 17:36:32,3018,0.013253810470510271,0.0,0.0003313452617627568,0.0805168986083499,0.0,0.08084824387011266,606.0
coolsnowwolf/lede,1,0,0,0,1,0,0,0,0,18866,18866,15686,12,coolsnowwolf/lede,coolsnowwolf/lede,3,0,3,346,32313,2,3,4319,275,6048,6323,0,27,572.0,151.0,165.0,178.0,165.0,64.0,1,coolsnowwolf/lede,2017-09-06 07:39:03,1641,0.21084704448507008,0.0018281535648994515,0.001218769043266301,2.631931748933577,1.5,4.133150517976843,572.0
libuv/libuv,1,1,0,1,1,1,1,0,0,18531,18531,2992,22,libuv/libuv,libuv/libuv,62,1890,1952,537,0,3,0,4948,104,1315,1419,11,89,647.0,170.0,164.0,151.0,164.0,168.0,1,libuv/libuv,2013-11-30 00:29:56,3017,0.17799138216771626,0.0,0.0009943652635067948,1.6400397746105402,0.0,1.641034139874047,647.0
Awesome-HarmonyOS/HarmonyOS,1,1,0,1,1,0,1,0,0,18373,18373,3319,21,Awesome-HarmonyOS/HarmonyOS,Awesome-HarmonyOS/HarmonyOS,15,31,46,16,0,0,0,78,0,0,0,0,32,588.0,153.0,163.0,157.0,163.0,105.0,1,Awesome-HarmonyOS/HarmonyOS,2019-08-09 11:24:00,939,0.01703940362087327,0.0,0.0,0.08306709265175719,-1,-0.9169329073482428,588.0
robertdavidgraham/masscan,0,1,0,1,1,1,1,0,0,18161,18161,2612,26,robertdavidgraham/masscan,robertdavidgraham/masscan,37,0,37,65,0,11,0,705,309,150,459,0,46,568.0,150.0,162.0,144.0,162.0,100.0,1,robertdavidgraham/masscan,2013-07-28 05:35:33,3142,0.020687460216422662,0.0,0.003500954805856143,0.2243793761935073,0.0,0.22788033099936345,568.0
go-delve/delve,0,1,0,0,0,0,0,0,0,17392,17392,1760,33,go-delve/delve,go-delve/delve,9,1531,1540,189,0,17,0,2214,105,1261,1366,4,88,612.0,163.0,161.0,127.0,161.0,163.0,1,go-delve/delve,2014-05-20 19:24:43,2846,0.06640899508081517,0.0,0.0059732958538299364,0.7779339423752635,0.0,0.7839072382290934,612.0
taosdata/TDengine,1,1,0,1,0,1,1,1,0,17376,17376,4149,19,taosdata/TDengine,taosdata/TDengine,12,7946,7958,260,0,30,0,23834,496,2060,2556,0,91,663.0,174.0,160.0,164.0,160.0,179.0,1,taosdata/TDengine,2019-07-11 08:33:48,968,0.26859504132231404,0.0,0.030991735537190084,24.621900826446282,0.0,24.65289256198347,663.0
nothings/stb,1,1,0,1,1,1,1,0,0,17341,17341,6075,17,nothings/stb,nothings/stb,51,537,588,218,0,0,0,2126,78,593,671,2,177,640.0,168.0,159.0,170.0,159.0,152.0,1,nothings/stb,2014-05-25 16:51:23,2841,0.07673354452657515,0.0,0.0,0.7483280535022879,-1,-0.2516719464977121,640.0
openssl/openssl,0,1,0,1,0,1,1,1,0,17062,17062,7459,14,openssl/openssl,openssl/openssl,0,10604,10604,862,0,0,0,30993,1410,5498,6908,1,19,672.0,176.0,158.0,175.0,158.0,181.0,1,openssl/openssl,2013-01-15 22:34:48,3336,0.25839328537170264,0.0,0.0,9.29046762589928,-1,8.29046762589928,672.0
