fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
nestjs/nest,1,1,0,1,0,1,1,1,0,42618,42618,4482,15,nestjs/nest,355.0,0.0,2.0,0.0,10260.0,50.0,4002.0,4052.0,48.0,4939.0,4987.0,0.0,228.0,708.0,182.0,180.0,168.0,180.0,180.0,1,nestjs/nest,2017-02-04 20:12:52,1855,0.19137466307277629,0.0,0.001078167115902965,5.53099730458221,0.0,5.532075471698113,708.0
apache/superset,0,1,0,1,0,0,1,1,0,42389,42389,8238,16,apache/superset,803.0,575153.0,30.0,21.0,11146.0,911.0,6916.0,7827.0,175.0,10126.0,10301.0,0.0,219.0,724.0,186.0,179.0,180.0,179.0,186.0,1,apache/superset,2015-07-21 18:55:34,2419,0.33195535345183963,0.0086812732534105,0.012401818933443571,4.607689127738735,0.7,5.320090946672178,724.0
babel/babel,1,1,0,1,0,1,1,1,0,40045,40045,5121,17,babel/babel,1110.0,0.0,2.0,0.0,15100.0,637.0,7422.0,8059.0,151.0,5636.0,5787.0,0.0,250.0,709.0,183.0,178.0,171.0,178.0,182.0,1,babel/babel,2014-09-28 13:38:23,2715,0.4088397790055249,0.0,0.0007366482504604051,5.5616942909760585,0.0,5.562430939226519,709.0
vercel/hyper,1,0,0,1,1,0,1,0,0,37390,37390,3099,18,vercel/hyper,285.0,1269083.0,30.0,444.0,3045.0,746.0,2719.0,3465.0,16.0,2791.0,2807.0,1.0,89.0,673.0,172.0,177.0,157.0,177.0,162.0,1,vercel/hyper,2016-07-01 06:01:21,2073,0.13748191027496381,0.2141823444283647,0.01447178002894356,1.4688856729377713,14.8,16.283357452966715,673.0
facebook/jest,1,1,0,1,0,1,1,1,0,37268,37268,5488,19,facebook/jest,1446.0,0.0,2.0,0.0,6020.0,1432.0,5278.0,6710.0,160.0,5589.0,5749.0,4.0,150.0,705.0,181.0,176.0,172.0,176.0,181.0,1,facebook/jest,2013-12-10 00:18:04,3007,0.48087795144662454,0.0,0.0006651147322913202,2.001995344196874,0.0,2.0026604589291654,705.0
DefinitelyTyped/DefinitelyTyped,0,1,0,1,0,1,1,1,0,36910,36910,26244,20,DefinitelyTyped/DefinitelyTyped,17583.0,0.0,2.0,0.0,79703.0,552.0,7099.0,7651.0,215.0,50096.0,50311.0,1.0,549.0,736.0,189.0,175.0,193.0,175.0,193.0,1,DefinitelyTyped/DefinitelyTyped,2012-10-05 16:39:45,3438,5.114310645724259,0.0,0.0005817335660267597,23.182955206515416,0.0,23.183536940081442,736.0
styled-components/styled-components,1,1,0,1,0,1,1,1,0,35385,35385,2188,21,styled-components/styled-components,343.0,0.0,2.0,0.0,3302.0,72.0,2439.0,2511.0,6.0,1145.0,1151.0,0.0,193.0,628.0,164.0,174.0,146.0,174.0,134.0,1,styled-components/styled-components,2016-08-16 06:41:32,2027,0.1692155895411939,0.0,0.000986679822397632,1.6290083867784904,0.0,1.629995066600888,628.0
pixijs/pixijs,0,1,0,1,0,1,1,1,0,34889,34889,4433,22,pixijs/pixijs,461.0,1515.0,30.0,312.0,5905.0,98.0,4644.0,4742.0,12.0,3043.0,3055.0,3.0,157.0,679.0,173.0,173.0,166.0,173.0,167.0,1,pixijs/pixijs,2013-01-21 22:40:50,3330,0.13843843843843845,0.0936936936936937,0.009009009009009009,1.7732732732732732,10.4,12.182282282282282,679.0
vitejs/vite,0,1,0,0,0,1,0,0,0,34605,34605,2475,23,vitejs/vite,523.0,0.0,2.0,0.0,3717.0,688.0,2820.0,3508.0,193.0,2107.0,2300.0,6.0,111.0,647.0,166.0,172.0,149.0,172.0,154.0,1,vitejs/vite,2020-04-21 05:03:57,683,0.7657393850658858,0.0,0.0029282576866764276,5.44216691068814,0.0,5.4450951683748166,647.0
vuetifyjs/vuetify,1,1,0,1,1,1,1,1,0,32980,32980,5976,24,vuetifyjs/vuetify,753.0,1675.0,30.0,30.0,11682.0,984.0,9589.0,10573.0,46.0,3743.0,3789.0,0.0,140.0,688.0,176.0,171.0,174.0,171.0,172.0,1,vuetifyjs/vuetify,2016-09-12 00:39:35,2000,0.3765,0.015,0.015,5.841,1.0,6.856,688.0
immutable-js/immutable-js,0,1,0,1,1,1,1,1,0,31631,31631,1851,25,immutable-js/immutable-js,217.0,0.0,2.0,0.0,1689.0,92.0,1112.0,1204.0,20.0,666.0,686.0,12.0,145.0,598.0,158.0,170.0,133.0,170.0,125.0,1,immutable-js/immutable-js,2014-07-02 06:02:29,2803,0.07741705315733143,0.0,0.0007135212272565109,0.6025686764181234,0.0,0.6032821976453799,598.0
ant-design/ant-design-pro,1,1,0,1,0,0,1,1,0,30815,30815,7167,26,ant-design/ant-design-pro,312.0,0.0,2.0,0.0,2368.0,143.0,8030.0,8173.0,1.0,1315.0,1316.0,7.0,82.0,651.0,169.0,169.0,177.0,169.0,136.0,1,ant-design/ant-design-pro,2017-08-25 10:40:44,1653,0.18874773139745918,0.0,0.0012099213551119178,1.4325468844525107,0.0,1.4337568058076227,651.0
nativefier/nativefier,0,1,0,1,0,1,1,0,0,29181,29181,1862,27,nativefier/nativefier,136.0,0.0,2.0,0.0,1146.0,181.0,890.0,1071.0,9.0,283.0,292.0,9.0,114.0,576.0,151.0,168.0,134.0,168.0,106.0,1,nativefier/nativefier,2015-07-05 05:56:42,2435,0.05585215605749486,0.0,0.0008213552361396304,0.4706365503080082,0.0,0.47145790554414785,576.0
formium/formik,0,1,0,1,0,1,1,0,0,28889,28889,2362,28,formium/formik,429.0,0.0,2.0,0.0,1703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,483.0,114.0,167.0,148.0,167.0,1.0,1,formium/formik,2017-06-14 19:50:59,1725,0.24869565217391304,0.0,0.0011594202898550724,0.9872463768115942,0.0,0.9884057971014493,483.0
facebook/docusaurus,1,1,0,1,0,1,1,1,0,28685,28685,3855,29,facebook/docusaurus,857.0,0.0,2.0,0.0,4704.0,148.0,1952.0,2100.0,37.0,4241.0,4278.0,1.0,72.0,668.0,171.0,166.0,161.0,166.0,175.0,1,facebook/docusaurus,2017-06-20 16:13:53,1719,0.4985456660849331,0.0,0.0011634671320535194,2.736474694589878,0.0,2.7376381617219314,668.0
laurent22/joplin,1,1,0,1,0,1,1,1,1,26707,26707,2938,30,laurent22/joplin,495.0,131267.0,30.0,210.0,7535.0,310.0,4073.0,4383.0,8.0,1815.0,1823.0,0.0,687.0,630.0,165.0,165.0,155.0,165.0,145.0,1,laurent22/joplin,2017-01-16 21:49:41,1874,0.2641408751334045,0.11205976520811099,0.016008537886873,4.020811099252935,7.0,11.036819637139807,630.0
