fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
NationalSecurityAgency/ghidra,0,1,0,1,0,0,1,1,1,29904,29904,3889,14,NationalSecurityAgency/ghidra,204.0,276469.0,19.0,19.0,6415.0,1129.0,1867.0,2996.0,172.0,614.0,786.0,1.0,25.0,626.0,165.0,175.0,122.0,175.0,154.0,1,NationalSecurityAgency/ghidra,2019-03-01 03:27:48,1100,0.18545454545454546,0.017272727272727273,0.017272727272727273,5.831818181818182,1.0,6.84909090909091,626.0
geekxh/hello-algorithm,1,0,0,0,1,1,0,0,0,29299,29299,5659,15,geekxh/hello-algorithm,15.0,0.0,0.0,0.0,393.0,4.0,32.0,36.0,0.0,29.0,29.0,0.0,138.0,582.0,145.0,174.0,142.0,174.0,92.0,1,geekxh/hello-algorithm,2020-05-29 05:47:09,645,0.023255813953488372,0.0,0.0,0.6093023255813953,-1,-0.3906976744186047,582.0
zxing/zxing,1,1,0,1,1,1,1,0,0,28731,28731,9112,16,zxing/zxing,161.0,446787.0,27.0,17.0,3645.0,6.0,1138.0,1144.0,2.0,321.0,323.0,0.0,47.0,649.0,171.0,173.0,170.0,173.0,133.0,1,zxing/zxing,2011-10-12 14:07:27,3797,0.04240189623386884,0.004477218856992362,0.0071108770081643406,0.959968396102186,0.6296296296296297,1.5967089027399801,649.0
eugenp/tutorials,0,1,0,1,0,0,1,0,0,28450,28450,45635,17,eugenp/tutorials,1167.0,0.0,0.0,0.0,24032.0,32.0,533.0,565.0,35.0,11102.0,11137.0,0.0,44.0,718.0,185.0,172.0,189.0,172.0,185.0,1,eugenp/tutorials,2013-04-29 18:26:36,3232,0.36107673267326734,0.0,0.0,7.435643564356436,-1,6.435643564356436,718.0
netty/netty,0,1,0,1,0,0,1,0,0,28071,28071,13850,18,netty/netty,705.0,0.0,0.0,0.0,10754.0,464.0,5280.0,5744.0,19.0,6255.0,6274.0,3.0,25.0,705.0,182.0,171.0,180.0,171.0,183.0,1,netty/netty,2010-11-09 09:22:21,4134,0.17053701015965167,0.0,0.0,2.6013546202225446,-1,1.6013546202225446,705.0
skylot/jadx,0,0,0,1,0,0,1,1,0,27974,27974,3453,19,skylot/jadx,86.0,597741.0,18.0,36.0,1683.0,203.0,828.0,1031.0,1.0,360.0,361.0,20.0,70.0,594.0,153.0,170.0,117.0,170.0,137.0,1,skylot/jadx,2013-03-18 17:08:21,3274,0.02626756261453879,0.010995723885155772,0.005497861942577886,0.5140500916310323,2.0,2.51954795357361,594.0
alibaba/arthas,0,1,0,1,0,1,1,0,0,27788,27788,6096,20,alibaba/arthas,168.0,16743.0,30.0,145.0,1716.0,172.0,1292.0,1464.0,46.0,562.0,608.0,3.0,142.0,634.0,168.0,169.0,146.0,169.0,150.0,1,alibaba/arthas,2018-08-29 17:15:57,1284,0.1308411214953271,0.11292834890965732,0.02336448598130841,1.3364485981308412,4.833333333333333,6.193146417445483,634.0
ityouknow/spring-boot-examples,1,1,0,0,0,0,1,0,0,26742,26742,11650,21,ityouknow/spring-boot-examples,8.0,0.0,0.0,0.0,173.0,8.0,97.0,105.0,3.0,40.0,43.0,0.0,110.0,611.0,160.0,168.0,178.0,168.0,97.0,1,ityouknow/spring-boot-examples,2016-11-05 05:32:33,1946,0.0041109969167523125,0.0,0.0,0.08890030832476875,-1,-0.9110996916752312,611.0
crossoverJie/JCSprout,1,1,0,0,0,0,1,0,0,26524,26524,7142,22,crossoverJie/JCSprout,30.0,0.0,0.0,0.0,709.0,30.0,59.0,89.0,10.0,99.0,109.0,2.0,168.0,613.0,161.0,167.0,162.0,167.0,117.0,1,crossoverJie/JCSprout,2017-12-17 09:06:50,1539,0.01949317738791423,0.0,0.0,0.46068875893437294,-1,-0.5393112410656271,613.0
apolloconfig/apollo,1,1,0,1,1,1,1,0,1,25994,25994,9498,23,apolloconfig/apollo,139.0,74023.0,30.0,113.0,2657.0,115.0,2611.0,2726.0,6.0,1354.0,1360.0,0.0,262.0,668.0,178.0,166.0,172.0,166.0,164.0,1,apolloconfig/apollo,2016-03-04 10:24:23,2192,0.06341240875912409,0.05155109489051095,0.013686131386861315,1.2121350364963503,3.7666666666666666,4.992487834549879,668.0
JakeWharton/butterknife,0,0,0,1,0,1,0,0,0,25755,25755,4739,24,JakeWharton/butterknife,114.0,0.0,0.0,0.0,1016.0,95.0,1074.0,1169.0,18.0,471.0,489.0,1.0,73.0,604.0,158.0,165.0,132.0,165.0,142.0,1,JakeWharton/butterknife,2013-03-05 08:18:59,3287,0.03468208092485549,0.0,0.0,0.3090964405232735,-1,-0.6909035594767265,604.0
proxyee-down-org/proxyee-down,1,1,0,0,1,0,1,0,0,25345,25345,4616,25,proxyee-down-org/proxyee-down,14.0,1058299.0,30.0,59.0,474.0,0.0,0.0,0.0,1.0,31.0,32.0,0.0,82.0,552.0,135.0,164.0,130.0,164.0,94.0,1,proxyee-down-org/proxyee-down,2017-10-25 10:07:27,1592,0.008793969849246231,0.03706030150753769,0.018844221105527637,0.29773869346733667,1.9666666666666666,2.283249581239531,552.0
alibaba/druid,1,1,0,0,0,0,1,0,0,24871,24871,7947,26,alibaba/druid,222.0,0.0,30.0,0.0,6513.0,2156.0,1323.0,3479.0,146.0,1046.0,1192.0,0.0,8.0,652.0,172.0,163.0,166.0,163.0,160.0,1,alibaba/druid,2011-11-03 05:12:51,3775,0.05880794701986755,0.0,0.007947019867549669,1.725298013245033,0.0,1.7332450331125828,652.0
xkcoding/spring-boot-demo,1,0,0,0,0,1,1,0,0,24166,24166,8362,27,xkcoding/spring-boot-demo,12.0,0.0,0.0,0.0,733.0,68.0,71.0,139.0,25.0,42.0,67.0,0.0,133.0,598.0,156.0,162.0,167.0,162.0,107.0,1,xkcoding/spring-boot-demo,2017-11-10 06:27:29,1576,0.007614213197969543,0.0,0.0,0.4651015228426396,-1,-0.5348984771573604,598.0
alibaba/fastjson,1,1,0,1,0,1,1,0,0,23969,23969,6350,28,alibaba/fastjson,217.0,0.0,30.0,0.0,3939.0,1661.0,1571.0,3232.0,135.0,648.0,783.0,0.0,96.0,626.0,165.0,161.0,151.0,161.0,153.0,1,alibaba/fastjson,2011-11-03 06:58:52,3775,0.05748344370860927,0.0,0.007947019867549669,1.0434437086092716,0.0,1.0513907284768214,626.0
greenrobot/EventBus,0,1,0,1,0,1,1,0,0,23717,23717,4635,29,greenrobot/EventBus,31.0,697.0,7.0,2.0,549.0,104.0,457.0,561.0,40.0,85.0,125.0,0.0,102.0,571.0,140.0,160.0,131.0,160.0,120.0,1,greenrobot/EventBus,2012-07-16 16:55:40,3519,0.008809320829781187,0.0005683432793407218,0.0019892014776925265,0.15601023017902813,0.2857142857142857,0.44371371737100634,571.0
dbeaver/dbeaver,0,1,0,1,0,1,1,1,0,23510,23510,2217,30,dbeaver/dbeaver,256.0,4859.0,30.0,286.0,22261.0,1446.0,10763.0,12209.0,11.0,2648.0,2659.0,6.0,96.0,593.0,152.0,159.0,100.0,159.0,175.0,1,dbeaver/dbeaver,2015-10-21 08:26:28,2327,0.11001289213579717,0.12290502793296089,0.01289213579716373,9.566394499355393,9.533333333333333,19.11261996848589,593.0
scwang90/SmartRefreshLayout,1,0,0,1,0,1,0,0,0,23153,23153,4751,31,scwang90/SmartRefreshLayout,8.0,0.0,10.0,0.0,1092.0,220.0,1191.0,1411.0,3.0,20.0,23.0,0.0,298.0,537.0,131.0,158.0,133.0,158.0,88.0,1,scwang90/SmartRefreshLayout,2017-06-02 09:52:50,1737,0.004605641911341394,0.0,0.0057570523891767415,0.6286701208981001,0.0,0.6344271732872769,537.0
qiurunze123/miaosha,1,0,0,0,0,0,0,0,0,23100,23100,5949,32,qiurunze123/miaosha,12.0,0.0,0.0,0.0,225.0,29.0,38.0,67.0,0.0,58.0,58.0,0.0,115.0,561.0,138.0,157.0,144.0,157.0,103.0,1,qiurunze123/miaosha,2018-09-14 04:36:24,1268,0.00946372239747634,0.0,0.0,0.1774447949526814,-1,-0.8225552050473186,561.0
lenve/vhr,1,0,0,0,0,1,0,0,0,22802,22802,9410,33,lenve/vhr,2.0,0.0,0.0,0.0,157.0,146.0,91.0,237.0,40.0,20.0,60.0,0.0,71.0,587.0,148.0,156.0,171.0,156.0,104.0,1,lenve/vhr,2018-01-04 08:57:51,1521,0.0013149243918474688,0.0,0.0,0.1032215647600263,-1,-0.8967784352399737,587.0
CymChad/BaseRecyclerViewAdapterHelper,1,1,0,1,0,1,1,0,0,22486,22486,4782,34,CymChad/BaseRecyclerViewAdapterHelper,54.0,0.0,30.0,0.0,1210.0,443.0,2879.0,3322.0,15.0,260.0,275.0,0.0,39.0,575.0,143.0,155.0,134.0,155.0,131.0,1,CymChad/BaseRecyclerViewAdapterHelper,2016-04-10 07:40:11,2155,0.02505800464037123,0.0,0.013921113689095127,0.5614849187935035,0.0,0.5754060324825986,575.0
SeleniumHQ/selenium,0,0,0,1,1,0,1,1,0,22270,22270,6666,35,SeleniumHQ/selenium,783.0,54474.0,30.0,209.0,27984.0,101.0,7856.0,7957.0,10.0,2349.0,2359.0,3.0,92.0,636.0,169.0,154.0,156.0,154.0,172.0,1,SeleniumHQ/selenium,2013-01-14 21:40:56,3337,0.23464189391669163,0.062631105783638,0.008990110878034162,8.385975427030267,6.966666666666667,15.361632204574969,636.0
Netflix/Hystrix,1,1,0,1,1,1,1,0,0,22199,22199,4501,36,Netflix/Hystrix,150.0,0.0,30.0,0.0,2109.0,341.0,678.0,1019.0,50.0,749.0,799.0,0.0,32.0,590.0,150.0,153.0,128.0,153.0,156.0,1,Netflix/Hystrix,2012-11-19 20:14:46,3393,0.04420866489832007,0.0,0.008841732979664015,0.6215738284703802,0.0,0.6304155614500443,590.0
alibaba/easyexcel,1,1,0,0,0,0,1,0,0,21994,21994,5827,37,alibaba/easyexcel,46.0,0.0,1.0,0.0,767.0,108.0,1982.0,2090.0,21.0,217.0,238.0,0.0,94.0,577.0,144.0,152.0,143.0,152.0,130.0,1,alibaba/easyexcel,2018-02-06 03:14:08,1488,0.030913978494623656,0.0,0.0006720430107526882,0.5154569892473119,0.0,0.5161290322580646,577.0
hollischuang/toBeTopJavaer,1,0,0,0,0,0,0,0,0,21976,21976,4978,38,hollischuang/toBeTopJavaer,44.0,0.0,0.0,0.0,265.0,33.0,61.0,94.0,1.0,69.0,70.0,0.0,47.0,546.0,133.0,151.0,135.0,151.0,109.0,1,hollischuang/toBeTopJavaer,2018-10-25 09:54:54,1227,0.035859820700896494,0.0,0.0,0.21597392013039934,-1,-0.7840260798696006,546.0
signalapp/Signal-Android,0,1,0,0,0,1,1,1,0,21563,21563,5217,39,signalapp/Signal-Android,308.0,0.0,0.0,0.0,9246.0,372.0,9056.0,9428.0,59.0,2460.0,2519.0,3.0,40.0,613.0,161.0,150.0,139.0,150.0,174.0,1,signalapp/Signal-Android,2011-12-15 20:01:12,3733,0.08250736672917225,0.0,0.0,2.4768282882400214,-1,1.4768282882400214,613.0
