fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
greenrobot/EventBus,0,1,0,1,0,1,1,0,0,23717,23717,4635,29,greenrobot/EventBus,31.0,697.0,7.0,2.0,549.0,104.0,457.0,561.0,40.0,85.0,125.0,0.0,102.0,greenrobot/EventBus,2012-07-16 16:55:40,3553,0.1961722488038277,0.008725021108922,0.0005629045876723,0.0019701660568533,0.1545173093160709,0.2857142857142857,0.4422017610872099,0
dbeaver/dbeaver,0,1,0,1,0,1,1,1,0,23510,23510,2217,30,dbeaver/dbeaver,256.0,4859.0,30.0,286.0,22261.0,1446.0,10763.0,12209.0,11.0,2648.0,2659.0,6.0,96.0,dbeaver/dbeaver,2015-10-21 08:26:28,2361,2.058026260059297,0.1084286319356205,0.121135112240576,0.0127064803049555,9.4286319356205,9.533333333333331,18.97467174925879,0
scwang90/SmartRefreshLayout,1,0,0,1,0,1,0,0,0,23153,23153,4751,31,scwang90/SmartRefreshLayout,8.0,0.0,10.0,0.0,1092.0,220.0,1191.0,1411.0,3.0,20.0,23.0,0.0,298.0,scwang90/SmartRefreshLayout,2017-06-02 09:52:50,1771,0.0,0.0045172219085262,0.0,0.0056465273856578,0.616600790513834,0.0,0.6222473178994918,0
CymChad/BaseRecyclerViewAdapterHelper,1,1,0,1,0,1,1,0,0,22486,22486,4782,34,CymChad/BaseRecyclerViewAdapterHelper,54.0,0.0,30.0,0.0,1210.0,443.0,2879.0,3322.0,15.0,260.0,275.0,0.0,39.0,CymChad/BaseRecyclerViewAdapterHelper,2016-04-10 07:40:11,2189,0.0,0.0246687985381452,0.0,0.0137048880767473,0.5527638190954773,0.0,0.5664687071722246,0
SeleniumHQ/selenium,0,0,0,1,1,0,1,1,0,22270,22270,6666,35,SeleniumHQ/selenium,783.0,54474.0,30.0,209.0,27984.0,101.0,7856.0,7957.0,10.0,2349.0,2359.0,3.0,92.0,SeleniumHQ/selenium,2013-01-14 21:40:56,3371,16.159596558884605,0.232275289231682,0.061999406704242,0.0088994363690299,8.301394245031148,6.966666666666667,15.276960348066844,0
Netflix/Hystrix,1,1,0,1,1,1,1,0,0,22199,22199,4501,36,Netflix/Hystrix,150.0,0.0,30.0,0.0,2109.0,341.0,678.0,1019.0,50.0,749.0,799.0,0.0,32.0,Netflix/Hystrix,2012-11-19 20:14:46,3427,0.0,0.0437700612780857,0.0,0.0087540122556171,0.6154070615698862,0.0,0.6241610738255033,0
alibaba/easyexcel,1,1,0,0,0,0,1,0,0,21994,21994,5827,37,alibaba/easyexcel,46.0,0.0,1.0,0.0,767.0,108.0,1982.0,2090.0,21.0,217.0,238.0,0.0,94.0,alibaba/easyexcel,2018-02-06 03:14:08,1522,0.0,0.0302233902759526,0.0,0.0006570302233902,0.5039421813403416,0.0,0.5045992115637319,0
alibaba/canal,1,0,0,0,0,0,0,0,0,21338,21338,6352,40,alibaba/canal,185.0,141916.0,22.0,58.0,1464.0,840.0,2680.0,3520.0,59.0,479.0,538.0,1.0,48.0,alibaba/canal,2013-01-13 10:59:52,3372,42.08659549228944,0.0548635824436536,0.0172004744958481,0.0065243179122182,0.4341637010676156,2.636363636363636,3.0770516553434697,0
seata/seata,0,1,0,1,0,1,1,1,1,21257,21257,7089,41,seata/seata,255.0,71532.0,30.0,60.0,1427.0,552.0,1971.0,2523.0,91.0,1813.0,1904.0,756.0,75.0,seata/seata,2018-12-28 08:37:22,1197,59.7593984962406,0.213032581453634,0.050125313283208,0.025062656641604,1.1921470342522975,2.0,3.2172096908939016,0
dromara/hutool,1,1,0,1,1,1,1,0,0,21237,21237,6095,42,dromara/hutool,238.0,0.0,30.0,0.0,3312.0,3.0,1639.0,1642.0,1.0,506.0,507.0,0.0,164.0,dromara/hutool,2014-04-13 07:23:51,2917,0.0,0.0815906753513884,0.0,0.0102845389098388,1.1354130956462118,0.0,1.1456976345560506,0
