fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
fabricjs/fabric.js,0,1,0,1,0,1,1,0,0,20580,20580,2912,99,fabricjs/fabric.js,289.0,0.0,30.0,0.0,4390.0,247.0,5104.0,5351.0,36.0,2039.0,2075.0,2.0,157.0,fabricjs/fabric.js,2010-06-09 22:24:38,4321,0.0,0.0668826660495255,0.0,0.0069428373061791,1.015968525804212,0.0,1.022911363110391,0
RealOrangeOne/react-native-busy-indicator,1,1,0,1,0,0,1,0,0,94,94,39,193,RealOrangeOne/react-native-busy-indicator,7.0,0.0,3.0,0.0,78.0,0.0,5.0,5.0,0.0,18.0,18.0,0.0,18.0,RealOrangeOne/react-native-busy-indicator,2016-01-02 18:24:17,2288,0.0,0.0030594405594405,0.0,0.0013111888111888,0.034090909090909,0.0,0.0354020979020978,1
Yaska/redux-mediaquery,1,1,0,1,1,0,0,0,0,93,93,6,192,Yaska/redux-mediaquery,5.0,0.0,1.0,0.0,22.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,Yaska/redux-mediaquery,2016-06-16 18:37:41,2122,0.0,0.0023562676720075,0.0,0.0004712535344015,0.0103675777568331,0.0,0.0108388312912346,1
vanng822/pagination,1,1,0,1,0,1,1,0,0,85,85,23,184,vanng822/pagination,5.0,0.0,5.0,0.0,97.0,1.0,5.0,6.0,0.0,3.0,3.0,0.0,26.0,vanng822/pagination,2012-07-12 21:25:04,3557,0.0,0.0014056789429294,0.0,0.0014056789429294,0.027270171492831,0.0,0.028675850435760403,1
josegonzalez/real-aws-status,0,1,0,1,1,0,0,0,0,84,84,3,183,josegonzalez/real-aws-status,5.0,2675.0,4.0,3.0,20.0,6.0,10.0,16.0,0.0,1.0,1.0,0.0,6.0,josegonzalez/real-aws-status,2016-06-09 20:12:06,2129,1.256458431188351,0.0023485204321277,0.0014091122592766,0.0018788163457022,0.009394081728511,0.75,0.7612728980742132,0
aurelia/bootstrapper,0,1,0,1,0,0,1,0,0,75,75,36,174,aurelia/bootstrapper,22.0,0.0,30.0,0.0,252.0,1.0,39.0,40.0,13.0,33.0,46.0,0.0,15.0,aurelia/bootstrapper,2014-12-10 20:00:17,2676,0.0,0.0082212257100149,0.0,0.0112107623318385,0.0941704035874439,0.0,0.1053811659192824,1
feeblejs/feeble,1,1,0,1,0,1,1,0,0,72,72,7,171,feeblejs/feeble,3.0,0.0,6.0,0.0,173.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,33.0,feeblejs/feeble,2016-07-20 14:53:57,2088,0.0,0.0014367816091954,0.0,0.0028735632183908,0.0828544061302682,0.0,0.085727969348659,1
krakenjs/generator-swaggerize,1,0,0,1,0,0,0,0,0,69,69,34,168,krakenjs/generator-swaggerize,22.0,0.0,3.0,0.0,199.0,11.0,37.0,48.0,1.0,60.0,61.0,2.0,17.0,krakenjs/generator-swaggerize,2014-10-20 20:38:57,2727,0.0,0.008067473414008,0.0,0.0011001100110011,0.0729739640630729,0.0,0.074074074074074,1
axross/tap-notify,0,1,0,1,0,1,0,0,0,59,59,10,158,axross/tap-notify,2.0,0.0,2.0,0.0,16.0,2.0,2.0,4.0,1.0,3.0,4.0,0.0,6.0,axross/tap-notify,2015-11-14 04:31:33,2337,0.0,0.0008557980316645,0.0,0.0008557980316645,0.0068463842533162,0.0,0.0077021822849807,1
raquelxmoss/cycle-color-picker,1,1,0,1,0,0,1,0,0,58,58,9,157,raquelxmoss/cycle-color-picker,5.0,0.0,1.0,0.0,95.0,2.0,0.0,2.0,0.0,10.0,10.0,0.0,8.0,raquelxmoss/cycle-color-picker,2016-05-24 06:32:22,2145,0.0,0.0023310023310023,0.0,0.0004662004662004,0.0442890442890442,0.0,0.044755244755244596,1
yoshuawuyts/server-router,1,0,0,1,0,1,1,0,0,57,57,8,156,yoshuawuyts/server-router,12.0,0.0,1.0,0.0,78.0,2.0,5.0,7.0,0.0,27.0,27.0,0.0,21.0,yoshuawuyts/server-router,2016-01-31 05:00:11,2259,0.0,0.0053120849933598,0.0,0.0004426737494466,0.0345285524568393,0.0,0.0349712262062859,1
eliquious/electronify-server,0,1,0,1,0,0,1,0,0,48,48,7,147,eliquious/electronify-server,4.0,0.0,3.0,0.0,39.0,1.0,6.0,7.0,0.0,9.0,9.0,0.0,10.0,eliquious/electronify-server,2015-11-15 10:01:39,2336,0.0,0.0017123287671232,0.0,0.0012842465753424,0.016695205479452,0.0,0.0179794520547944,1
buckhx/diglet,1,1,0,1,0,1,1,0,0,34,34,2,133,buckhx/diglet,3.0,71.0,13.0,18.0,308.0,29.0,18.0,47.0,0.0,6.0,6.0,0.0,29.0,buckhx/diglet,2015-10-08 19:50:48,2374,0.0299073294018534,0.0012636899747262,0.0075821398483572,0.0054759898904802,0.1297388374052232,1.3846153846153846,1.519830211911088,0
AnalyzeOrFeed/aof-replay-client,0,0,0,1,0,0,0,0,0,21,21,4,120,AnalyzeOrFeed/aof-replay-client,2.0,4050.0,11.0,15.0,88.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,AnalyzeOrFeed/aof-replay-client,2015-09-14 01:48:21,2398,1.688907422852377,0.0008340283569641,0.006255212677231,0.0045871559633027,0.036697247706422,1.3636363636363635,1.4049207673060882,0
predixdesignsystem/px-app-nav,0,1,0,1,0,0,1,0,0,20,20,27,119,predixdesignsystem/px-app-nav,31.0,0.0,11.0,0.0,394.0,0.0,72.0,72.0,0.0,41.0,41.0,0.0,18.0,predixdesignsystem/px-app-nav,2015-09-24 17:17:53,2388,0.0,0.0129815745393634,0.0,0.0046063651591289,0.1649916247906197,0.0,0.16959798994974862,1
CrossLead/angular-zendesk-widget,0,0,0,1,0,0,0,0,0,19,19,11,118,CrossLead/angular-zendesk-widget,8.0,0.0,4.0,0.0,40.0,3.0,4.0,7.0,1.0,7.0,8.0,0.0,4.0,CrossLead/angular-zendesk-widget,2015-10-26 16:25:06,2356,0.0,0.0033955857385398,0.0,0.0016977928692699,0.0169779286926994,0.0,0.0186757215619693,1
