P-value,CategoryID
0.14062052738026104,C0
0.003699023275601344,C1
0.24675731027420636,C2
0.05692162930906382,C3
0.011956148956742027,C4
3.388429046760756e-07,C5
8.547053238017544e-10,C6
1.3764691752198312e-09,C7
1.0,C8
